identifiant_de_document,reference_document,date_mutation,nature_mutation,valeur_fonciere,no_voie,btq,type_de_voie,code_voie,voie,code_postal,commune,code_departement,code_commune,prefixe_de_section,section,no_plan,no_volume,lot1,surface_carrez_lot1,lot2,surface_carrez_lot2,lot3,surface_carrez_lot3,lot4,surface_carrez_lot4,lot5,surface_carrez_lot5,nombre_de_lots,code_type_local,type_local,identifiant_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,nature_culture_speciale,surface_terrain
,,,,3500000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,4.0,,,495.0,0.0,,,2939.0
,,,,3500000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,116.0,5.0,,,2939.0
,,,,430000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,91.0,5.0,,,255.0
,,,,1135000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,166.0,5.0,,,703.0
,,,,1015000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,160.0,5.0,,,453.0
,,,,600000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,1.0,,,95.0,5.0,,,538.0
,,,,478000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,76.0,4.0,,,192.0
,,,,220000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,113.0,4.0,,,164.0
,,,,1305000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,280.0,8.0,,,459.0
,,,,1060000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,112.0,1.0,,,345.0
,,,,490000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,67.0,3.0,,,181.0
,,,,700000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,4.0,,,424.0,0.0,,,432.0
,,,,365000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,75.0,6.0,,,491.0
,,,,1350000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,4.0,,,37.0,0.0,,,218.0
,,,,1350000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,2.0,,,55.0,3.0,,,218.0
,,,,1750000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,2.0,,,32.0,2.0,,,413.0
,,,,1750000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,2.0,,,33.0,2.0,,,413.0
,,,,1750000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,4.0,,,27.0,0.0,,,413.0
,,,,823000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,150.0,5.0,,,314.0
,,,,600000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,1.0,,,122.0,6.0,,,356.0
,,,,1980000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,150.0,7.0,,,609.0
,,,,50000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,120.0,6.0,,,301.0
,,,,650000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,4.0,,,0.0,0.0,,,269.0
,,,,650000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,4.0,,,269.0,0.0,,,269.0
,,,,600000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,76.0,4.0,,,315.0
,,,,400000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,44.0,3.0,,,314.0
,,,,1134100.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,140.0,5.0,,,302.0
,,,,571000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,71.0,4.0,,,349.0
,,,,908000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,150.0,5.0,,,315.0
,,,,405000.0,,,,,,94380.0,,94,11,,,,,,,,,,,,,,,,1.0,,,76.0,6.0,,,340.0
,,,,604700.1,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,4.0,,,180.0,0.0,,,141.0
,,,,1239000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,140.0,4.0,,,342.0
,,,,715000.0,,,,,,94100.0,,94,68,,,,,,,,,,,,,,,,1.0,,,150.0,5.0,,,581.0
,,,,513340.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,85.0,4.0,,,308.0
,,,,595000.0,,,,,,94000.0,,94,28,,,,,,,,,,,,,,,,1.0,,,95.0,3.0,,,171.0
,,,,655000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,1.0,,,85.0,5.0,,,252.0
,,,,720000.0,,,,,,94700.0,,94,46,,,,,,,,,,,,,,,,1.0,,,60.0,3.0,,,538.0
,,,,760000.0,,,,,,94140.0,,94,2,,,,,,,,,,,,,,,,1.0,,,72.0,4.0,,,435.0
,,,,1035000.0,,,,,,94210.0,,94,68,,,,,,,,,,,,,,,,3.0,,,0.0,0.0,,,152.0
