property_value,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
"352000,00",77115.0,SIVRY-COURTRY,77,Maison,120.0,3.0,331.0,2021
"352000,00",77115.0,SIVRY-COURTRY,77,Maison,120.0,3.0,45.0,2021
"235000,00",77330.0,OZOIR LA FERRIERE,77,Maison,41.0,2.0,175.0,2021
"334800,00",77590.0,CHARTRETTES,77,Maison,100.0,4.0,337.0,2021
"460300,00",77690.0,MONTIGNY-SUR-LOING,77,Maison,196.0,5.0,800.0,2021
"225700,00",77170.0,SERVON,77,Maison,71.0,3.0,55.0,2021
"35000,00",77620.0,BRANSLES,77,Dépendance,0.0,0.0,359.0,2021
"224000,00",77130.0,CANNES-ECLUSE,77,Maison,69.0,3.0,763.0,2021
"267000,00",77176.0,SAVIGNY-LE-TEMPLE,77,Maison,98.0,5.0,205.0,2021
"280000,00",77310.0,BOISSISE-LE-ROI,77,Maison,70.0,4.0,952.0,2021
"500000,00",77590.0,BOIS LE ROI,77,Maison,154.0,7.0,405.0,2021
"150000,00",77570.0,CHATEAU-LANDON,77,Maison,66.0,4.0,235.0,2021
"150000,00",77570.0,CHATEAU-LANDON,77,Dépendance,0.0,0.0,35.0,2021
"415000,00",77150.0,LESIGNY,77,Maison,105.0,5.0,500.0,2021
"415000,00",77150.0,LESIGNY,77,Maison,105.0,5.0,114.0,2021
"353400,00",77390.0,CRISENOY,77,Maison,75.0,2.0,500.0,2021
"353400,00",77390.0,CRISENOY,77,Maison,75.0,2.0,822.0,2021
"245000,00",77380.0,COMBS LA VILLE,77,Maison,81.0,4.0,136.0,2021
"282722,00",77830.0,PAMFOU,77,Maison,102.0,5.0,574.0,2021
"503360,00",77150.0,LESIGNY,77,Maison,123.0,4.0,500.0,2021
"503360,00",77150.0,LESIGNY,77,Maison,123.0,4.0,452.0,2021
"144000,00",77380.0,COMBS LA VILLE,77,Maison,35.0,3.0,66.0,2021
"720000,00",77300.0,FONTAINEBLEAU,77,Maison,192.0,9.0,225.0,2021
"386200,00",77330.0,OZOIR LA FERRIERE,77,Maison,105.0,4.0,500.0,2021
"386200,00",77330.0,OZOIR LA FERRIERE,77,Maison,105.0,4.0,147.0,2021
"325000,00",77380.0,COMBS LA VILLE,77,Maison,68.0,3.0,322.0,2021
"381589,00",77170.0,BRIE COMTE ROBERT,77,Maison,139.0,5.0,500.0,2021
"381589,00",77170.0,BRIE COMTE ROBERT,77,Maison,139.0,5.0,188.0,2021
"280000,00",77870.0,VULAINES-SUR-SEINE,77,Maison,99.0,5.0,598.0,2021
"260000,00",77760.0,LARCHANT,77,Maison,70.0,3.0,155.0,2021
"250000,00",77820.0,CHATELET-EN-BRIE (LE),77,Local industriel. commercial ou assimilé,85.0,0.0,301.0,2021
"250000,00",77820.0,CHATELET-EN-BRIE (LE),77,Maison,62.0,3.0,301.0,2021
"392000,00",77135.0,PONTCARRE,77,Dépendance,0.0,0.0,25.0,2021
"392000,00",77135.0,PONTCARRE,77,Maison,132.0,5.0,223.0,2021
"205000,00",77133.0,MACHAULT,77,Maison,50.0,3.0,661.0,2021
"464000,00",77590.0,FONTAINE-LE-PORT,77,Maison,94.0,5.0,887.0,2021
"501000,00",77220.0,TOURNAN-EN-BRIE,77,Maison,166.0,5.0,519.0,2021
