property_value,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
1231000,92250,LA GARENNE-COLOMBES,92,Maison,130,6,151,2021
1582480,92600,ASNIERES-SUR-SEINE,92,Maison,150,5,223,2021
912560,92500,RUEIL-MALMAISON,92,Maison,157,6,225,2021
549000,92700,COLOMBES,92,Maison,63,3,224,2021
1157700,92700,COLOMBES,92,Dépendance,0,0,241,2021
1157700,92700,COLOMBES,92,Maison,100,5,241,2021
943850,92700,COLOMBES,92,Maison,118,5,167,2021
1280000,92250,LA GARENNE-COLOMBES,92,Local industriel. commercial ou assimilé,36,0,365,2021
1280000,92250,LA GARENNE-COLOMBES,92,Maison,118,5,365,2021
378000,92400,COURBEVOIE,92,Maison,50,3,150,2021
378000,92400,COURBEVOIE,92,Dépendance,0,0,150,2021
1023440,92500,RUEIL-MALMAISON,92,Maison,83,4,477,2021
646300,92000,NANTERRE,92,Maison,40,2,248,2021
1128280,92500,RUEIL-MALMAISON,92,Maison,180,7,384,2021
475000,92000,NANTERRE,92,Maison,50,3,199,2021
475000,92000,NANTERRE,92,Dépendance,0,0,199,2021
2000000,92700,COLOMBES,92,Local industriel. commercial ou assimilé,1295,0,2500,2021
3200000,92390,VILLENEUVE-LA-GARENNE,92,Local industriel. commercial ou assimilé,1818,0,3760,2021
450000,92300,LEVALLOIS-PERRET,92,Dépendance,0,0,1076,2021
450000,92300,LEVALLOIS-PERRET,92,Appartement,20,1,1076,2021
350000,92000,NANTERRE,92,Maison,78,3,65,2021
452000,92000,NANTERRE,92,Maison,42,2,254,2021
4162200,92110,CLICHY,92,Appartement,53,3,427,2021
4162200,92110,CLICHY,92,Appartement,20,1,427,2021
4162200,92110,CLICHY,92,Appartement,35,2,427,2021
4162200,92110,CLICHY,92,Appartement,25,1,427,2021
4162200,92110,CLICHY,92,Appartement,18,1,427,2021
4162200,92110,CLICHY,92,Local industriel. commercial ou assimilé,160,0,427,2021
4162200,92110,CLICHY,92,Appartement,30,1,427,2021
4162200,92110,CLICHY,92,Appartement,28,1,427,2021
1162100,92700,COLOMBES,92,Dépendance,0,0,371,2021
1162100,92700,COLOMBES,92,Maison,200,8,371,2021
705000,92700,COLOMBES,92,Maison,105,4,116,2021
1500000,92700,COLOMBES,92,Dépendance,0,0,426,2021
1500000,92700,COLOMBES,92,Maison,150,7,426,2021
1008093,92600,ASNIERES-SUR-SEINE,92,Maison,150,5,182,2021
713540,92500,RUEIL-MALMAISON,92,Maison,68,3,122,2021
458850,92700,COLOMBES,92,Maison,53,3,149,2021
1045000,92150,SURESNES,92,Maison,110,5,95,2021
1725000,92500,RUEIL-MALMAISON,92,Maison,190,6,338,2021
712838,92110,CLICHY,92,Maison,56,3,45,2021
4675000,92200,NEUILLY-SUR-SEINE,92,Maison,360,6,404,2021
2200000,92800,PUTEAUX,92,Local industriel. commercial ou assimilé,75,0,206,2021
1080000,92700,COLOMBES,92,Maison,107,3,303,2021
850000,92110,CLICHY,92,Dépendance,0,0,216,2021
850000,92110,CLICHY,92,Appartement,65,4,216,2021
850000,92110,CLICHY,92,Appartement,29,1,216,2021
850000,92110,CLICHY,92,Appartement,32,1,216,2021
850000,92110,CLICHY,92,Appartement,66,4,216,2021
850000,92110,CLICHY,92,Local industriel. commercial ou assimilé,68,0,216,2021
850000,92110,CLICHY,92,Local industriel. commercial ou assimilé,40,0,216,2021
850000,92110,CLICHY,92,Appartement,61,4,216,2021
850000,92110,CLICHY,92,Appartement,83,5,216,2021
850000,92110,CLICHY,92,Local industriel. commercial ou assimilé,97,0,216,2021
850000,92110,CLICHY,92,Appartement,21,1,216,2021
3850000,92500,RUEIL-MALMAISON,92,Dépendance,0,0,2511,2021
3850000,92500,RUEIL-MALMAISON,92,Maison,396,9,2511,2021
1418000,92500,RUEIL-MALMAISON,92,Maison,127,4,507,2021
760000,92270,BOIS-COLOMBES,92,Maison,100,5,181,2021
770000,92500,RUEIL-MALMAISON,92,Maison,98,4,257,2021
1167050,92500,RUEIL-MALMAISON,92,Maison,185,7,419,2021
3179013,92500,RUEIL-MALMAISON,92,Maison,284,7,1395,2021
3179013,92500,RUEIL-MALMAISON,92,Maison,284,7,1113,2021
360000,92700,COLOMBES,92,Maison,28,2,125,2021
360000,92700,COLOMBES,92,Dépendance,0,0,125,2021
2230000,92700,COLOMBES,92,Maison,200,7,533,2021
2230000,92700,COLOMBES,92,Maison,30,1,533,2021
2230000,92700,COLOMBES,92,Maison,200,7,1600,2021
2230000,92700,COLOMBES,92,Maison,30,1,1600,2021
1222750,92500,RUEIL-MALMAISON,92,Maison,185,6,278,2021
1680000,92500,RUEIL-MALMAISON,92,Maison,240,7,991,2021
1680000,92500,RUEIL-MALMAISON,92,Maison,240,7,751,2021
919400,92150,SURESNES,92,Maison,92,4,204,2021
800000,92500,RUEIL-MALMAISON,92,Maison,70,4,500,2021
539000,92000,NANTERRE,92,Dépendance,0,0,276,2021
539000,92000,NANTERRE,92,Dépendance,0,0,187,2021
1030651,92700,COLOMBES,92,Maison,137,4,255,2021
650000,92250,LA GARENNE-COLOMBES,92,Dépendance,0,0,141,2021
650000,92250,LA GARENNE-COLOMBES,92,Maison,60,3,141,2021
430000,92700,COLOMBES,92,Maison,80,5,252,2021
866600,92700,COLOMBES,92,Maison,110,4,361,2021
866600,92700,COLOMBES,92,Dépendance,0,0,361,2021
831000,92600,ASNIERES-SUR-SEINE,92,Local industriel. commercial ou assimilé,10,0,160,2021
831000,92600,ASNIERES-SUR-SEINE,92,Maison,130,6,160,2021
831000,92600,ASNIERES-SUR-SEINE,92,Dépendance,0,0,160,2021
1000000,92500,RUEIL-MALMAISON,92,Maison,90,6,539,2021
880000,92270,BOIS-COLOMBES,92,Dépendance,0,0,177,2021
880000,92270,BOIS-COLOMBES,92,Maison,80,4,177,2021
1486300,92700,COLOMBES,92,Maison,158,5,595,2021
670567,92700,COLOMBES,92,Maison,74,3,205,2021
1073350,92600,ASNIERES-SUR-SEINE,92,Maison,98,5,114,2021
342000,92700,COLOMBES,92,Maison,42,3,77,2021
342000,92700,COLOMBES,92,Dépendance,0,0,77,2021
795000,92000,NANTERRE,92,Maison,135,5,234,2021
1710000,92150,SURESNES,92,Maison,240,6,1032,2021
1710000,92150,SURESNES,92,Dépendance,0,0,1032,2021
1710000,92150,SURESNES,92,Local industriel. commercial ou assimilé,30,0,1032,2021
950000,92270,BOIS-COLOMBES,92,Dépendance,0,0,237,2021
950000,92270,BOIS-COLOMBES,92,Appartement,52,3,237,2021
950000,92270,BOIS-COLOMBES,92,Appartement,60,3,237,2021
628000,92700,COLOMBES,92,Maison,68,3,208,2021
760000,92700,COLOMBES,92,Maison,151,4,195,2021
474000,92700,COLOMBES,92,Maison,90,5,277,2021
474000,92700,COLOMBES,92,Dépendance,0,0,277,2021
1408860,92500,RUEIL-MALMAISON,92,Maison,180,7,595,2021
32000000,92500,RUEIL-MALMAISON,92,Local industriel. commercial ou assimilé,7926,0,3023,2021
542600,92700,COLOMBES,92,Maison,59,3,76,2021
577000,92150,SURESNES,92,Appartement,54,2,140,2021
577000,92150,SURESNES,92,Appartement,55,2,140,2021
