property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
320000,1,VLA,LAMARTINE,91080,EVRY-COURCOURONNES,91,Maison,134,7,224,2021
450000,28,RUE,DE SEINE,91450,SOISY-SUR-SEINE,91,Maison,100,3,1000,2021
450000,28,RUE,DE SEINE,91450,SOISY-SUR-SEINE,91,Maison,100,3,461,2021
339000,5,ALL,JEAN RENOIR,91130,RIS-ORANGIS,91,Maison,88,4,434,2021
223300,3,RUE,PAUL DOITTAU,91100,CORBEIL ESSONNES,91,Maison,80,4,147,2021
370000,2,ALL,DES LILAS,91560,CROSNE,91,Maison,110,5,338,2021
865000,3,ALL,DE L'INDUSTRIE,91560,CROSNE,91,Local industriel. commercial ou assimilé,578,0,978,2021
335000,5,PL,DES MEULES,91540,MENNECY,91,Maison,98,6,660,2021
388500,34,RUE,DU GENERAL LECLERC,91480,QUINCY-SOUS-SENART,91,Maison,123,5,521,2021
270000,9,RUE,MAURICE BERTEAUX,91100,CORBEIL ESSONNES,91,Maison,51,3,200,2021
270000,9,RUE,MAURICE BERTEAUX,91100,CORBEIL ESSONNES,91,Maison,51,3,258,2021
270000,18,AV,DU PARC AUX BICHES,91000,EVRY-COURCOURONNES,91,Maison,104,5,210,2021
230700,10,RUE,ANTOINE BOURDELLE,91100,CORBEIL ESSONNES,91,Maison,77,4,108,2021
388875,22,ALL,DES CHENES,91090,LISSES,91,Maison,159,5,632,2021
260000,38,RUE,LA FONTAINE,91100,CORBEIL ESSONNES,91,Maison,96,6,362,2021
308000,17,RUE,DE LA STATION,91610,BALLANCOURT-SUR-ESSONNE,91,Maison,86,5,778,2021
340000,1,RUE,ARMAND CACHAT,91230,MONTGERON,91,Maison,96,5,200,2021
255000,28,RUE,DU COMMANDANT BOUCHET,91270,VIGNEUX SUR SEINE,91,Maison,81,5,276,2021
265000,9137,RUE,JEAN BAPTISTE CLEMENT,91130,RIS-ORANGIS,91,Dépendance,0,0,17,2021
265000,40,RUE,JEAN BAPTISTE CLEMENT,91130,RIS-ORANGIS,91,Maison,90,5,115,2021
285000,3,RUE,DU STADE,91250,SAINTRY-SUR-SEINE,91,Maison,94,5,411,2021
271000,44,RUE,DU PONT LEVIS,91000,EVRY-COURCOURONNES,91,Maison,76,4,289,2021
355870,9,RUE,DE ST CLOUD,91540,MENNECY,91,Maison,122,7,736,2021
385000,29,RUE,ORDENER,91130,RIS-ORANGIS,91,Local industriel. commercial ou assimilé,197,0,359,2021
365000,3,ALL,DE CHATRES,91810,VERT LE GRAND,91,Maison,122,6,601,2021
580000,24,SQ,FRANCOIS DE MALHERBE,91450,SOISY-SUR-SEINE,91,Maison,219,8,737,2021
319000,54,RUE,DES BERGERONNETTES,91540,MENNECY,91,Maison,116,6,210,2021
205000,5,CHE,DE LA CROIX AUVERT,91610,BALLANCOURT-SUR-ESSONNE,91,Maison,55,3,460,2021
380000,12,RLE,MARIN DENIS,91750,CHEVANNES,91,Maison,175,6,424,2021
380000,12,RLE,MARIN DENIS,91750,CHEVANNES,91,Maison,175,6,500,2021
246000,49,RUE,MARIE ROCHE,91090,LISSES,91,Maison,76,4,173,2021
341000,5,RUE,DES LYS,91540,MENNECY,91,Maison,126,7,630,2021
662000,5,ALL,DE LA TERRASSE,91210,DRAVEIL,91,Maison,146,6,987,2021
662000,5,ALL,DE LA TERRASSE,91210,DRAVEIL,91,Maison,146,6,503,2021
315000,23,AV,DES BONS PECHEURS,91130,RIS-ORANGIS,91,Maison,106,6,382,2021
268000,2,AV,MAIGNAN,91210,DRAVEIL,91,Maison,72,4,76,2021
361000,1,RUE,DU CORMIER,91070,BONDOUFLE,91,Maison,132,4,636,2021
370000,3,ALL,DES ECUREUILS,91830,COUDRAY-MONTCEAUX (LE),91,Maison,121,4,503,2021
379000,12,RUE,DE LA PRAIRIE,91750,CHEVANNES,91,Maison,126,5,699,2021
277800,41,RUE,ANDROMEDE,91100,VILLABE,91,Maison,110,5,181,2021
325000,57,RUE,DES VIOLETTES,91270,VIGNEUX SUR SEINE,91,Maison,105,4,402,2021
260000,17,AV,CASSIOPEE,91100,VILLABE,91,Maison,105,6,203,2021
210000,6,CHEM,DU LYCEE,91100,CORBEIL ESSONNES,91,Maison,72,3,474,2021
264800,9,RUE,ARMAND DUCLOS,91100,CORBEIL ESSONNES,91,Maison,92,5,307,2021
220000,20,RUE,DE LA REPUBLIQUE,91480,QUINCY-SOUS-SENART,91,Maison,62,3,371,2021
313280,9,RUE,DES OEILLETS,91270,VIGNEUX SUR SEINE,91,Maison,73,3,408,2021
290000,18,AV,DES SABLES DE ROUVRES,91210,DRAVEIL,91,Maison,138,5,350,2021
367100,17,RUE,BOILEAU,91330,YERRES,91,Maison,85,3,373,2021
288000,58,RUE,DANTON,91210,DRAVEIL,91,Maison,70,3,481,2021
252000,3,RUE,JEAN MARIE DJIBAOU,91270,VIGNEUX SUR SEINE,91,Maison,67,3,193,2021
257500,110,RUE,GEORGES COUBARD,91800,BOUSSY-SAINT-ANTOINE,91,Maison,115,5,268,2021
332500,5,AV,DE MOUSSEAU,91000,EVRY-COURCOURONNES,91,Maison,90,5,778,2021
355000,28,RUE,AMEDEE FRAGUIER,91250,TIGERY,91,Maison,107,5,209,2021
379300,5,RUE,ISAAC NEWTON,91250,TIGERY,91,Maison,127,7,416,2021
308000,37,CHE,D'AMBREVILLE,91100,VILLABE,91,Maison,106,4,465,2021
270000,8,RUE,DE LA PRAIRIE,91070,BONDOUFLE,91,Maison,97,5,607,2021
265000,4,PL,PIERRE DU MOULIN,91070,BONDOUFLE,91,Maison,96,4,230,2021
305000,62,RUE,DE ROBINSON,91100,CORBEIL ESSONNES,91,Maison,99,5,726,2021
220000,11,RUE,ARMAND DUCLOS,91100,CORBEIL ESSONNES,91,Maison,81,4,308,2021
320000,1,IMP,DES MAGNOLIAS,91270,VIGNEUX SUR SEINE,91,Maison,106,5,403,2021
110000,3,IMP,DU CANAL,91100,CORBEIL ESSONNES,91,Appartement,16,3,79,2021
110000,3,IMP,DU CANAL,91100,CORBEIL ESSONNES,91,Appartement,45,2,79,2021
110000,3,IMP,DU CANAL,91100,CORBEIL ESSONNES,91,Dépendance,0,0,79,2021
330000,57,RUE,DE L'EGLANTIER,91090,LISSES,91,Maison,130,5,550,2021
370000,26,RUE,RAYMOND ROZIER,91100,CORBEIL ESSONNES,91,Maison,116,5,360,2021
437500,16,RUE,ST MARTIN,91610,BALLANCOURT-SUR-ESSONNE,91,Maison,145,5,676,2021
222000,126,RUE,DE GOURNAY,91100,CORBEIL ESSONNES,91,Maison,70,3,84,2021
313500,106,RUE,DU GRAND MAURY,91280,SAINT-PIERRE-DU-PERRAY,91,Maison,94,4,568,2021
227550,9,SQ,DES QUINCONCES,91070,BONDOUFLE,91,Maison,77,4,114,2021
375400,28,RUE,JEAN LEGRAND,91330,YERRES,91,Maison,96,5,725,2021
320000,23,RUE,DE CORBEIL,91250,SAINTRY-SUR-SEINE,91,Maison,87,4,665,2021
256000,19,RUE,DES PEUPLIERS,91540,MENNECY,91,Maison,91,4,210,2021
371500,42,RUE,DES ESSARTS,91540,MENNECY,91,Maison,118,5,655,2021
304000,33,RUE,DU GRIPPET,91000,EVRY-COURCOURONNES,91,Maison,118,5,528,2021
403000,75,RUE,DE MANDRES,91800,BRUNOY,91,Maison,170,6,479,2021
530000,72,CHE,DU MAILLEFER,91480,VARENNES-JARCY,91,Maison,182,5,1069,2021
359400,10,RUE,DU BOIS DES ANTONINS,91800,BOUSSY-SAINT-ANTOINE,91,Maison,108,4,410,2021
340000,9,AV,DES TILLEULS,91130,RIS-ORANGIS,91,Maison,93,4,371,2021
290000,30,RUE,DE LA MARQUISE,91130,RIS-ORANGIS,91,Maison,72,4,576,2021
421000,28,RUE,DES FOUGERES,91330,YERRES,91,Maison,110,6,590,2021
395000,37,RUE,COLBERT,91560,CROSNE,91,Maison,118,5,698,2021
310000,1,RUE,DES ACACIAS,91090,LISSES,91,Maison,104,6,313,2021
400000,20,AV,DU GENERAL GOUTTIERE,91800,BRUNOY,91,Maison,104,5,516,2021
314000,36,RUE,LA FONTAINE,91540,MENNECY,91,Maison,83,3,165,2021
680000,16,RUE,DU BOIS DES PRES HAUTS,91280,SAINT-PIERRE-DU-PERRAY,91,Maison,209,4,800,2021
317000,47,RUE,DES VIGNES,91540,ORMOY,91,Maison,93,5,504,2021
600000,12,RUE,D'YERRES,91800,BRUNOY,91,Maison,172,8,400,2021
600000,12,RUE,D'YERRES,91800,BRUNOY,91,Maison,74,4,400,2021
600000,12,RUE,D'YERRES,91800,BRUNOY,91,Maison,172,8,2640,2021
600000,12,RUE,D'YERRES,91800,BRUNOY,91,Maison,74,4,2640,2021
417940,30,RUE,BALZAC,91330,YERRES,91,Maison,78,3,461,2021
335000,94,AV,CHARLES DE GAULLE,91230,MONTGERON,91,Maison,102,4,500,2021
530000,113,RUE,PIERRE BROSSOLETTE,91210,DRAVEIL,91,Maison,162,6,407,2021
226000,10,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Maison,83,4,195,2021
381900,17,RUE,DE LA FAISANDERIE,91560,CROSNE,91,Maison,61,3,432,2021
310000,120,RUE,LOUIS BAUDOIN,91100,CORBEIL ESSONNES,91,Maison,94,4,446,2021
287700,5,RUE,DU GORD,91800,BOUSSY-SAINT-ANTOINE,91,Maison,100,4,370,2021
395000,157,RTE,DE MORSANG,91250,SAINTRY-SUR-SEINE,91,Maison,109,5,1000,2021
395000,157,RTE,DE MORSANG,91250,SAINTRY-SUR-SEINE,91,Maison,109,5,500,2021
358000,4,RUE,DE L UNION,91230,MONTGERON,91,Maison,69,3,419,2021
385000,15,RUE,DES ROSES,91540,MENNECY,91,Maison,123,5,894,2021
842600,202,RTE,DE BRIE,91800,BRUNOY,91,Maison,214,5,1000,2021
842600,202,RTE,DE BRIE,91800,BRUNOY,91,Maison,214,5,1535,2021
342000,27,AV,DU CLOS DE SENART,91230,MONTGERON,91,Maison,57,3,384,2021
6700000,10,RUE,GUSTAVE EIFFEL,91070,BONDOUFLE,91,Local industriel. commercial ou assimilé,8625,0,18988,2021
280000,39,SQ,AGRIPPA D AUBIGNE,91250,SAINT-GERMAIN-LES-CORBEIL,91,Maison,82,4,247,2021
250000,57,RUE,WIDMER,91100,CORBEIL ESSONNES,91,Maison,47,3,282,2021
364000,52,RUE,DE LA MARQUISE,91130,RIS-ORANGIS,91,Maison,115,4,355,2021
1043481,3,RUE,MARYSE BASTIE,91080,EVRY-COURCOURONNES,91,Local industriel. commercial ou assimilé,3637,0,8864,2021
270000,24,BD,DENIS PAPIN,91130,RIS-ORANGIS,91,Maison,62,4,316,2021
107000,26,GR,GRANDE RUE,91100,CORBEIL ESSONNES,91,Maison,55,2,45,2021
424000,1,RUE,DU PARC,91540,MENNECY,91,Maison,223,7,866,2021
424000,1,RUE,DU PARC,91540,MENNECY,91,Local industriel. commercial ou assimilé,320,0,866,2021
614050,34,RUE,DE LA CROIX BOISSEE,91810,VERT LE GRAND,91,Maison,193,7,1000,2021
614050,34,RUE,DE LA CROIX BOISSEE,91810,VERT LE GRAND,91,Maison,193,7,884,2021
381380,24,RUE,DES MARTINETS,91610,BALLANCOURT-SUR-ESSONNE,91,Maison,110,5,514,2021
275000,24,IMP,DE LA PLACE,91100,CORBEIL ESSONNES,91,Maison,68,5,801,2021
40000,6,PL,DE L'EGLISE,91090,LISSES,91,Dépendance,0,0,208,2021
232000,35,RTE,DE LISSES,91100,CORBEIL ESSONNES,91,Maison,55,4,684,2021
285000,60,RUE,PASTEUR,91280,SAINT-PIERRE-DU-PERRAY,91,Maison,57,3,294,2021
491800,61,RUE,DE CORBEIL,91250,SAINTRY-SUR-SEINE,91,Maison,250,8,1115,2021
287000,16,RUE,JEAN MAZEL,91070,BONDOUFLE,91,Maison,80,4,161,2021
280820,16,RUE,DU VAL FLEURI,91800,BRUNOY,91,Maison,89,5,425,2021
330000,14,RUE,DE STRASBOURG,91800,BRUNOY,91,Maison,101,5,500,2021
565000,12,RUE,DE SEINE,91450,SOISY-SUR-SEINE,91,Maison,150,6,271,2021
270000,8,RUE,DE CORBEIL,91250,SAINTRY-SUR-SEINE,91,Maison,90,4,700,2021
320000,15,RUE,FRANKLIN ROOSEVELT,91480,QUINCY-SOUS-SENART,91,Maison,95,3,337,2021
190000,5,ALL,DES THUYAS,91610,BALLANCOURT-SUR-ESSONNE,91,Maison,65,3,444,2021
365000,14,RUE,DU CARNAVAL,91560,CROSNE,91,Maison,100,5,494,2021
350000,29,AV,HENRI COTTON,91250,SAINT-GERMAIN-LES-CORBEIL,91,Maison,95,4,359,2021
275000,33,ALL,DES ORMES,91100,CORBEIL ESSONNES,91,Maison,69,5,552,2021
174000,38,RUE,JEAN-JACQUES ROUSSEAU,91100,CORBEIL ESSONNES,91,Maison,76,5,184,2021
250000,6,RPT,PASTEUR,91330,YERRES,91,Maison,74,5,475,2021
250000,6,RPT,PASTEUR,91330,YERRES,91,Local industriel. commercial ou assimilé,120,0,475,2021
217000,2,ALL,GUSTAVE CLUSERET,91000,EVRY-COURCOURONNES,91,Maison,84,4,66,2021
385000,140,RUE,DE BELLEVUE,91330,YERRES,91,Maison,112,5,53,2021
385000,140,RUE,DE BELLEVUE,91330,YERRES,91,Maison,112,5,756,2021
