property_value,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
"355100,00",78330.0,FONTENAY LE FLEURY,78,Maison,63.0,4.0,417.0,2021
"448650,00",78350.0,LOGES-EN-JOSAS (LES),78,Maison,94.0,4.0,151.0,2021
"245000,00",78210.0,SAINT-CYR-L ECOLE,78,Maison,16.0,0.0,512.0,2021
"364235,00",78180.0,MONTIGNY LE BRETONNEUX,78,Maison,81.0,4.0,114.0,2021
"388000,00",78180.0,MONTIGNY LE BRETONNEUX,78,Maison,110.0,6.0,143.0,2021
"435000,00",78000.0,VERSAILLES,78,Maison,113.0,5.0,428.0,2021
"350000,00",78330.0,FONTENAY LE FLEURY,78,Maison,63.0,4.0,381.0,2021
"1380975,00",78000.0,VERSAILLES,78,Maison,120.0,5.0,117.0,2021
"1380975,00",78000.0,VERSAILLES,78,Maison,120.0,5.0,572.0,2021
"780000,00",78150.0,LE CHESNAY-ROCQUENCOURT,78,Maison,70.0,5.0,475.0,2021
"400000,00",78330.0,FONTENAY LE FLEURY,78,Maison,101.0,5.0,345.0,2021
"378000,00",78390.0,BOIS D ARCY,78,Maison,104.0,5.0,545.0,2021
"1010000,00",78150.0,LE CHESNAY-ROCQUENCOURT,78,Maison,100.0,7.0,339.0,2021
"765300,00",78000.0,VERSAILLES,78,Maison,120.0,6.0,385.0,2021
"765300,00",78000.0,VERSAILLES,78,Maison,120.0,6.0,159.0,2021
"618000,00",78150.0,LE CHESNAY-ROCQUENCOURT,78,Maison,45.0,3.0,164.0,2021
"410000,00",78390.0,BOIS D ARCY,78,Maison,102.0,5.0,720.0,2021
"856500,00",78220.0,VIROFLAY,78,Maison,67.0,3.0,479.0,2021
"430000,00",78280.0,GUYANCOURT,78,Maison,87.0,4.0,153.0,2021
"356000,00",78390.0,BOIS D ARCY,78,Maison,80.0,4.0,174.0,2021
"338000,00",78180.0,MONTIGNY LE BRETONNEUX,78,Maison,77.0,4.0,50.0,2021
"2000000,00",78210.0,SAINT-CYR-L ECOLE,78,Local industriel. commercial ou assimilé,602.0,0.0,150.0,2021
"1100000,00",78000.0,VERSAILLES,78,Maison,85.0,3.0,491.0,2021
"950000,00",78000.0,VERSAILLES,78,Maison,76.0,4.0,340.0,2021
"413700,00",78280.0,GUYANCOURT,78,Maison,98.0,5.0,191.0,2021
"490000,00",78180.0,MONTIGNY LE BRETONNEUX,78,Maison,98.0,5.0,269.0,2021
"680800,00",78280.0,GUYANCOURT,78,Maison,223.0,9.0,533.0,2021
"619000,00",78280.0,GUYANCOURT,78,Maison,58.0,4.0,385.0,2021
"619000,00",78280.0,GUYANCOURT,78,Maison,69.0,4.0,385.0,2021
"619000,00",78280.0,GUYANCOURT,78,Maison,50.0,4.0,385.0,2021
"619000,00",78280.0,GUYANCOURT,78,Maison,82.0,5.0,385.0,2021
"619000,00",78280.0,GUYANCOURT,78,Maison,68.0,4.0,385.0,2021
"619000,00",78280.0,GUYANCOURT,78,Maison,32.0,2.0,385.0,2021
"619000,00",78280.0,GUYANCOURT,78,Maison,47.0,3.0,385.0,2021
"619000,00",78280.0,GUYANCOURT,78,Maison,62.0,4.0,385.0,2021
"619000,00",78280.0,GUYANCOURT,78,Maison,80.0,5.0,385.0,2021
"855100,00",78117.0,TOUSSUS-LE-NOBLE,78,Maison,161.0,7.0,886.0,2021
"280000,00",78000.0,VERSAILLES,78,Appartement,98.0,5.0,200.0,2021
"280000,00",78000.0,VERSAILLES,78,Local industriel. commercial ou assimilé,5.0,0.0,200.0,2021
"280000,00",78000.0,VERSAILLES,78,Local industriel. commercial ou assimilé,120.0,0.0,200.0,2021
"100040,00",78190.0,TRAPPES,78,Maison,40.0,2.0,48.0,2021
"450000,00",78530.0,BUC,78,Local industriel. commercial ou assimilé,845.0,0.0,921.0,2021
"416000,00",78140.0,VELIZY VILLACOUBLAY,78,Maison,59.0,3.0,205.0,2021
"600000,00",78140.0,VELIZY VILLACOUBLAY,78,Maison,60.0,3.0,181.0,2021
"1010220,00",78150.0,LE CHESNAY-ROCQUENCOURT,78,Maison,95.0,5.0,218.0,2021
"2800000,00",78220.0,VIROFLAY,78,Appartement,47.0,3.0,762.0,2021
"2800000,00",78220.0,VIROFLAY,78,Local industriel. commercial ou assimilé,24.0,0.0,762.0,2021
"2800000,00",78220.0,VIROFLAY,78,Local industriel. commercial ou assimilé,20.0,0.0,762.0,2021
"2800000,00",78220.0,VIROFLAY,78,Appartement,12.0,1.0,762.0,2021
"2800000,00",78220.0,VIROFLAY,78,Appartement,36.0,2.0,762.0,2021
"2800000,00",78220.0,VIROFLAY,78,Appartement,20.0,1.0,762.0,2021
"2800000,00",78220.0,VIROFLAY,78,Appartement,46.0,2.0,762.0,2021
"2800000,00",78220.0,VIROFLAY,78,Appartement,18.0,1.0,762.0,2021
"2800000,00",78220.0,VIROFLAY,78,Appartement,30.0,2.0,762.0,2021
"2800000,00",78220.0,VIROFLAY,78,Local industriel. commercial ou assimilé,29.0,0.0,762.0,2021
"2800000,00",78220.0,VIROFLAY,78,Dépendance,0.0,0.0,762.0,2021
"405000,00",78330.0,FONTENAY LE FLEURY,78,Maison,110.0,5.0,156.0,2021
"374850,00",78180.0,MONTIGNY LE BRETONNEUX,78,Maison,113.0,6.0,133.0,2021
"453000,00",78530.0,BUC,78,Maison,67.0,3.0,453.0,2021
"1100000,00",78190.0,TRAPPES,78,Local industriel. commercial ou assimilé,728.0,0.0,2596.0,2021
"443500,00",78280.0,GUYANCOURT,78,Maison,98.0,5.0,237.0,2021
"680000,00",78210.0,SAINT-CYR-L ECOLE,78,Maison,123.0,6.0,502.0,2021
"1800000,00",78140.0,VELIZY VILLACOUBLAY,78,Local industriel. commercial ou assimilé,3727.0,0.0,4242.0,2021
"211500,00",78210.0,SAINT-CYR-L ECOLE,78,Dépendance,0.0,0.0,463.0,2021
"408000,00",78180.0,MONTIGNY LE BRETONNEUX,78,Maison,71.0,4.0,319.0,2021
"569043,94",78350.0,JOUY EN JOSAS,78,Maison,76.0,4.0,330.0,2021
"438000,00",78180.0,MONTIGNY LE BRETONNEUX,78,Maison,99.0,4.0,232.0,2021
"610400,00",78117.0,CHATEAUFORT,78,Maison,98.0,4.0,386.0,2021
"846000,00",78180.0,MONTIGNY LE BRETONNEUX,78,Maison,163.0,6.0,914.0,2021
"653000,00",78350.0,JOUY EN JOSAS,78,Maison,105.0,5.0,302.0,2021
"595000,00",78220.0,VIROFLAY,78,Maison,48.0,4.0,162.0,2021
"411000,00",78330.0,FONTENAY LE FLEURY,78,Maison,181.0,8.0,262.0,2021
