transaction_date,transaction_type,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
06/01/2023,Vente,430000,75019,PARIS 19,75,119,1,Maison,18,1,28
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,84,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,150,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,16,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,203,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,92,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,77,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,114,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,109,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,14,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,8,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,89,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,76,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,0,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,149,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,148,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,88,0,454
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,175,5,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,31,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,60,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,100,4,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,352,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,50,3,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,354,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,88,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,30,2,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,385,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,123,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,95,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,80,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,160,5,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,28,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,20,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,18,1,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,104,4,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,55,3,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,103,4,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,20,1,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,66,3,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,15,1,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,48,2,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,42,2,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,50,2,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,60,3,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,51,2,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,167,6,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,150,5,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,2,Appartement,190,6,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,26,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,18,0,1057
04/01/2023,Vente en l'état futur d'achèvement,762000000,75001,PARIS 01,75,101,4,Local industriel. commercial ou assimilé,100,0,1057
