Model,MAE (€),RMSE (€),R2
DecisionTree,288235.3928771649,1432301.4802260401,0.8003212459198381
RandomForest,350348.6528976305,1622175.1887758607,0.7438711581047089
GradientBoosting,617320.0393582591,2607287.0371148004,0.3383311833762839
