property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
264000,50,RUE,DU TEMPLE,91130,RIS-ORANGIS,91,Maison,65,4,290,2022
264000,50,RUE,DU TEMPLE,91130,RIS-ORANGIS,91,Dépendance,0,0,290,2022
368000,5,RUE,DU DONJON,91800,BRUNOY,91,Maison,60,3,142,2022
300000,18,RUE,CAMILLE CLAUDEL,91610,BALLANCOURT-SUR-ESSONNE,91,Dépendance,0,0,300,2022
300000,18,RUE,CAMILLE CLAUDEL,91610,BALLANCOURT-SUR-ESSONNE,91,Maison,80,4,300,2022
433000,12,RUE,MOLIERE,91330,YERRES,91,Maison,109,5,540,2022
433000,12,RUE,MOLIERE,91330,YERRES,91,Dépendance,0,0,540,2022
450000,93,ALL,DE LA POINTE GENETE,91190,GIF SUR YVETTE,91,Maison,69,4,542,2022
435020,35,AV,JEAN GIONO,91250,SAINT-GERMAIN-LES-CORBEIL,91,Maison,96,5,655,2022
143000,92,RUE,DU MESNIL,91180,SAINT-GERMAIN-LES-ARPAJON,91,Maison,36,1,400,2022
143000,92,RUE,DU MESNIL,91180,SAINT-GERMAIN-LES-ARPAJON,91,Dépendance,0,0,400,2022
430443,4,CHE,DU CHENE MOITIE,91310,LINAS,91,Maison,136,4,701,2022
230000,7,RUE,DU PUITS,91830,COUDRAY-MONTCEAUX (LE),91,Maison,87,4,188,2022
230000,7,RUE,DU PUITS,91830,COUDRAY-MONTCEAUX (LE),91,Dépendance,0,0,188,2022
257250,6,ALL,DES ROBINIERS,91100,CORBEIL ESSONNES,91,Maison,81,4,500,2022
257250,6,ALL,DES ROBINIERS,91100,CORBEIL ESSONNES,91,Maison,81,4,98,2022
315000,1,VOIE,FUJITA,91700,VILLIERS-SUR-ORGE,91,Dépendance,0,0,146,2022
315000,1,VOIE,FUJITA,91700,VILLIERS-SUR-ORGE,91,Maison,80,4,146,2022
420500,9,RUE,DE TOURNENFILS,91540,ORMOY,91,Maison,98,4,545,2022
262000,2,RUE,DE LA MAIRIE,91150,BROUY,91,Maison,140,6,965,2022
262000,2,RUE,DE LA MAIRIE,91150,BROUY,91,Dépendance,0,0,965,2022
400000,63,RUE,DU BOIS AUBERT,91830,COUDRAY-MONTCEAUX (LE),91,Maison,110,5,528,2022
430000,9,RUE,DE SEVRES,91540,MENNECY,91,Maison,122,7,736,2022
532000,34,ALL,ROBERT BADEN POWELL,91070,BONDOUFLE,91,Maison,166,6,650,2022
394000,15,RUE,DES CHENES,91200,ATHIS MONS,91,Dépendance,0,0,330,2022
394000,15,RUE,DES CHENES,91200,ATHIS MONS,91,Maison,85,4,330,2022
505000,106,RUE,DES TIPHOINES,91240,SAINT-MICHEL-SUR-ORGE,91,Maison,146,7,694,2022
505000,106,RUE,DES TIPHOINES,91240,SAINT-MICHEL-SUR-ORGE,91,Maison,146,7,600,2022
505000,104,RUE,DES TIPHOINES,91240,SAINT-MICHEL-SUR-ORGE,91,Maison,74,4,221,2022
214000,9,RUE,DES MESANGES,91700,SAINTE-GENEVIEVE-DES-BOIS,91,Maison,70,4,222,2022
214000,9,RUE,DES MESANGES,91700,SAINTE-GENEVIEVE-DES-BOIS,91,Dépendance,0,0,222,2022
375000,73,RUE,ALFRED DUBOIS,91460,MARCOUSSIS,91,Maison,119,4,268,2022
440220,17,ALL,DE LA CHENAIE,91210,DRAVEIL,91,Maison,115,6,337,2022
369000,47,RUE,DES MARTINETS,91610,BALLANCOURT-SUR-ESSONNE,91,Maison,112,5,659,2022
403000,5,RUE,DE CHILLY,91160,LONGJUMEAU,91,Dépendance,0,0,211,2022
403000,5,RUE,DE CHILLY,91160,LONGJUMEAU,91,Maison,90,5,211,2022
340000,103,AV,DU GENERAL LECLERC,91800,BRUNOY,91,Dépendance,0,0,509,2022
340000,103,AV,DU GENERAL LECLERC,91800,BRUNOY,91,Maison,71,3,509,2022
340000,103,AV,DU GENERAL LECLERC,91800,BRUNOY,91,Maison,42,2,509,2022
414200,39,RUE,DE MAINVILLE,91230,MONTGERON,91,Maison,86,3,203,2022
535000,9,ALL,DES MERISIERS,91360,VILLEMOISSON-S-ORGE,91,Dépendance,0,0,432,2022
535000,9,ALL,DES MERISIERS,91360,VILLEMOISSON-S-ORGE,91,Maison,145,5,432,2022
392450,6,CHE,DE LA FERTE,91240,SAINT-MICHEL-SUR-ORGE,91,Maison,126,6,531,2022
321000,43,AV,CASSIOPEE,91100,VILLABE,91,Maison,104,6,200,2022
184350,33,RUE,DES SABLONS,91540,ECHARCON,91,Maison,46,3,52,2022
