property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
4500000,20,RUE,DELIZY,93500,PANTIN,93,Local industriel. commercial ou assimilé,51,0,5640,2022
4500000,20,RUE,DELIZY,93500,PANTIN,93,Local industriel. commercial ou assimilé,110,0,5640,2022
4500000,20,RUE,DELIZY,93500,PANTIN,93,Local industriel. commercial ou assimilé,165,0,5640,2022
4500000,20,RUE,DELIZY,93500,PANTIN,93,Local industriel. commercial ou assimilé,680,0,5640,2022
4500000,20,RUE,DELIZY,93500,PANTIN,93,Local industriel. commercial ou assimilé,65,0,5640,2022
4500000,20,RUE,DELIZY,93500,PANTIN,93,Local industriel. commercial ou assimilé,280,0,5640,2022
4500000,20,RUE,DELIZY,93500,PANTIN,93,Local industriel. commercial ou assimilé,1100,0,5640,2022
220000,27,ALL,VELLEDA,93340,LE RAINCY,93,Maison,57,3,115,2022
245000,22,RUE,JULES VALLES,93600,AULNAY SOUS BOIS,93,Maison,63,4,427,2022
265000,8,RUE,GUARNIERI,93000,BOBIGNY,93,Dépendance,0,0,268,2022
265000,8,RUE,GUARNIERI,93000,BOBIGNY,93,Maison,68,3,268,2022
400000,44,AV,FOCH,93460,GOURNAY SUR MARNE,93,Maison,82,4,80,2022
400000,44,AV,FOCH,93460,GOURNAY SUR MARNE,93,Maison,82,4,504,2022
540000,104,RUE,DE LA COTE DES CHENES,93110,ROSNY-SOUS-BOIS,93,Maison,76,5,363,2022
210000,33,ALL,DES COTEAUX,93340,LE RAINCY,93,Dépendance,0,0,182,2022
650000,5,RUE,GOUNOD,93250,VILLEMOMBLE,93,Maison,180,4,363,2022
414050,127,RUE,BABEUF,93100,MONTREUIL,93,Dépendance,0,0,129,2022
414050,127,RUE,BABEUF,93100,MONTREUIL,93,Maison,67,3,129,2022
398000,172,AV,DE ROSNY,93130,NOISY-LE-SEC,93,Dépendance,0,0,209,2022
398000,172,AV,DE ROSNY,93130,NOISY-LE-SEC,93,Maison,110,6,209,2022
230000,27,RUE,LEO DELIBES,93120,LA COURNEUVE,93,Dépendance,0,0,197,2022
230000,27,RUE,LEO DELIBES,93120,LA COURNEUVE,93,Maison,69,4,197,2022
200000,8,AV,PAUL BERT,93420,VILLEPINTE,93,Maison,55,3,410,2022
667900,27,AV,DE BOURGOGNE,93160,NOISY-LE-GRAND,93,Maison,114,5,568,2022
667900,27,AV,DE BOURGOGNE,93160,NOISY-LE-GRAND,93,Dépendance,0,0,568,2022
995000,12,RUE,GASTON LAURIAU,93100,MONTREUIL,93,Appartement,43,2,259,2022
995000,12,RUE,GASTON LAURIAU,93100,MONTREUIL,93,Local industriel. commercial ou assimilé,125,0,259,2022
357000,56,AV,FIRMIN DIDOT,93190,LIVRY-GARGAN,93,Maison,60,3,247,2022
357000,56,AV,FIRMIN DIDOT,93190,LIVRY-GARGAN,93,Dépendance,0,0,247,2022
283000,3,ALL,HENRI MATISSE,93440,DUGNY,93,Maison,83,5,173,2022
300000,19,AV,DE NANCY,93140,BONDY,93,Maison,82,4,228,2022
270000,6,AV,DU PRT J F KENNEDY,93190,LIVRY-GARGAN,93,Dépendance,0,0,319,2022
270000,6,AV,DU PRT J F KENNEDY,93190,LIVRY-GARGAN,93,Maison,54,3,319,2022
323000,34,RUE,LACORDAIRE,93700,DRANCY,93,Maison,52,2,186,2022
550000,17,CHE,DES BOULEAUX,93160,NOISY-LE-GRAND,93,Maison,114,4,211,2022
400000,39,ALL,ALICE,93140,BONDY,93,Maison,110,5,419,2022
400000,39,ALL,ALICE,93140,BONDY,93,Dépendance,0,0,419,2022
296000,57,RUE,HOCHE,93700,DRANCY,93,Maison,67,2,351,2022
365000,11,RUE,ROGER SALENGRO,93600,AULNAY SOUS BOIS,93,Maison,110,5,265,2022
320500,24,ALL,DES MAISONNETTES,93220,GAGNY,93,Maison,76,5,474,2022
484000,94,ALL,PIERRE ET MARIE CURIE,93320,LES PAVILLONS-SOUS-BOIS,93,Maison,83,5,417,2022
349000,22,RUE,JEAN MOULIN,93470,COUBRON,93,Maison,87,5,616,2022
255000,79,AV,PAUL DUPONT,93190,LIVRY-GARGAN,93,Maison,45,3,169,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Dépendance,0,0,3667,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Appartement,35,1,3667,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Appartement,29,2,3667,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Appartement,31,1,3667,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Appartement,55,3,3667,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Appartement,56,3,3667,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Appartement,68,4,3667,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Appartement,74,4,3667,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Appartement,51,3,3667,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Appartement,35,3,3667,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Appartement,44,2,3667,2022
8500000,9,RUE,DE L EGLISE,93420,VILLEPINTE,93,Appartement,45,2,3667,2022
100000,146,RUE,DE SAINT ANTOINE,93100,MONTREUIL,93,Maison,40,2,768,2022
455000,5,AV,DES MESARMES,93140,BONDY,93,Maison,100,5,284,2022
395000,54,RUE,DE MOSCOU,93000,BOBIGNY,93,Maison,118,5,349,2022
280000,10,RUE,TOURNADOUR,93600,AULNAY SOUS BOIS,93,Maison,51,3,316,2022
538000,30,AV,JEANNE D ARC,93600,AULNAY SOUS BOIS,93,Maison,110,4,461,2022
538000,30,AV,JEANNE D ARC,93600,AULNAY SOUS BOIS,93,Local industriel. commercial ou assimilé,41,0,461,2022
315000,26,AV,PLISSON,93150,LE BLANC-MESNIL,93,Maison,135,6,300,2022
384000,50,AV,DUPUIS,93600,AULNAY SOUS BOIS,93,Maison,110,5,445,2022
384000,50,AV,DUPUIS,93600,AULNAY SOUS BOIS,93,Dépendance,0,0,445,2022
470000,4,RUE,BERNADETTE,93160,NOISY-LE-GRAND,93,Maison,99,4,334,2022
290000,1,ALL,DU ROCHER,93390,CLICHY SOUS BOIS,93,Maison,89,3,423,2022
290000,1,ALL,DU ROCHER,93390,CLICHY SOUS BOIS,93,Dépendance,0,0,423,2022
3241990,30,RUE,DE VILLIERS,93100,MONTREUIL,93,Local industriel. commercial ou assimilé,458,0,453,2022
3348200,13,RUE,DES FILLETTES,93210,SAINT-DENIS,93,Local industriel. commercial ou assimilé,2999,0,1252,2022
3348200,13,RUE,DES FILLETTES,93210,SAINT-DENIS,93,Appartement,20,1,1252,2022
3348200,13,RUE,DES FILLETTES,93210,SAINT-DENIS,93,Dépendance,0,0,1252,2022
620000,14,RUE,DES FRERES DARRAS,93160,NOISY-LE-GRAND,93,Dépendance,0,0,538,2022
620000,14,RUE,DES FRERES DARRAS,93160,NOISY-LE-GRAND,93,Maison,129,6,538,2022
650000,34,RTE,D AULNAY,93140,BONDY,93,Appartement,20,1,768,2022
650000,34,RTE,D AULNAY,93140,BONDY,93,Maison,48,3,768,2022
650000,34,RTE,D AULNAY,93140,BONDY,93,Dépendance,0,0,768,2022
