property_value,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
"369900,00",77170.0,BRIE COMTE ROBERT,77,Maison,77.0,4.0,720.0,2022
"727530,00",77300.0,FONTAINEBLEAU,77,Maison,150.0,8.0,181.0,2022
"355000,00",77190.0,DAMMARIE LES LYS,77,Maison,136.0,4.0,662.0,2022
"355000,00",77190.0,DAMMARIE LES LYS,77,Maison,136.0,4.0,500.0,2022
"360000,00",77310.0,SAINT-FARGEAU-PONTHIERRY,77,Dépendance,0.0,0.0,59.0,2022
"360000,00",77310.0,SAINT-FARGEAU-PONTHIERRY,77,Maison,63.0,4.0,59.0,2022
"360000,00",77310.0,SAINT-FARGEAU-PONTHIERRY,77,Dépendance,0.0,0.0,1146.0,2022
"360000,00",77310.0,SAINT-FARGEAU-PONTHIERRY,77,Maison,63.0,4.0,1146.0,2022
"364500,00",77240.0,VERT-SAINT-DENIS,77,Maison,96.0,5.0,225.0,2022
"390000,00",77380.0,COMBS LA VILLE,77,Maison,74.0,6.0,618.0,2022
"390000,00",77380.0,COMBS LA VILLE,77,Dépendance,0.0,0.0,618.0,2022
"457800,00",77115.0,BLANDY,77,Maison,111.0,5.0,496.0,2022
"275000,00",77380.0,COMBS LA VILLE,77,Maison,76.0,4.0,170.0,2022
"265000,00",77350.0,LE MEE SUR SEINE,77,Maison,106.0,5.0,161.0,2022
"620000,00",77330.0,OZOIR LA FERRIERE,77,Dépendance,0.0,0.0,557.0,2022
"620000,00",77330.0,OZOIR LA FERRIERE,77,Maison,180.0,7.0,557.0,2022
"481600,00",77310.0,SAINT-FARGEAU-PONTHIERRY,77,Maison,93.0,2.0,34.0,2022
"58000,00",77820.0,CHATILLON-LA-BORDE,77,Appartement,40.0,1.0,658.0,2022
"58000,00",77820.0,CHATILLON-LA-BORDE,77,Dépendance,0.0,0.0,658.0,2022
"58000,00",77820.0,CHATILLON-LA-BORDE,77,Dépendance,0.0,0.0,70.0,2022
"58000,00",77820.0,CHATILLON-LA-BORDE,77,Appartement,40.0,1.0,70.0,2022
"300000,00",77950.0,VOISENON,77,Dépendance,0.0,0.0,114.0,2022
"300000,00",77950.0,VOISENON,77,Maison,240.0,8.0,500.0,2022
"300000,00",77950.0,VOISENON,77,Dépendance,0.0,0.0,500.0,2022
"300000,00",77950.0,VOISENON,77,Maison,240.0,8.0,114.0,2022
"458000,00",77220.0,TOURNAN-EN-BRIE,77,Maison,203.0,7.0,793.0,2022
"458000,00",77220.0,TOURNAN-EN-BRIE,77,Maison,79.0,3.0,793.0,2022
"458000,00",77220.0,TOURNAN-EN-BRIE,77,Dépendance,0.0,0.0,793.0,2022
"139500,00",77176.0,SAVIGNY-LE-TEMPLE,77,Dépendance,0.0,0.0,15.0,2022
"436850,00",77115.0,SIVRY-COURTRY,77,Maison,111.0,3.0,140.0,2022
"338000,00",77350.0,BOISSISE-LA-BERTRAND,77,Maison,88.0,4.0,500.0,2022
"338000,00",77350.0,BOISSISE-LA-BERTRAND,77,Maison,88.0,4.0,2479.0,2022
"307000,00",77166.0,GRISY-SUISNES,77,Maison,90.0,4.0,840.0,2022
"267700,00",77130.0,SAINT-GERMAIN-LAVAL,77,Dépendance,0.0,0.0,808.0,2022
"267700,00",77130.0,SAINT-GERMAIN-LAVAL,77,Maison,130.0,4.0,808.0,2022
"351250,00",77950.0,RUBELLES,77,Dépendance,0.0,0.0,661.0,2022
"351250,00",77950.0,RUBELLES,77,Maison,101.0,5.0,661.0,2022
"305000,00",77630.0,ARBONNE-LA-FORET,77,Maison,74.0,4.0,504.0,2022
"110000,00",77176.0,SAVIGNY-LE-TEMPLE,77,Dépendance,0.0,0.0,294.0,2022
"110000,00",77176.0,SAVIGNY-LE-TEMPLE,77,Dépendance,0.0,0.0,600.0,2022
"310000,00",77930.0,CELY EN BIERE,77,Maison,122.0,5.0,186.0,2022
"260000,00",77140.0,SAINT-PIERRE-LES-NEMOURS,77,Maison,75.0,4.0,682.0,2022
"225000,00",77240.0,SEINE-PORT,77,Maison,90.0,4.0,99.0,2022
"477519,88",77380.0,COMBS LA VILLE,77,Maison,14.0,1.0,3914.0,2022
"477519,88",77380.0,COMBS LA VILLE,77,Maison,123.0,5.0,3914.0,2022
"320000,00",77127.0,LIEUSAINT,77,Maison,110.0,4.0,250.0,2022
"350000,00",77340.0,PONTAULT COMBAULT,77,Maison,120.0,6.0,421.0,2022
"358300,00",77350.0,LE MEE SUR SEINE,77,Maison,111.0,5.0,626.0,2022
