property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
430000,118,RUE,COMPANS,75019,PARIS 19,75,Maison,18,1,28,2023
4560000,36,RUE,DES PETITES ECURIES,75010,PARIS 10,75,Appartement,40,2,96,2023
4560000,36,RUE,DES PETITES ECURIES,75010,PARIS 10,75,Local industriel. commercial ou assimilé,98,0,96,2023
4560000,36,RUE,DES PETITES ECURIES,75010,PARIS 10,75,Local industriel. commercial ou assimilé,8,0,96,2023
4560000,36,RUE,DES PETITES ECURIES,75010,PARIS 10,75,Dépendance,0,0,96,2023
4560000,36,RUE,DES PETITES ECURIES,75010,PARIS 10,75,Appartement,25,1,96,2023
4560000,36,RUE,DES PETITES ECURIES,75010,PARIS 10,75,Appartement,32,2,96,2023
4560000,36,RUE,DES PETITES ECURIES,75010,PARIS 10,75,Appartement,30,2,96,2023
4560000,36,RUE,DES PETITES ECURIES,75010,PARIS 10,75,Appartement,18,1,96,2023
4560000,36,RUE,DES PETITES ECURIES,75010,PARIS 10,75,Appartement,10,1,96,2023
4560000,36,RUE,DES PETITES ECURIES,75010,PARIS 10,75,Appartement,12,1,96,2023
27000000,129,BD,MALESHERBES,75017,PARIS 17,75,Local industriel. commercial ou assimilé,1281,0,466,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Appartement,42,2,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Dépendance,0,0,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Appartement,49,2,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Appartement,42,4,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Appartement,34,2,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Appartement,40,2,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Appartement,50,4,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Appartement,48,3,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Appartement,52,3,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Appartement,46,2,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Appartement,47,2,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Local industriel. commercial ou assimilé,93,0,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Local industriel. commercial ou assimilé,64,0,516,2023
1342222,105,RUE,DE L OURCQ,75019,PARIS 19,75,Appartement,50,2,516,2023
