property_value,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
346450,77176,SAVIGNY-LE-TEMPLE,77,Maison,90,5,372,2023
160000,77130,MONTEREAU FAULT YONNE,77,Maison,60,3,454,2023
160000,77130,MONTEREAU FAULT YONNE,77,Dépendance,0,0,454,2023
370000,77380,COMBS LA VILLE,77,Maison,74,4,660,2023
139900,77390,VERNEUIL-L ETANG,77,Maison,76,4,120,2023
139900,77390,VERNEUIL-L ETANG,77,Dépendance,0,0,13,2023
560000,77950,RUBELLES,77,Maison,168,7,303,2023
560000,77950,RUBELLES,77,Dépendance,0,0,2572,2023
560000,77950,RUBELLES,77,Maison,168,7,2572,2023
560000,77950,RUBELLES,77,Dépendance,0,0,303,2023
280000,77000,MELUN,77,Maison,66,4,498,2023
285000,77720,BOMBON,77,Maison,100,5,147,2023
156000,77720,MORMANT,77,Maison,92,4,430,2023
9000,77350,LE MEE SUR SEINE,77,Maison,79,4,28,2023
424600,77123,NOISY-SUR-ECOLE,77,Dépendance,0,0,1450,2023
424600,77123,NOISY-SUR-ECOLE,77,Maison,125,7,1450,2023
383000,77135,PONTCARRE,77,Maison,91,5,433,2023
660000,77170,SERVON,77,Maison,216,7,500,2023
660000,77170,SERVON,77,Maison,216,7,724,2023
451000,77720,CHAMPEAUX,77,Local industriel. commercial ou assimilé,81,0,500,2023
451000,77720,CHAMPEAUX,77,Maison,128,3,2500,2023
451000,77720,CHAMPEAUX,77,Local industriel. commercial ou assimilé,81,0,2500,2023
451000,77720,CHAMPEAUX,77,Maison,128,3,500,2023
198500,77130,VARENNES-SUR-SEINE,77,Maison,71,4,284,2023
198500,77130,VARENNES-SUR-SEINE,77,Dépendance,0,0,284,2023
300000,77130,DORMELLES,77,Maison,75,4,82,2023
300000,77130,DORMELLES,77,Dépendance,0,0,82,2023
259000,77130,VARENNES-SUR-SEINE,77,Dépendance,0,0,296,2023
259000,77130,VARENNES-SUR-SEINE,77,Maison,118,4,296,2023
355000,77390,YEBLES,77,Maison,102,5,600,2023
215000,77350,LE MEE SUR SEINE,77,Maison,84,5,121,2023
240000,77170,BRIE COMTE ROBERT,77,Maison,94,4,225,2023
467000,77127,LIEUSAINT,77,Dépendance,0,0,500,2023
467000,77127,LIEUSAINT,77,Dépendance,0,0,185,2023
467000,77127,LIEUSAINT,77,Maison,77,4,500,2023
467000,77127,LIEUSAINT,77,Maison,77,4,185,2023
140500,77720,MORMANT,77,Maison,68,3,301,2023
900000,77130,MONTEREAU FAULT YONNE,77,Local industriel. commercial ou assimilé,1132,0,7454,2023
208450,77460,CHAINTREAUX,77,Maison,97,3,567,2023
226000,77190,DAMMARIE LES LYS,77,Dépendance,0,0,97,2023
226000,77190,DAMMARIE LES LYS,77,Maison,92,5,97,2023
226000,77190,DAMMARIE LES LYS,77,Dépendance,0,0,737,2023
226000,77190,DAMMARIE LES LYS,77,Maison,92,5,737,2023
281000,77720,BREAU,77,Maison,94,4,396,2023
580000,77780,BOURRON-MARLOTTE,77,Dépendance,0,0,153,2023
580000,77780,BOURRON-MARLOTTE,77,Maison,200,7,153,2023
210000,77000,MELUN,77,Local industriel. commercial ou assimilé,8,0,81,2023
210000,77000,MELUN,77,Maison,92,6,81,2023
979000,77350,BOISSETTES,77,Dépendance,0,0,300,2023
979000,77350,BOISSETTES,77,Dépendance,0,0,5642,2023
979000,77350,BOISSETTES,77,Dépendance,0,0,2308,2023
979000,77350,BOISSETTES,77,Maison,395,11,2308,2023
979000,77350,BOISSETTES,77,Dépendance,0,0,1000,2023
979000,77350,BOISSETTES,77,Maison,395,11,1000,2023
296000,77240,VERT-SAINT-DENIS,77,Maison,79,4,380,2023
240000,77115,BLANDY,77,Maison,70,3,560,2023
240000,77115,BLANDY,77,Dépendance,0,0,560,2023
240000,77115,BLANDY,77,Maison,70,3,83,2023
240000,77115,BLANDY,77,Dépendance,0,0,83,2023
498250,77760,ACHERES-LA-FORET,77,Maison,351,7,609,2023
498250,77760,ACHERES-LA-FORET,77,Local industriel. commercial ou assimilé,20,0,609,2023
139000,77460,SOUPPES-SUR-LOING,77,Maison,74,3,404,2023
8216400,77940,ESMANS,77,Local industriel. commercial ou assimilé,2278,0,4318,2023
8216400,77940,ESMANS,77,Local industriel. commercial ou assimilé,1000,0,1933,2023
352000,77340,PONTAULT COMBAULT,77,Maison,67,3,415,2023
370000,77170,BRIE COMTE ROBERT,77,Maison,87,5,595,2023
413000,77720,SAINT-OUEN-EN-BRIE,77,Maison,136,5,644,2023
413000,77720,SAINT-OUEN-EN-BRIE,77,Maison,136,5,500,2023
325500,77135,PONTCARRE,77,Maison,87,5,224,2023
548600,77111,SOIGNOLLES-EN-BRIE,77,Maison,165,6,662,2023
548600,77111,SOIGNOLLES-EN-BRIE,77,Maison,165,6,500,2023
548600,77111,SOIGNOLLES-EN-BRIE,77,Dépendance,0,0,500,2023
548600,77111,SOIGNOLLES-EN-BRIE,77,Dépendance,0,0,662,2023
37900,77570,CHATEAU-LANDON,77,Dépendance,0,0,267,2023
37900,77570,CHATEAU-LANDON,77,Appartement,18,1,267,2023
107500,77130,MONTEREAU FAULT YONNE,77,Maison,112,6,544,2023
60500,77460,SOUPPES-SUR-LOING,77,Local industriel. commercial ou assimilé,16,0,510,2023
60500,77460,SOUPPES-SUR-LOING,77,Maison,78,4,510,2023
60500,77460,SOUPPES-SUR-LOING,77,Dépendance,0,0,510,2023
480000,77340,PONTAULT COMBAULT,77,Maison,110,4,400,2023
480000,77340,PONTAULT COMBAULT,77,Dépendance,0,0,400,2023
140000,77720,MORMANT,77,Maison,68,3,227,2023
149000,77460,SOUPPES-SUR-LOING,77,Maison,97,5,380,2023
405000,77330,OZOIR LA FERRIERE,77,Maison,80,4,374,2023
570000,77310,SAINT-FARGEAU-PONTHIERRY,77,Dépendance,0,0,500,2023
570000,77310,SAINT-FARGEAU-PONTHIERRY,77,Maison,260,7,1181,2023
570000,77310,SAINT-FARGEAU-PONTHIERRY,77,Dépendance,0,0,1181,2023
570000,77310,SAINT-FARGEAU-PONTHIERRY,77,Maison,260,7,500,2023
320000,77140,DARVAULT,77,Dépendance,0,0,849,2023
320000,77140,DARVAULT,77,Maison,165,5,849,2023
160000,77140,DARVAULT,77,Local industriel. commercial ou assimilé,132,0,524,2023
640000,77330,OZOIR LA FERRIERE,77,Maison,160,6,561,2023
640000,77330,OZOIR LA FERRIERE,77,Maison,160,6,500,2023
305000,77170,BRIE COMTE ROBERT,77,Maison,100,3,188,2023
410000,77690,MONTIGNY-SUR-LOING,77,Maison,120,5,255,2023
285000,77380,COMBS LA VILLE,77,Maison,82,5,358,2023
165000,77380,COMBS LA VILLE,77,Dépendance,0,0,280,2023
165000,77380,COMBS LA VILLE,77,Maison,92,5,280,2023
257500,77176,SAVIGNY-LE-TEMPLE,77,Maison,77,4,166,2023
256000,77127,LIEUSAINT,77,Maison,75,4,181,2023
180000,77620,EGREVILLE,77,Maison,70,4,3702,2023
335000,77170,COUBERT,77,Maison,119,6,316,2023
110000,77130,MONTEREAU FAULT YONNE,77,Maison,94,5,320,2023
387000,77810,THOMERY,77,Dépendance,0,0,148,2023
387000,77810,THOMERY,77,Maison,212,7,148,2023
163000,77720,MORMANT,77,Maison,64,3,226,2023
237000,77190,DAMMARIE LES LYS,77,Maison,78,4,340,2023
92900,77760,RECLOSES,77,Maison,64,3,69,2023
92900,77760,RECLOSES,77,Maison,64,3,518,2023
405535,77920,SAMOIS SUR SEINE,77,Maison,105,4,127,2023
218910,77760,LARCHANT,77,Maison,64,2,200,2023
218910,77760,LARCHANT,77,Maison,64,2,474,2023
170000,77140,SAINT-PIERRE-LES-NEMOURS,77,Dépendance,0,0,142,2023
170000,77140,SAINT-PIERRE-LES-NEMOURS,77,Maison,72,4,142,2023
140000,77460,CHAINTREAUX,77,Dépendance,0,0,637,2023
140000,77460,CHAINTREAUX,77,Maison,100,5,637,2023
273000,77190,DAMMARIE LES LYS,77,Maison,97,4,571,2023
263000,77130,VARENNES-SUR-SEINE,77,Maison,91,4,476,2023
540000,77340,PONTAULT COMBAULT,77,Maison,147,5,720,2023
540000,77340,PONTAULT COMBAULT,77,Maison,147,5,123,2023
214000,77350,LE MEE SUR SEINE,77,Maison,89,4,166,2023
420000,77240,CESSON,77,Maison,127,6,292,2023
1050000,77310,PRINGY,77,Maison,170,5,2213,2023
1050000,77310,PRINGY,77,Maison,170,5,500,2023
1050000,77310,PRINGY,77,Local industriel. commercial ou assimilé,48,0,2213,2023
1050000,77310,PRINGY,77,Local industriel. commercial ou assimilé,48,0,500,2023
570000,77330,OZOIR LA FERRIERE,77,Maison,141,6,622,2023
15000,77460,SOUPPES-SUR-LOING,77,Dépendance,0,0,26,2023
167000,77670,SAINT-MAMMES,77,Maison,64,3,416,2023
95000,77850,HERICY,77,Dépendance,0,0,214,2023
1283570,77300,FONTAINEBLEAU,77,Maison,140,7,302,2023
144000,77940,VOULX,77,Maison,50,3,570,2023
144000,77940,VOULX,77,Dépendance,0,0,570,2023
207000,77140,SAINT-PIERRE-LES-NEMOURS,77,Local industriel. commercial ou assimilé,370,0,387,2023
480000,77220,LIVERDY-EN-BRIE,77,Maison,145,6,416,2023
228850,77810,THOMERY,77,Maison,70,2,59,2023
280000,77380,COMBS LA VILLE,77,Maison,63,3,318,2023
252000,77240,VERT-SAINT-DENIS,77,Maison,75,4,162,2023
252000,77240,VERT-SAINT-DENIS,77,Dépendance,0,0,162,2023
425000,77380,COMBS LA VILLE,77,Dépendance,0,0,433,2023
425000,77380,COMBS LA VILLE,77,Maison,113,5,433,2023
267500,77140,SAINT-PIERRE-LES-NEMOURS,77,Maison,84,3,690,2023
267500,77140,SAINT-PIERRE-LES-NEMOURS,77,Maison,84,3,200,2023
514000,77340,PONTAULT COMBAULT,77,Maison,150,6,528,2023
405875,77810,THOMERY,77,Maison,140,6,715,2023
595000,77760,RUMONT,77,Dépendance,0,0,2819,2023
595000,77760,RUMONT,77,Maison,190,6,2819,2023
199500,77140,NEMOURS,77,Maison,73,4,514,2023
160000,77760,BOULANCOURT,77,Maison,102,3,286,2023
334900,77680,ROISSY-EN-BRIE,77,Maison,78,4,379,2023
198500,77760,LARCHANT,77,Maison,210,7,189,2023
329000,77123,NOISY-SUR-ECOLE,77,Dépendance,0,0,405,2023
329000,77123,NOISY-SUR-ECOLE,77,Maison,87,2,405,2023
370000,77930,CELY EN BIERE,77,Maison,132,5,730,2023
326000,77220,GRETZ-ARMAINVILLIERS,77,Maison,100,4,241,2023
349800,77340,PONTAULT COMBAULT,77,Maison,73,4,410,2023
