property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
1100000,30,AV,COURTES EPLUCHES,91100,VILLABE,91,Local industriel. commercial ou assimilé,287,0,3914,2023
1100000,30,AV,COURTES EPLUCHES,91100,VILLABE,91,Local industriel. commercial ou assimilé,286,0,3914,2023
300000,4,RUE,LOUIS JOYEUX,91100,CORBEIL ESSONNES,91,Maison,123,3,362,2023
318000,38,RUE,DES GRANDS RAYAGES,91800,BOUSSY-SAINT-ANTOINE,91,Maison,85,4,300,2023
420000,35,RTE,DE MELUN,91250,SAINTRY-SUR-SEINE,91,Maison,86,4,500,2023
420000,35,RTE,DE MELUN,91250,SAINTRY-SUR-SEINE,91,Maison,86,4,979,2023
178000,2,RUE,DE TANQUEUX,91590,CERNY,91,Maison,51,1,180,2023
176000,6,RUE,DES ECOLES,91580,AUVERS-SAINT-GEORGES,91,Maison,53,3,38,2023
275100,35,RUE,JACQUES BREL,91240,SAINT-MICHEL-SUR-ORGE,91,Maison,90,5,177,2023
275100,35,RUE,JACQUES BREL,91240,SAINT-MICHEL-SUR-ORGE,91,Dépendance,0,0,177,2023
230000,9,RUE,HEROUX,91410,DOURDAN,91,Appartement,65,3,148,2023
466850,104,AV,GABRIEL PERI,91600,SAVIGNY-SUR-ORGE,91,Maison,147,6,341,2023
340000,6,RUE,HELENE BOUCHER,91600,SAVIGNY-SUR-ORGE,91,Maison,65,4,334,2023
350000,24,RUE,EMILE RASPAIL,91380,CHILLY MAZARIN,91,Maison,76,4,500,2023
350000,24,RUE,EMILE RASPAIL,91380,CHILLY MAZARIN,91,Dépendance,0,0,508,2023
350000,24,RUE,EMILE RASPAIL,91380,CHILLY MAZARIN,91,Maison,76,4,508,2023
350000,24,RUE,EMILE RASPAIL,91380,CHILLY MAZARIN,91,Dépendance,0,0,500,2023
425000,50,RUE,LEON MIGNOTTE,91570,BIEVRES,91,Maison,97,3,268,2023
425000,50,RUE,LEON MIGNOTTE,91570,BIEVRES,91,Dépendance,0,0,268,2023
295000,9,RUE,DES BARGUINS,91150,MORIGNY-CHAMPIGNY,91,Maison,92,5,849,2023
335500,16,RUE,DU DOCTEUR VAILLANT,91700,SAINTE-GENEVIEVE-DES-BOIS,91,Dépendance,0,0,459,2023
335500,16,RUE,DU DOCTEUR VAILLANT,91700,SAINTE-GENEVIEVE-DES-BOIS,91,Maison,100,4,459,2023
315000,8,RUE,GUILLAUME APOLLINAIRE,91240,SAINT-MICHEL-SUR-ORGE,91,Maison,80,4,181,2023
441500,98,RUE,DU VIEUX CHATEAU,91330,YERRES,91,Maison,103,4,869,2023
441500,98,RUE,DU VIEUX CHATEAU,91330,YERRES,91,Dépendance,0,0,869,2023
382750,5,AV,DU BAC,91210,DRAVEIL,91,Maison,63,3,420,2023
382750,5,AV,DU BAC,91210,DRAVEIL,91,Dépendance,0,0,420,2023
258000,79,RUE,DE L ABBE LESOT,91530,SERMAISE,91,Maison,106,5,750,2023
258000,79,RUE,DE L ABBE LESOT,91530,SERMAISE,91,Dépendance,0,0,750,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,30,1,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,50,2,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,64,3,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,71,3,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,66,3,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,69,3,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Dépendance,0,0,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,49,2,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,56,2,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,60,3,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,79,4,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,63,3,1988,2023
3520000,11,RUE,DE L'ORGE,91000,EVRY-COURCOURONNES,91,Appartement,81,4,1988,2023
