property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
200000,20,SEN,STE DES LIBOUX,95320,ST LEU LA FORET,95,Maison,36,2,411,2024
200000,20,SEN,STE DES LIBOUX,95320,ST LEU LA FORET,95,Maison,33,2,411,2024
345000,11,RUE,ALEXANDRE PRACHAY,95340,PERSAN,95,Maison,180,6,722,2024
96134,36,AV,DU MARECHAL JOFFRE,95100,ARGENTEUIL,95,Maison,102,4,257,2024
442690,56,ALL,DES FOUGERES,95220,HERBLAY-SUR-SEINE,95,Maison,164,7,446,2024
425000,31,RUE,DU POIRIER AUX CHATS,95270,LUZARCHES,95,Maison,95,4,500,2024
350000,4,IMP,DE L AUBETTE,95420,MAGNY-EN-VEXIN,95,Local industriel. commercial ou assimilé,1330,0,2386,2024
164300,28,RUE,DES COURTILS,95800,CERGY,95,Maison,69,3,130,2024
430000,17,RUE,FREDERIC CHOPIN,95220,HERBLAY-SUR-SEINE,95,Maison,88,5,454,2024
416000,12,RUE,DE LA CROIX SAINT GEORGES,95270,BELLOY-EN-FRANCE,95,Maison,119,5,600,2024
378000,10,ALL,DU CHAMP BARBIER,95410,GROSLAY,95,Maison,116,4,262,2024
272000,6,AV,LOUISE,95220,HERBLAY-SUR-SEINE,95,Maison,59,3,417,2024
285000,33,RUE,VICTOR HUGO,95480,PIERRELAYE,95,Dépendance,0,0,313,2024
285000,33,RUE,VICTOR HUGO,95480,PIERRELAYE,95,Maison,90,4,313,2024
83275,8,AV,DES MILLONNETS,95510,VETHEUIL,95,Dépendance,0,0,473,2024
345000,7,RUE,ANATOLE LUCAS,95100,ARGENTEUIL,95,Maison,18,1,251,2024
345000,7,RUE,ANATOLE LUCAS,95100,ARGENTEUIL,95,Maison,78,3,251,2024
300000,5,RUE,ROMY SCHNEIDER,95190,GOUSSAINVILLE,95,Maison,61,2,301,2024
525000,6,SEN,DE LA TOUR FINE,95220,HERBLAY-SUR-SEINE,95,Maison,83,4,465,2024
345000,5,RUE,GUYNEMER,95150,TAVERNY,95,Maison,72,4,420,2024
500000,13,RUE,ROBIN,95880,ENGHIEN LES BAINS,95,Maison,63,4,256,2024
376000,26,RUE,DE LA COTE A PIGEON,95420,SAINT-GERVAIS,95,Dépendance,0,0,325,2024
376000,26,RUE,DE LA COTE A PIGEON,95420,SAINT-GERVAIS,95,Maison,100,3,325,2024
185000,3,RUE,DU BAC,95630,MERIEL,95,Maison,123,4,39,2024
