property_value,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
"385000,00",91300.0,MASSY,91,Maison,140.0,4.0,341.0,2024
"385000,00",91300.0,MASSY,91,Dépendance,0.0,0.0,341.0,2024
"235000,00",91180.0,SAINT-GERMAIN-LES-ARPAJON,91,Dépendance,0.0,0.0,244.0,2024
"235000,00",91180.0,SAINT-GERMAIN-LES-ARPAJON,91,Maison,61.0,4.0,244.0,2024
"385000,00",91550.0,PARAY-VIEILLE-POSTE,91,Maison,110.0,1.0,400.0,2024
"278000,00",91600.0,SAVIGNY-SUR-ORGE,91,Maison,63.0,4.0,400.0,2024
"450000,00",91400.0,ORSAY,91,Maison,107.0,5.0,702.0,2024
"395000,00",91700.0,SAINTE-GENEVIEVE-DES-BOIS,91,Maison,96.0,5.0,277.0,2024
"100000,00",91690.0,BOISSY-LA-RIVIERE,91,Maison,100.0,3.0,354.0,2024
"100000,00",91690.0,BOISSY-LA-RIVIERE,91,Dépendance,0.0,0.0,354.0,2024
"277000,00",91100.0,VILLABE,91,Maison,93.0,5.0,145.0,2024
"240000,00",91670.0,ANGERVILLE,91,Maison,120.0,5.0,789.0,2024
"420000,00",91550.0,PARAY-VIEILLE-POSTE,91,Maison,195.0,6.0,404.0,2024
"125000,00",91700.0,SAINTE-GENEVIEVE-DES-BOIS,91,Dépendance,0.0,0.0,613.0,2024
"125000,00",91700.0,SAINTE-GENEVIEVE-DES-BOIS,91,Maison,94.0,5.0,613.0,2024
"508710,00",91430.0,IGNY,91,Maison,78.0,4.0,432.0,2024
"250000,00",91700.0,SAINTE-GENEVIEVE-DES-BOIS,91,Maison,92.0,5.0,104.0,2024
"510000,00",91800.0,BRUNOY,91,Maison,134.0,6.0,506.0,2024
"510000,00",91800.0,BRUNOY,91,Dépendance,0.0,0.0,506.0,2024
"557250,00",91720.0,GIRONVILLE-SUR-ESSONNE,91,Maison,146.0,4.0,3042.0,2024
"557250,00",91720.0,GIRONVILLE-SUR-ESSONNE,91,Dépendance,0.0,0.0,3042.0,2024
"557250,00",91720.0,GIRONVILLE-SUR-ESSONNE,91,Dépendance,0.0,0.0,500.0,2024
"557250,00",91720.0,GIRONVILLE-SUR-ESSONNE,91,Maison,146.0,4.0,500.0,2024
"557250,00",91720.0,GIRONVILLE-SUR-ESSONNE,91,Maison,59.0,3.0,427.0,2024
"360000,00",91330.0,YERRES,91,Dépendance,0.0,0.0,474.0,2024
"360000,00",91330.0,YERRES,91,Maison,75.0,4.0,474.0,2024
"230000,00",91270.0,VIGNEUX SUR SEINE,91,Dépendance,0.0,0.0,507.0,2024
"230000,00",91270.0,VIGNEUX SUR SEINE,91,Maison,85.0,3.0,507.0,2024
"425500,00",91450.0,SOISY-SUR-SEINE,91,Maison,132.0,6.0,609.0,2024
"363500,00",91840.0,SOISY-SUR-ECOLE,91,Dépendance,0.0,0.0,2022.0,2024
"363500,00",91840.0,SOISY-SUR-ECOLE,91,Local industriel. commercial ou assimilé,300.0,0.0,2022.0,2024
"363500,00",91840.0,SOISY-SUR-ECOLE,91,Maison,55.0,3.0,2022.0,2024
"27000,00",91720.0,VALPUISEAUX,91,Maison,8.0,1.0,3764.0,2024
"27000,00",91720.0,VALPUISEAUX,91,Maison,8.0,1.0,6.0,2024
"164000,00",91670.0,ANGERVILLE,91,Maison,87.0,4.0,272.0,2024
"231000,00",91240.0,SAINT-MICHEL-SUR-ORGE,91,Maison,74.0,4.0,402.0,2024
"309230,00",91680.0,BRUYERES-LE-CHATEL,91,Maison,99.0,5.0,260.0,2024
"758000,00",91470.0,LIMOURS,91,Dépendance,0.0,0.0,913.0,2024
"758000,00",91470.0,LIMOURS,91,Maison,110.0,4.0,913.0,2024
"285000,00",91250.0,SAINTRY-SUR-SEINE,91,Maison,73.0,7.0,515.0,2024
"260000,00",91840.0,SOISY-SUR-ECOLE,91,Dépendance,0.0,0.0,500.0,2024
"260000,00",91840.0,SOISY-SUR-ECOLE,91,Maison,62.0,3.0,500.0,2024
"260000,00",91840.0,SOISY-SUR-ECOLE,91,Dépendance,0.0,0.0,519.0,2024
"260000,00",91840.0,SOISY-SUR-ECOLE,91,Maison,62.0,3.0,519.0,2024
"290100,00",91630.0,GUIBEVILLE,91,Maison,79.0,4.0,232.0,2024
"290100,00",91630.0,GUIBEVILLE,91,Dépendance,0.0,0.0,232.0,2024
"485000,00",91490.0,MOIGNY SUR ECOLE,91,Maison,175.0,6.0,500.0,2024
"485000,00",91490.0,MOIGNY SUR ECOLE,91,Dépendance,0.0,0.0,500.0,2024
"485000,00",91490.0,MOIGNY SUR ECOLE,91,Maison,175.0,6.0,734.0,2024
"485000,00",91490.0,MOIGNY SUR ECOLE,91,Dépendance,0.0,0.0,734.0,2024
"283400,00",91340.0,OLLAINVILLE,91,Maison,74.0,4.0,519.0,2024
"242000,00",91510.0,LARDY,91,Maison,67.0,3.0,222.0,2024
"1000000,00",91100.0,CORBEIL ESSONNES,91,Local industriel. commercial ou assimilé,1100.0,0.0,3674.0,2024
"326420,00",91650.0,BREUILLET,91,Maison,100.0,6.0,485.0,2024
"250000,00",91450.0,SOISY-SUR-SEINE,91,Maison,92.0,5.0,238.0,2024
