property_value,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
330000,78990,ELANCOURT,78,Maison,87,3,664,2024
330000,78990,ELANCOURT,78,Dépendance,0,0,500,2024
330000,78990,ELANCOURT,78,Dépendance,0,0,664,2024
330000,78990,ELANCOURT,78,Maison,87,3,500,2024
420000,78310,MAUREPAS,78,Maison,129,5,508,2024
386970,78990,ELANCOURT,78,Maison,97,5,195,2024
12000,78990,ELANCOURT,78,Dépendance,0,0,38,2024
499400,78490,MERE,78,Maison,137,5,242,2024
499400,78490,MERE,78,Dépendance,0,0,242,2024
836000,78180,MONTIGNY LE BRETONNEUX,78,Maison,155,7,550,2024
836000,78180,MONTIGNY LE BRETONNEUX,78,Dépendance,0,0,550,2024
356000,78730,PONTHEVRARD,78,Maison,93,3,523,2024
855000,78770,GOUPILLIERES,78,Dépendance,0,0,1606,2024
855000,78770,GOUPILLIERES,78,Dépendance,0,0,500,2024
855000,78770,GOUPILLIERES,78,Maison,195,4,500,2024
855000,78770,GOUPILLIERES,78,Maison,195,4,1606,2024
523000,78500,SARTROUVILLE,78,Maison,98,4,528,2024
512150,78990,ELANCOURT,78,Maison,145,5,594,2024
405570,78490,MESNULS (LES),78,Maison,79,3,518,2024
405570,78490,MESNULS (LES),78,Maison,79,3,500,2024
1854850,78810,FEUCHEROLLES,78,Dépendance,0,0,938,2024
1854850,78810,FEUCHEROLLES,78,Dépendance,0,0,500,2024
1854850,78810,FEUCHEROLLES,78,Maison,317,9,500,2024
1854850,78810,FEUCHEROLLES,78,Maison,317,9,938,2024
390000,78690,SAINT-REMY-L HONORE,78,Dépendance,0,0,263,2024
390000,78690,SAINT-REMY-L HONORE,78,Maison,100,5,263,2024
10000,78650,BEYNES,78,Maison,36,2,302,2024
440000,78500,SARTROUVILLE,78,Appartement,40,2,330,2024
895000,78000,VERSAILLES,78,Maison,112,5,435,2024
797700,78600,MESNIL-LE-ROI (LE),78,Maison,137,5,617,2024
847600,78450,CHAVENAY,78,Dépendance,0,0,3065,2024
847600,78450,CHAVENAY,78,Dépendance,0,0,600,2024
847600,78450,CHAVENAY,78,Maison,181,5,766,2024
847600,78450,CHAVENAY,78,Maison,181,5,200,2024
847600,78450,CHAVENAY,78,Dépendance,0,0,4172,2024
