,property_value,postal_code,department_code,town_code,property_type_code,building_area,main_rooms,land_area
property_value,1.0,-0.04514282394742723,-0.042021632324370894,-0.07165898727253205,0.13801139760833742,0.07664644194173688,-0.07403436548319904,0.07886399879815392
postal_code,-0.04514282394742723,1.0,0.9995329424266284,-0.22346870706687114,-0.00900620017066655,0.000805323069608206,-0.027700683042698276,-0.00024577274932221127
department_code,-0.042021632324370894,0.9995329424266284,1.0,-0.2266136345960132,-0.005880756499878065,0.0011594804867504022,-0.029817980155949463,-0.0003026725436919802
town_code,-0.07165898727253205,-0.22346870706687114,-0.2266136345960132,1.0,-0.07610445923841407,0.0004157181879327207,0.07627104929187807,0.0074338522110998445
property_type_code,0.13801139760833742,-0.00900620017066655,-0.005880756499878065,-0.07610445923841407,1.0,0.10662743762294885,-0.8173778320588362,0.0749968745805819
building_area,0.07664644194173688,0.000805323069608206,0.0011594804867504022,0.0004157181879327207,0.10662743762294885,1.0,-0.03250591673829191,0.13352757221207415
main_rooms,-0.07403436548319904,-0.027700683042698276,-0.029817980155949463,0.07627104929187807,-0.8173778320588362,-0.03250591673829191,1.0,-0.03710084423391943
land_area,0.07886399879815392,-0.00024577274932221127,-0.0003026725436919802,0.0074338522110998445,0.0749968745805819,0.13352757221207415,-0.03710084423391943,1.0
