transaction_date,transaction_type,property_value,street_number,street_type,street_name,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
08/01/2024,Vente,430000,10,RUE,JEAN BONAL,92250,LA GARENNE-COLOMBES,92,35,1,Maison,70,4,107
05/01/2024,Vente,980000,21,RUE,JOSEPH TERNEAU,92000,NANTERRE,92,50,3,Dépendance,0,0,325
05/01/2024,Vente,980000,21,RUE,JOSEPH TERNEAU,92000,NANTERRE,92,50,1,Maison,184,6,325
08/01/2024,Vente,798000,10,RUE,DU GENERAL FERRIE,92700,COLOMBES,92,25,1,Maison,96,5,240
08/01/2024,Vente,740000,18,RUE,GUILLEMETTE FAUSSART,92150,SURESNES,92,73,1,Maison,69,3,105
12/01/2024,Vente,684000,43,RUE,EDOUARD VAILLANT,92700,COLOMBES,92,25,1,Maison,64,2,146
10/01/2024,Vente,200000,3,RUE,MADIRAA,92400,COURBEVOIE,92,26,4,Local industriel. commercial ou assimilé,20,0,24
04/01/2024,Vente,905000,51,RUE,SAINT HILAIRE,92700,COLOMBES,92,25,1,Maison,120,6,561
04/01/2024,Vente,905000,51,RUE,SAINT HILAIRE,92700,COLOMBES,92,25,3,Dépendance,0,0,561
04/01/2024,Vente,861380,10,AV,LOUISE DE BETTIGNIES,92700,COLOMBES,92,25,1,Maison,110,5,242
04/01/2024,Vente,861380,10,AV,LOUISE DE BETTIGNIES,92700,COLOMBES,92,25,3,Dépendance,0,0,242
15/01/2024,Vente,1358100,23,RUE,MASSENA,92500,RUEIL-MALMAISON,92,63,1,Maison,124,6,400
09/01/2024,Vente,1200000,288,AV,GEORGES CLEMENCEAU,92000,NANTERRE,92,50,1,Maison,45,4,684
09/01/2024,Vente,1200000,288,AV,GEORGES CLEMENCEAU,92000,NANTERRE,92,50,4,Local industriel. commercial ou assimilé,790,0,684
09/01/2024,Vente,840000,10,RUE,RIGAULT,92000,NANTERRE,92,50,3,Dépendance,0,0,332
09/01/2024,Vente,840000,10,RUE,RIGAULT,92000,NANTERRE,92,50,3,Dépendance,0,0,717
09/01/2024,Vente,840000,10,RUE,RIGAULT,92000,NANTERRE,92,50,1,Maison,38,3,332
09/01/2024,Vente,840000,10,RUE,RIGAULT,92000,NANTERRE,92,50,1,Maison,76,4,332
09/01/2024,Vente,840000,10,RUE,RIGAULT,92000,NANTERRE,92,50,1,Maison,37,3,332
09/01/2024,Vente,840000,10,RUE,RIGAULT,92000,NANTERRE,92,50,1,Maison,37,3,717
09/01/2024,Vente,840000,10,RUE,RIGAULT,92000,NANTERRE,92,50,1,Maison,38,3,717
09/01/2024,Vente,840000,10,RUE,RIGAULT,92000,NANTERRE,92,50,1,Maison,76,4,717
05/01/2024,Vente,980000,16,VLA,EMILE,92110,CLICHY,92,24,1,Maison,100,5,122
15/01/2024,Vente,942620,1,ALL,SOUS LE VENT,92500,RUEIL-MALMAISON,92,63,1,Maison,120,4,206
15/01/2024,Vente,758800,36,RUE,DU DOCTEUR E ROUX,92150,SURESNES,92,73,1,Maison,80,4,177
15/01/2024,Vente,909800,2,RUE,MALAKOFF,92600,ASNIERES-SUR-SEINE,92,4,1,Maison,90,3,228
15/01/2024,Vente,1131900,46,RUE,BRASSAT,92700,COLOMBES,92,25,4,Local industriel. commercial ou assimilé,190,0,318
15/01/2024,Vente,1131900,46,RUE,BRASSAT,92700,COLOMBES,92,25,2,Appartement,81,2,318
15/01/2024,Vente,1131900,46,RUE,BRASSAT,92700,COLOMBES,92,25,2,Appartement,35,2,318
18/01/2024,Vente,1530000,16,PL,DE L EGLISE,92500,RUEIL-MALMAISON,92,63,4,Local industriel. commercial ou assimilé,130,0,315
18/01/2024,Vente,1530000,16,PL,DE L EGLISE,92500,RUEIL-MALMAISON,92,63,3,Dépendance,0,0,315
18/01/2024,Vente,1530000,16,PL,DE L EGLISE,92500,RUEIL-MALMAISON,92,63,2,Appartement,32,2,315
18/01/2024,Vente,1530000,16,PL,DE L EGLISE,92500,RUEIL-MALMAISON,92,63,2,Appartement,74,4,315
18/01/2024,Vente,1530000,16,PL,DE L EGLISE,92500,RUEIL-MALMAISON,92,63,2,Appartement,80,5,315
18/01/2024,Vente,1530000,16,PL,DE L EGLISE,92500,RUEIL-MALMAISON,92,63,4,Local industriel. commercial ou assimilé,60,0,315
18/01/2024,Vente,1530000,16,PL,DE L EGLISE,92500,RUEIL-MALMAISON,92,63,4,Local industriel. commercial ou assimilé,110,0,315
18/01/2024,Vente,2100000,3,ALL,BEAU SITE,92150,SURESNES,92,73,3,Dépendance,0,0,406
18/01/2024,Vente,2100000,3,ALL,BEAU SITE,92150,SURESNES,92,73,2,Appartement,214,7,406
18/01/2024,Vente,2100000,3,ALL,BEAU SITE,92150,SURESNES,92,73,2,Appartement,50,2,406
18/01/2024,Vente,2100000,3,ALL,BEAU SITE,92150,SURESNES,92,73,3,Dépendance,0,0,876
18/01/2024,Vente,2100000,3,ALL,BEAU SITE,92150,SURESNES,92,73,2,Appartement,214,7,876
18/01/2024,Vente,2100000,3,ALL,BEAU SITE,92150,SURESNES,92,73,2,Appartement,50,2,876
16/01/2024,Vente,1313045,18,RUE,HALPHEN,92700,COLOMBES,92,25,1,Maison,125,4,477
23/01/2024,Vente,900000,10,RUE,DUMUR,92110,CLICHY,92,24,2,Appartement,22,1,160
23/01/2024,Vente,900000,10,RUE,DUMUR,92110,CLICHY,92,24,3,Dépendance,0,0,160
23/01/2024,Vente,900000,10,RUE,DUMUR,92110,CLICHY,92,24,2,Appartement,50,3,160
19/01/2024,Vente,651730,75,RUE,DES ACQUEVILLES,92150,SURESNES,92,73,1,Maison,48,1,138
12/01/2024,Vente,520720,153,RUE,LT COL DE MONTBRISON,92500,RUEIL-MALMAISON,92,63,1,Maison,75,4,59
23/01/2024,Vente,1179860,1,RUE,DES VAUSSOURDS,92500,RUEIL-MALMAISON,92,63,1,Maison,165,5,500
23/01/2024,Vente,1179860,1,RUE,DES VAUSSOURDS,92500,RUEIL-MALMAISON,92,63,1,Maison,165,5,216
25/01/2024,Vente,1500000,46,RUE,DU PAS ST MAURICE,92150,SURESNES,92,73,1,Maison,134,7,435
24/01/2024,Vente,720000,14,RUE,MARCEAU DELORME,92270,BOIS-COLOMBES,92,9,1,Maison,90,4,220
24/01/2024,Vente,720000,14,RUE,MARCEAU DELORME,92270,BOIS-COLOMBES,92,9,3,Dépendance,0,0,220
22/01/2024,Vente,936900,45,RUE,BERNARD JUGAULT,92600,ASNIERES-SUR-SEINE,92,4,1,Maison,79,4,201
10/01/2024,Vente,2100000,56,RUE,JEAN BONAL,92250,LA GARENNE-COLOMBES,92,35,2,Appartement,32,3,478
10/01/2024,Vente,2100000,56,RUE,JEAN BONAL,92250,LA GARENNE-COLOMBES,92,35,2,Appartement,33,3,478
10/01/2024,Vente,2100000,56,RUE,JEAN BONAL,92250,LA GARENNE-COLOMBES,92,35,2,Appartement,34,3,478
10/01/2024,Vente,2100000,56,RUE,JEAN BONAL,92250,LA GARENNE-COLOMBES,92,35,2,Appartement,35,3,478
