transaction_date,transaction_type,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
03/01/2024,Vente,360000,93160,NOISY-LE-GRAND,93,51,1,Maison,59,3,562
03/01/2024,Vente,360000,93160,NOISY-LE-GRAND,93,51,3,Dépendance,0,0,562
05/01/2024,Vente,282000,93190,LIVRY-GARGAN,93,46,1,Maison,69,4,341
09/01/2024,Vente,170000,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,28,2,102
04/01/2024,Vente,455000,93420,VILLEPINTE,93,78,1,Maison,198,5,762
04/01/2024,Vente,455000,93420,VILLEPINTE,93,78,1,Maison,198,5,500
09/01/2024,Vente,400000,93290,TREMBLAY-EN-FRANCE,93,73,1,Maison,52,3,587
09/01/2024,Vente,400000,93290,TREMBLAY-EN-FRANCE,93,73,3,Dépendance,0,0,587
09/01/2024,Vente,400000,93290,TREMBLAY-EN-FRANCE,93,73,1,Maison,69,4,587
02/01/2024,Vente,200000,93420,VILLEPINTE,93,78,1,Maison,95,5,274
05/01/2024,Vente,422000,93360,NEUILLY-PLAISANCE,93,49,1,Maison,105,5,346
05/01/2024,Vente,422000,93360,NEUILLY-PLAISANCE,93,49,3,Dépendance,0,0,346
12/01/2024,Vente,236500,93290,TREMBLAY-EN-FRANCE,93,73,1,Maison,68,3,193
09/01/2024,Vente,217000,93270,SEVRAN,93,71,1,Maison,85,4,304
05/01/2024,Vente,195000,93380,PIERREFITTE-SUR-SEINE,93,59,1,Maison,68,4,347
09/01/2024,Vente,312000,93220,GAGNY,93,32,1,Maison,84,5,242
11/01/2024,Vente,340000,93600,AULNAY SOUS BOIS,93,5,1,Maison,88,5,386
12/01/2024,Vente,380000,93140,BONDY,93,10,1,Maison,131,5,228
11/01/2024,Vente,415000,93150,LE BLANC-MESNIL,93,7,1,Maison,78,4,485
11/01/2024,Vente,415000,93150,LE BLANC-MESNIL,93,7,3,Dépendance,0,0,485
12/01/2024,Vente,310000,93270,SEVRAN,93,71,1,Maison,88,5,282
12/01/2024,Vente,485000,93360,NEUILLY-PLAISANCE,93,49,1,Maison,82,5,120
11/01/2024,Vente,560000,93150,LE BLANC-MESNIL,93,7,1,Maison,80,3,507
11/01/2024,Vente,560000,93150,LE BLANC-MESNIL,93,7,3,Dépendance,0,0,507
15/01/2024,Vente,450000,93460,GOURNAY SUR MARNE,93,33,1,Maison,90,5,400
11/01/2024,Vente,80000,93120,LA COURNEUVE,93,27,1,Maison,83,4,123
02/01/2024,Vente,210000,93420,VILLEPINTE,93,78,1,Maison,95,5,176
12/01/2024,Vente,368000,93420,VILLEPINTE,93,78,1,Maison,117,4,619
08/01/2024,Vente,240000,93100,MONTREUIL,93,48,3,Dépendance,0,0,294
08/01/2024,Vente,240000,93100,MONTREUIL,93,48,1,Maison,40,3,294
17/01/2024,Vente,380000,93460,GOURNAY SUR MARNE,93,33,1,Maison,82,4,331
04/01/2024,Vente,297000,93800,EPINAY SUR SEINE,93,31,1,Maison,103,4,214
09/01/2024,Vente,279000,93700,DRANCY,93,29,3,Dépendance,0,0,339
09/01/2024,Vente,279000,93700,DRANCY,93,29,1,Maison,65,2,339
09/01/2024,Vente,290000,93380,PIERREFITTE-SUR-SEINE,93,59,3,Dépendance,0,0,140
09/01/2024,Vente,290000,93380,PIERREFITTE-SUR-SEINE,93,59,1,Maison,81,4,140
08/01/2024,Vente,290000,93190,LIVRY-GARGAN,93,46,1,Maison,79,4,328
03/01/2024,Vente,270000,93270,SEVRAN,93,71,1,Maison,81,4,282
09/01/2024,Vente,60000,93300,AUBERVILLIERS,93,1,3,Dépendance,0,0,9
15/01/2024,Vente,280000,93140,BONDY,93,10,1,Maison,83,4,162
13/01/2024,Vente,330000,93370,MONTFERMEIL,93,47,1,Maison,69,5,500
11/01/2024,Vente,253000,93330,NEUILLY-SUR-MARNE,93,50,3,Dépendance,0,0,382
11/01/2024,Vente,253000,93330,NEUILLY-SUR-MARNE,93,50,1,Maison,76,4,382
16/01/2024,Vente,350000,93200,SAINT-DENIS,93,66,1,Maison,95,4,124
09/01/2024,Vente,345000,93200,SAINT-DENIS,93,66,1,Maison,76,5,224
12/01/2024,Vente,278500,93600,AULNAY SOUS BOIS,93,5,1,Maison,72,4,117
13/01/2024,Vente,155000,93190,LIVRY-GARGAN,93,46,1,Maison,68,3,538
04/01/2024,Vente,333000,93800,EPINAY SUR SEINE,93,31,1,Maison,76,5,319
04/01/2024,Vente,333000,93800,EPINAY SUR SEINE,93,31,3,Dépendance,0,0,319
11/01/2024,Vente,418000,93100,MONTREUIL,93,48,1,Maison,93,5,600
08/01/2024,Vente,350000,93150,LE BLANC-MESNIL,93,7,1,Maison,80,4,532
08/01/2024,Vente,350000,93150,LE BLANC-MESNIL,93,7,3,Dépendance,0,0,532
10/01/2024,Vente,415000,93300,AUBERVILLIERS,93,1,1,Maison,121,4,154
08/01/2024,Vente,599595,93230,ROMAINVILLE,93,63,1,Maison,123,5,135
08/01/2024,Vente,599595,93230,ROMAINVILLE,93,63,3,Dépendance,0,0,135
11/01/2024,Vente,110000,93100,MONTREUIL,93,48,2,Appartement,19,1,183
11/01/2024,Vente,110000,93100,MONTREUIL,93,48,2,Appartement,40,2,183
11/01/2024,Vente,110000,93100,MONTREUIL,93,48,2,Appartement,28,2,183
11/01/2024,Vente,110000,93100,MONTREUIL,93,48,3,Dépendance,0,0,183
11/01/2024,Vente,110000,93100,MONTREUIL,93,48,2,Appartement,36,2,183
16/01/2024,Vente,250000,93300,AUBERVILLIERS,93,1,1,Maison,80,4,169
18/01/2024,Vente,480000,93150,LE BLANC-MESNIL,93,7,3,Dépendance,0,0,437
18/01/2024,Vente,480000,93150,LE BLANC-MESNIL,93,7,2,Appartement,92,4,437
18/01/2024,Vente,480000,93150,LE BLANC-MESNIL,93,7,2,Appartement,35,2,437
15/01/2024,Vente,514200,93600,AULNAY SOUS BOIS,93,5,1,Maison,180,8,736
15/01/2024,Vente,400000,93190,LIVRY-GARGAN,93,46,1,Maison,76,4,643
12/01/2024,Vente,430000,93220,GAGNY,93,32,1,Maison,75,3,656
17/01/2024,Vente,779650,93360,NEUILLY-PLAISANCE,93,49,3,Dépendance,0,0,252
17/01/2024,Vente,779650,93360,NEUILLY-PLAISANCE,93,49,1,Maison,176,7,252
18/01/2024,Vente,215000,93800,EPINAY SUR SEINE,93,31,2,Appartement,30,3,109
18/01/2024,Vente,215000,93800,EPINAY SUR SEINE,93,31,3,Dépendance,0,0,109
18/01/2024,Vente,215000,93800,EPINAY SUR SEINE,93,31,2,Appartement,34,2,109
15/01/2024,Vente,470000,93110,ROSNY-SOUS-BOIS,93,64,1,Maison,90,3,240
12/01/2024,Vente,131200,93000,BOBIGNY,93,8,2,Appartement,58,3,221
12/01/2024,Vente,131200,93000,BOBIGNY,93,8,2,Appartement,56,2,221
12/01/2024,Vente,131200,93000,BOBIGNY,93,8,3,Dépendance,0,0,221
19/01/2024,Vente,275000,93600,AULNAY SOUS BOIS,93,5,3,Dépendance,0,0,344
19/01/2024,Vente,275000,93600,AULNAY SOUS BOIS,93,5,1,Maison,42,2,344
17/01/2024,Vente,305000,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,93,5,187
12/01/2024,Vente,161200,93140,BONDY,93,10,3,Dépendance,0,0,150
12/01/2024,Vente,161200,93140,BONDY,93,10,1,Maison,65,4,150
17/01/2024,Vente,60000,93380,PIERREFITTE-SUR-SEINE,93,59,3,Dépendance,0,0,214
10/01/2024,Vente,213000,93330,NEUILLY-SUR-MARNE,93,50,3,Dépendance,0,0,410
10/01/2024,Vente,213000,93330,NEUILLY-SUR-MARNE,93,50,1,Maison,75,4,410
18/01/2024,Vente,235000,93380,PIERREFITTE-SUR-SEINE,93,59,3,Dépendance,0,0,194
18/01/2024,Vente,235000,93380,PIERREFITTE-SUR-SEINE,93,59,2,Appartement,35,0,194
18/01/2024,Vente,235000,93380,PIERREFITTE-SUR-SEINE,93,59,2,Appartement,35,1,194
03/01/2024,Vente,230000,93600,AULNAY SOUS BOIS,93,5,1,Maison,24,2,500
03/01/2024,Vente,230000,93600,AULNAY SOUS BOIS,93,5,3,Dépendance,0,0,500
18/01/2024,Vente,325000,93600,AULNAY SOUS BOIS,93,5,3,Dépendance,0,0,374
18/01/2024,Vente,325000,93600,AULNAY SOUS BOIS,93,5,1,Maison,50,3,374
12/01/2024,Vente,277000,93800,EPINAY SUR SEINE,93,31,1,Maison,54,3,322
12/01/2024,Vente,277000,93800,EPINAY SUR SEINE,93,31,3,Dépendance,0,0,322
03/01/2024,Vente,450000,93190,LIVRY-GARGAN,93,46,1,Maison,169,5,340
03/01/2024,Vente,450000,93190,LIVRY-GARGAN,93,46,1,Maison,169,5,351
17/01/2024,Vente,355000,93290,TREMBLAY-EN-FRANCE,93,73,1,Maison,100,4,373
12/01/2024,Vente,5064475,93160,NOISY-LE-GRAND,93,51,4,Local industriel. commercial ou assimilé,4415,0,1473
19/01/2024,Vente,205200,93420,VILLEPINTE,93,78,1,Maison,63,3,359
19/01/2024,Vente,205200,93420,VILLEPINTE,93,78,3,Dépendance,0,0,359
11/01/2024,Vente,180000,93200,SAINT-DENIS,93,66,4,Local industriel. commercial ou assimilé,120,0,142
17/01/2024,Vente,315000,93600,AULNAY SOUS BOIS,93,5,1,Maison,82,3,403
16/01/2024,Vente,430000,93160,NOISY-LE-GRAND,93,51,3,Dépendance,0,0,400
16/01/2024,Vente,430000,93160,NOISY-LE-GRAND,93,51,1,Maison,114,5,400
11/01/2024,Vente,390000,93350,LE BOURGET,93,13,1,Maison,90,5,273
10/01/2024,Vente,445000,93230,ROMAINVILLE,93,63,3,Dépendance,0,0,469
10/01/2024,Vente,445000,93230,ROMAINVILLE,93,63,1,Maison,45,2,469
09/01/2024,Vente,389500,93130,NOISY-LE-SEC,93,53,1,Maison,70,5,198
09/01/2024,Vente,389500,93130,NOISY-LE-SEC,93,53,3,Dépendance,0,0,198
15/01/2024,Vente,272000,93300,AUBERVILLIERS,93,1,1,Maison,65,3,104
15/01/2024,Vente,272000,93300,AUBERVILLIERS,93,1,3,Dépendance,0,0,104
22/01/2024,Vente,203000,93420,VILLEPINTE,93,78,3,Dépendance,0,0,137
22/01/2024,Vente,203000,93420,VILLEPINTE,93,78,1,Maison,54,4,137
16/01/2024,Vente,435000,93100,MONTREUIL,93,48,1,Maison,34,3,66
10/01/2024,Vente,410000,93130,NOISY-LE-SEC,93,53,1,Maison,76,4,154
10/01/2024,Vente,333000,93460,GOURNAY SUR MARNE,93,33,1,Maison,100,4,497
12/01/2024,Vente,219000,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,59,3,107
17/01/2024,Vente,345000,93420,VILLEPINTE,93,78,1,Maison,87,3,350
19/01/2024,Vente,307000,93370,MONTFERMEIL,93,47,3,Dépendance,0,0,635
19/01/2024,Vente,307000,93370,MONTFERMEIL,93,47,1,Maison,64,4,635
23/01/2024,Vente,239000,93270,SEVRAN,93,71,1,Maison,72,3,306
10/01/2024,Vente,987500,93200,SAINT-DENIS,93,66,1,Maison,265,7,337
19/01/2024,Vente,320000,93800,EPINAY SUR SEINE,93,31,1,Maison,110,5,170
24/01/2024,Vente,286000,93600,AULNAY SOUS BOIS,93,5,1,Maison,42,3,240
24/01/2024,Vente,280000,93600,AULNAY SOUS BOIS,93,5,1,Maison,80,3,427
24/01/2024,Vente,307000,93600,AULNAY SOUS BOIS,93,5,1,Maison,90,6,296
18/01/2024,Vente,235000,93420,VILLEPINTE,93,78,1,Maison,95,5,279
22/01/2024,Vente,305000,93190,LIVRY-GARGAN,93,46,3,Dépendance,0,0,131
22/01/2024,Vente,305000,93190,LIVRY-GARGAN,93,46,1,Maison,83,3,242
15/01/2024,Vente,200000,93290,TREMBLAY-EN-FRANCE,93,73,3,Dépendance,0,0,373
15/01/2024,Vente,200000,93290,TREMBLAY-EN-FRANCE,93,73,1,Maison,65,3,373
25/01/2024,Vente,330000,93700,DRANCY,93,29,3,Dépendance,0,0,362
25/01/2024,Vente,330000,93700,DRANCY,93,29,1,Maison,66,2,362
05/01/2024,Vente,251900,93220,GAGNY,93,32,1,Maison,65,3,355
09/01/2024,Vente,310000,93700,DRANCY,93,29,1,Maison,32,1,293
09/01/2024,Vente,310000,93700,DRANCY,93,29,1,Maison,64,3,293
16/01/2024,Vente,405000,93130,NOISY-LE-SEC,93,53,1,Maison,60,3,358
19/01/2024,Vente,180000,93290,TREMBLAY-EN-FRANCE,93,73,1,Maison,50,3,79
19/01/2024,Vente,180000,93290,TREMBLAY-EN-FRANCE,93,73,3,Dépendance,0,0,79
08/01/2024,Vente,300000,93380,PIERREFITTE-SUR-SEINE,93,59,1,Maison,66,4,524
08/01/2024,Vente,300000,93380,PIERREFITTE-SUR-SEINE,93,59,4,Local industriel. commercial ou assimilé,35,0,524
08/01/2024,Vente,300000,93380,PIERREFITTE-SUR-SEINE,93,59,4,Local industriel. commercial ou assimilé,30,0,524
08/01/2024,Vente,300000,93380,PIERREFITTE-SUR-SEINE,93,59,4,Local industriel. commercial ou assimilé,50,0,524
19/01/2024,Vente,1355400,93340,LE RAINCY,93,62,3,Dépendance,0,0,941
19/01/2024,Vente,1355400,93340,LE RAINCY,93,62,1,Maison,198,5,941
11/01/2024,Vente,345000,93600,AULNAY SOUS BOIS,93,5,1,Maison,90,5,367
03/01/2024,Vente,310000,93250,VILLEMOMBLE,93,77,1,Maison,94,4,63
26/01/2024,Vente,280000,93140,BONDY,93,10,1,Maison,68,4,283
09/01/2024,Vente,572800,93270,SEVRAN,93,71,1,Maison,150,9,230
09/01/2024,Vente,572800,93270,SEVRAN,93,71,4,Local industriel. commercial ou assimilé,30,0,230
25/01/2024,Vente,643450,93110,ROSNY-SOUS-BOIS,93,64,1,Maison,90,5,400
25/01/2024,Vente,643450,93110,ROSNY-SOUS-BOIS,93,64,3,Dépendance,0,0,400
25/01/2024,Vente,275000,93600,AULNAY SOUS BOIS,93,5,1,Maison,78,4,229
05/01/2024,Vente,200000,93190,LIVRY-GARGAN,93,46,1,Maison,60,2,197
04/01/2024,Vente,245000,93200,SAINT-DENIS,93,66,1,Maison,50,3,223
04/01/2024,Vente,245000,93200,SAINT-DENIS,93,66,3,Dépendance,0,0,223
23/01/2024,Vente,317000,93140,BONDY,93,10,1,Maison,125,5,304
24/01/2024,Vente,257000,93370,MONTFERMEIL,93,47,3,Dépendance,0,0,409
