transaction_date,transaction_type,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
19/01/2022,Vente,322000,77173,CHEVRY-COSSIGNY,77,114,1,Maison,55,3,280
19/01/2022,Vente,213500,77130,CANNES-ECLUSE,77,61,3,Dépendance,0,0,1001
19/01/2022,Vente,213500,77130,CANNES-ECLUSE,77,61,1,Maison,103,4,1001
18/01/2022,Vente,142500,77130,DORMELLES,77,161,3,Dépendance,0,0,796
18/01/2022,Vente,142500,77130,DORMELLES,77,161,1,Maison,61,2,200
18/01/2022,Vente,142500,77130,DORMELLES,77,161,1,Maison,61,2,796
18/01/2022,Vente,142500,77130,DORMELLES,77,161,3,Dépendance,0,0,200
25/01/2022,Vente,499000,77133,FERICY,77,179,3,Dépendance,0,0,524
25/01/2022,Vente,499000,77133,FERICY,77,179,1,Maison,230,8,524
12/01/2022,Vente,434210,77870,VULAINES-SUR-SEINE,77,533,1,Maison,122,6,790
01/02/2022,Vente,204000,77350,LE MEE SUR SEINE,77,285,1,Maison,76,4,74
01/02/2022,Vente,370000,77170,BRIE COMTE ROBERT,77,53,1,Maison,89,5,286
21/01/2022,Vente,11000,77130,VARENNES-SUR-SEINE,77,482,2,Appartement,50,3,125
21/01/2022,Vente,11000,77130,VARENNES-SUR-SEINE,77,482,3,Dépendance,0,0,125
31/01/2022,Vente,441000,77340,PONTAULT COMBAULT,77,373,1,Maison,96,5,401
20/01/2022,Vente,134000,77570,AUFFERVILLE,77,11,1,Maison,73,2,853
19/01/2022,Vente,385000,77300,FONTAINEBLEAU,77,186,2,Appartement,46,3,54
24/01/2022,Vente,540000,77300,FONTAINEBLEAU,77,186,2,Appartement,25,1,49
24/01/2022,Vente,540000,77300,FONTAINEBLEAU,77,186,2,Appartement,22,1,49
12/01/2022,Vente,164000,77460,SOUPPES-SUR-LOING,77,458,1,Maison,135,4,84
12/01/2022,Vente,164000,77460,SOUPPES-SUR-LOING,77,458,3,Dépendance,0,0,50
12/01/2022,Vente,164000,77460,SOUPPES-SUR-LOING,77,458,3,Dépendance,0,0,9
12/01/2022,Vente,164000,77460,SOUPPES-SUR-LOING,77,458,3,Dépendance,0,0,6
19/01/2022,Vente,216000,77880,GREZ-SUR-LOING,77,216,1,Maison,84,4,646
10/01/2022,Vente,455000,77220,TOURNAN-EN-BRIE,77,470,1,Maison,155,7,727
13/01/2022,Vente,253000,77760,LARCHANT,77,244,1,Maison,83,4,612
18/01/2022,Vente,472000,77330,OZOIR LA FERRIERE,77,350,3,Dépendance,0,0,614
18/01/2022,Vente,472000,77330,OZOIR LA FERRIERE,77,350,1,Maison,128,7,614
26/01/2022,Vente,270000,77250,MORET-LOING-ET-ORVANNE,77,316,1,Maison,99,6,150
26/01/2022,Vente,47000,77890,BEAUMONT-DU-GATINAIS,77,27,3,Dépendance,0,0,111
27/01/2022,Vente,300000,77380,COMBS LA VILLE,77,122,3,Dépendance,0,0,373
27/01/2022,Vente,300000,77380,COMBS LA VILLE,77,122,1,Maison,84,4,373
01/02/2022,Vente,620000,77930,CELY EN BIERE,77,65,3,Dépendance,0,0,2285
01/02/2022,Vente,620000,77930,CELY EN BIERE,77,65,1,Maison,170,6,2285
17/01/2022,Vente,414000,77150,FEROLLES-ATTILLY,77,180,1,Maison,70,5,144
01/02/2022,Vente,391000,77930,FLEURY-EN-BIERE,77,185,1,Maison,105,4,348
26/01/2022,Vente,363000,77190,DAMMARIE LES LYS,77,152,1,Maison,84,4,566
26/01/2022,Vente,300000,77250,MORET-LOING-ET-ORVANNE,77,316,1,Maison,102,5,805
27/01/2022,Vente,550000,77130,DORMELLES,77,161,1,Maison,180,5,1235
27/01/2022,Vente,550000,77130,DORMELLES,77,161,3,Dépendance,0,0,1235
28/01/2022,Vente,257000,77250,MORET-LOING-ET-ORVANNE,77,316,1,Maison,81,5,418
26/01/2022,Vente,282000,77370,FONTENAILLES,77,191,1,Maison,34,1,41
26/01/2022,Vente,282000,77370,FONTENAILLES,77,191,1,Maison,130,5,78
26/01/2022,Vente,282000,77370,FONTENAILLES,77,191,3,Dépendance,0,0,78
28/01/2022,Vente,185000,77140,SAINT-PIERRE-LES-NEMOURS,77,431,1,Maison,84,3,317
28/01/2022,Vente,185000,77140,SAINT-PIERRE-LES-NEMOURS,77,431,1,Maison,84,3,575
28/01/2022,Vente,230000,77140,SAINT-PIERRE-LES-NEMOURS,77,431,1,Maison,103,4,579
28/01/2022,Vente,145000,77140,DARVAULT,77,156,4,Local industriel. commercial ou assimilé,500,0,579
27/01/2022,Vente,155000,77130,MONTEREAU FAULT YONNE,77,305,1,Maison,60,4,51
21/01/2022,Vente,295000,77000,MELUN,77,288,1,Maison,100,5,287
28/01/2022,Vente,158500,77630,ARBONNE-LA-FORET,77,6,1,Maison,42,3,225
18/01/2022,Vente,239500,77190,DAMMARIE LES LYS,77,152,1,Maison,68,5,240
18/01/2022,Vente,239500,77190,DAMMARIE LES LYS,77,152,3,Dépendance,0,0,240
18/01/2022,Vente,239500,77190,DAMMARIE LES LYS,77,152,3,Dépendance,0,0,914
18/01/2022,Vente,239500,77190,DAMMARIE LES LYS,77,152,1,Maison,68,5,914
04/02/2022,Vente,544350,77590,BOIS LE ROI,77,37,1,Maison,102,6,171
04/02/2022,Vente,544350,77590,BOIS LE ROI,77,37,3,Dépendance,0,0,171
17/01/2022,Vente,160000,77000,VAUX-LE-PENIL,77,487,1,Maison,108,5,487
28/01/2022,Vente,581000,77590,CHARTRETTES,77,96,1,Maison,172,6,672
17/01/2022,Vente,250000,77810,THOMERY,77,463,1,Maison,67,3,220
17/01/2022,Vente,250000,77810,THOMERY,77,463,3,Dépendance,0,0,220
28/01/2022,Vente,349000,77720,AUBEPIERRE-OZOUER-LE-REPOS,77,10,1,Maison,74,3,500
28/01/2022,Vente,349000,77720,AUBEPIERRE-OZOUER-LE-REPOS,77,10,1,Maison,74,3,649
28/01/2022,Vente,434000,77820,CHATELET-EN-BRIE (LE),77,100,1,Maison,149,6,500
28/01/2022,Vente,434000,77820,CHATELET-EN-BRIE (LE),77,100,1,Maison,149,6,342
29/01/2022,Vente,220000,77950,MAINCY,77,269,1,Maison,120,5,195
29/01/2022,Vente,220000,77950,MAINCY,77,269,1,Maison,120,5,138
14/01/2022,Vente,429000,77166,EVRY-GREGY-SUR-YERRE,77,175,1,Maison,160,5,500
14/01/2022,Vente,429000,77166,EVRY-GREGY-SUR-YERRE,77,175,1,Maison,160,5,401
03/02/2022,Vente,446000,77310,BOISSISE-LE-ROI,77,40,3,Dépendance,0,0,1039
03/02/2022,Vente,446000,77310,BOISSISE-LE-ROI,77,40,1,Maison,168,6,1039
02/02/2022,Vente,235000,77920,SAMOIS SUR SEINE,77,441,1,Maison,110,4,67
03/02/2022,Vente,350000,77000,MELUN,77,288,2,Appartement,39,3,159
03/02/2022,Vente,350000,77000,MELUN,77,288,3,Dépendance,0,0,159
03/02/2022,Vente,350000,77000,MELUN,77,288,2,Appartement,35,4,159
03/02/2022,Vente,350000,77000,MELUN,77,288,2,Appartement,50,2,159
03/02/2022,Vente,350000,77000,MELUN,77,288,4,Local industriel. commercial ou assimilé,100,0,159
01/02/2022,Vente,252500,77350,LE MEE SUR SEINE,77,285,3,Dépendance,0,0,625
01/02/2022,Vente,252500,77350,LE MEE SUR SEINE,77,285,1,Maison,75,4,625
01/02/2022,Vente,125000,77460,SOUPPES-SUR-LOING,77,458,1,Maison,78,4,360
21/01/2022,Vente,142000,77720,MORMANT,77,317,3,Dépendance,0,0,364
21/01/2022,Vente,142000,77720,MORMANT,77,317,1,Maison,40,2,364
21/01/2022,Vente,142000,77720,MORMANT,77,317,1,Maison,31,2,364
14/01/2022,Vente,175000,77880,GREZ-SUR-LOING,77,216,1,Maison,64,4,450
17/01/2022,Vente,400000,77340,PONTAULT COMBAULT,77,373,3,Dépendance,0,0,301
17/01/2022,Vente,400000,77340,PONTAULT COMBAULT,77,373,1,Maison,84,5,301
04/02/2022,Vente,239000,77350,LE MEE SUR SEINE,77,285,1,Maison,113,4,585
04/02/2022,Vente,239000,77350,LE MEE SUR SEINE,77,285,3,Dépendance,0,0,500
04/02/2022,Vente,239000,77350,LE MEE SUR SEINE,77,285,1,Maison,113,4,500
04/02/2022,Vente,239000,77350,LE MEE SUR SEINE,77,285,3,Dépendance,0,0,585
26/01/2022,Vente,425000,77340,PONTAULT COMBAULT,77,373,3,Dépendance,0,0,525
26/01/2022,Vente,425000,77340,PONTAULT COMBAULT,77,373,1,Maison,131,5,525
10/01/2022,Vente,320000,77300,FONTAINEBLEAU,77,186,3,Dépendance,0,0,185
10/01/2022,Vente,320000,77300,FONTAINEBLEAU,77,186,1,Maison,85,3,185
19/01/2022,Vente,327000,77210,AVON,77,14,3,Dépendance,0,0,168
19/01/2022,Vente,327000,77210,AVON,77,14,2,Appartement,60,3,168
21/01/2022,Vente,509500,77690,MONTIGNY-SUR-LOING,77,312,1,Maison,145,7,1066
21/01/2022,Vente,509500,77690,MONTIGNY-SUR-LOING,77,312,1,Maison,145,7,500
01/02/2022,Vente,570000,77310,SAINT-FARGEAU-PONTHIERRY,77,407,2,Appartement,39,2,440
01/02/2022,Vente,570000,77310,SAINT-FARGEAU-PONTHIERRY,77,407,2,Appartement,73,4,440
01/02/2022,Vente,570000,77310,SAINT-FARGEAU-PONTHIERRY,77,407,2,Appartement,27,1,440
31/01/2022,Vente,231000,77720,GRANDPUITS-BAILLY-CARROIS,77,211,1,Maison,159,8,421
31/01/2022,Vente,367000,77720,AUBEPIERRE-OZOUER-LE-REPOS,77,10,3,Dépendance,0,0,152
31/01/2022,Vente,367000,77720,AUBEPIERRE-OZOUER-LE-REPOS,77,10,1,Maison,161,5,1432
31/01/2022,Vente,367000,77720,AUBEPIERRE-OZOUER-LE-REPOS,77,10,3,Dépendance,0,0,1432
31/01/2022,Vente,367000,77720,AUBEPIERRE-OZOUER-LE-REPOS,77,10,1,Maison,161,5,152
17/01/2022,Vente,380000,77690,MONTIGNY-SUR-LOING,77,312,1,Maison,75,3,500
17/01/2022,Vente,380000,77690,MONTIGNY-SUR-LOING,77,312,1,Maison,36,1,727
17/01/2022,Vente,380000,77690,MONTIGNY-SUR-LOING,77,312,1,Maison,75,3,727
17/01/2022,Vente,380000,77690,MONTIGNY-SUR-LOING,77,312,3,Dépendance,0,0,500
17/01/2022,Vente,380000,77690,MONTIGNY-SUR-LOING,77,312,3,Dépendance,0,0,727
17/01/2022,Vente,380000,77690,MONTIGNY-SUR-LOING,77,312,1,Maison,36,1,500
27/01/2022,Vente,478450,77710,NANTEAU-SUR-LUNAIN,77,329,1,Maison,148,6,615
27/01/2022,Vente,478450,77710,NANTEAU-SUR-LUNAIN,77,329,3,Dépendance,0,0,615
03/02/2022,Vente,170000,77950,RUBELLES,77,394,1,Maison,48,3,48
03/02/2022,Vente,170000,77950,RUBELLES,77,394,3,Dépendance,0,0,48
18/01/2022,Vente,180000,77460,SOUPPES-SUR-LOING,77,458,1,Maison,89,5,610
04/02/2022,Vente,258200,77720,CHAMPEAUX,77,82,3,Dépendance,0,0,272
04/02/2022,Vente,258200,77720,CHAMPEAUX,77,82,1,Maison,80,4,272
21/01/2022,Vente,290000,77760,AMPONVILLE,77,3,3,Dépendance,0,0,1012
21/01/2022,Vente,290000,77760,AMPONVILLE,77,3,1,Maison,100,3,1012
01/02/2022,Vente,321000,77176,SAVIGNY-LE-TEMPLE,77,445,1,Maison,98,4,310
19/01/2022,Vente,273000,77310,SAINT-FARGEAU-PONTHIERRY,77,407,1,Maison,93,4,66
20/01/2022,Vente,545850,77135,PONTCARRE,77,374,3,Dépendance,0,0,252
20/01/2022,Vente,545850,77135,PONTCARRE,77,374,3,Dépendance,0,0,500
