transaction_date,transaction_type,property_value,street_number,street_type,street_name,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
03/01/2023,Vente,435000,29,RUE,CARNOT,95600,EAUBONNE,95,203,1,Maison,65,3,305
07/01/2023,Vente,360000,98,AV,DE PARIS,95290,L'ISLE-ADAM,95,313,3,Dépendance,0,0,431
07/01/2023,Vente,360000,98,AV,DE PARIS,95290,L'ISLE-ADAM,95,313,1,Maison,80,3,431
07/01/2023,Vente,740000,6,RPT,DU QUAI,95290,L'ISLE-ADAM,95,313,1,Maison,150,5,507
07/01/2023,Vente,389945,1,RUE,SERRET,95270,SAINT-MARTIN-DU-TERTRE,95,566,1,Maison,144,4,488
07/01/2023,Vente,389945,1,RUE,SERRET,95270,SAINT-MARTIN-DU-TERTRE,95,566,1,Maison,144,4,370
09/01/2023,Vente,535500,2,AV,DU ROND POINT,95160,MONTMORENCY,95,428,1,Maison,82,4,491
05/01/2023,Vente,488000,25,SEN,DES PRES,95610,ERAGNY-SUR-OISE,95,218,1,Maison,129,5,766
06/01/2023,Vente,675000,112,CHE,DES BRETOUX,95320,ST LEU LA FORET,95,563,1,Maison,146,6,583
04/01/2023,Vente,260000,2,RTE,DE VILLERS,95510,VIENNE-EN-ARTHIES,95,656,1,Maison,74,3,820
10/01/2023,Vente,177800,19,RUE,JEAN JAURES,95450,US,95,625,3,Dépendance,0,0,179
10/01/2023,Vente,177800,19,RUE,JEAN JAURES,95450,US,95,625,1,Maison,80,4,179
03/01/2023,Vente,407000,9001,ALL,DES HIRONDELLES,95610,ERAGNY-SUR-OISE,95,218,3,Dépendance,0,0,571
03/01/2023,Vente,407000,9001,ALL,DES HIRONDELLES,95610,ERAGNY-SUR-OISE,95,218,1,Maison,91,4,571
06/01/2023,Vente,396000,6,RUE,DU PETIT ROBINSON,95520,OSNY,95,476,1,Maison,137,6,468
06/01/2023,Vente,408000,18,RTE,DE LA HAIZE,95640,HARAVILLIERS,95,298,3,Dépendance,0,0,500
