transaction_date,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
03/01/2022,"340000,00",93230.0,ROMAINVILLE,93,63,1.0,Maison,59.0,3.0,186.0
04/01/2022,"328000,00",93600.0,AULNAY SOUS BOIS,93,5,1.0,Maison,88.0,4.0,256.0
04/01/2022,"433380,00",93290.0,TREMBLAY-EN-FRANCE,93,73,1.0,Maison,146.0,7.0,203.0
04/01/2022,"433380,00",93290.0,TREMBLAY-EN-FRANCE,93,73,1.0,Maison,146.0,7.0,561.0
06/01/2022,"319500,00",93800.0,EPINAY SUR SEINE,93,31,1.0,Maison,98.0,4.0,242.0
07/01/2022,"350000,00",93700.0,DRANCY,93,29,1.0,Maison,52.0,3.0,327.0
07/01/2022,"350000,00",93700.0,DRANCY,93,29,3.0,Dépendance,0.0,0.0,327.0
07/01/2022,"255000,00",93150.0,LE BLANC-MESNIL,93,7,1.0,Maison,60.0,3.0,339.0
04/01/2022,"365300,00",93600.0,AULNAY SOUS BOIS,93,5,1.0,Maison,87.0,5.0,210.0
07/01/2022,"340000,00",93150.0,LE BLANC-MESNIL,93,7,3.0,Dépendance,0.0,0.0,371.0
07/01/2022,"340000,00",93150.0,LE BLANC-MESNIL,93,7,1.0,Maison,103.0,4.0,371.0
07/01/2022,"335000,00",93600.0,AULNAY SOUS BOIS,93,5,1.0,Maison,120.0,3.0,388.0
04/01/2022,"763000,00",93100.0,MONTREUIL,93,48,2.0,Appartement,12.0,1.0,524.0
04/01/2022,"763000,00",93100.0,MONTREUIL,93,48,3.0,Dépendance,0.0,0.0,524.0
04/01/2022,"763000,00",93100.0,MONTREUIL,93,48,2.0,Appartement,54.0,2.0,524.0
04/01/2022,"763000,00",93100.0,MONTREUIL,93,48,2.0,Appartement,70.0,2.0,524.0
06/01/2022,"276000,00",93700.0,DRANCY,93,29,1.0,Maison,54.0,3.0,180.0
06/01/2022,"276000,00",93700.0,DRANCY,93,29,3.0,Dépendance,0.0,0.0,180.0
06/01/2022,"460000,00",93600.0,AULNAY SOUS BOIS,93,5,3.0,Dépendance,0.0,0.0,773.0
06/01/2022,"460000,00",93600.0,AULNAY SOUS BOIS,93,5,1.0,Maison,99.0,5.0,773.0
06/01/2022,"395000,00",93130.0,NOISY-LE-SEC,93,53,1.0,Maison,80.0,3.0,184.0
10/01/2022,"357000,00",93220.0,GAGNY,93,32,1.0,Maison,90.0,4.0,425.0
06/01/2022,"290000,00",93270.0,SEVRAN,93,71,3.0,Dépendance,0.0,0.0,443.0
06/01/2022,"290000,00",93270.0,SEVRAN,93,71,1.0,Maison,87.0,4.0,443.0
12/01/2022,"2000000,00",93270.0,SEVRAN,93,71,4.0,Local industriel. commercial ou assimilé,2181.0,0.0,3299.0
04/01/2022,"360000,00",93300.0,AUBERVILLIERS,93,1,3.0,Dépendance,0.0,0.0,305.0
04/01/2022,"360000,00",93300.0,AUBERVILLIERS,93,1,1.0,Maison,79.0,4.0,305.0
11/01/2022,"415000,00",93800.0,EPINAY SUR SEINE,93,31,3.0,Dépendance,0.0,0.0,358.0
11/01/2022,"415000,00",93800.0,EPINAY SUR SEINE,93,31,1.0,Maison,55.0,3.0,358.0
06/01/2022,"12444300,00",93120.0,LA COURNEUVE,93,27,4.0,Local industriel. commercial ou assimilé,5627.0,0.0,10484.0
06/01/2022,"12444300,00",93120.0,LA COURNEUVE,93,27,4.0,Local industriel. commercial ou assimilé,723.0,0.0,2043.0
06/01/2022,"360000,00",93420.0,VILLEPINTE,93,78,1.0,Maison,101.0,5.0,328.0
06/01/2022,"344000,00",93800.0,EPINAY SUR SEINE,93,31,1.0,Maison,68.0,4.0,243.0
06/01/2022,"344000,00",93800.0,EPINAY SUR SEINE,93,31,3.0,Dépendance,0.0,0.0,243.0
06/01/2022,"285000,00",93410.0,VAUJOURS,93,74,3.0,Dépendance,0.0,0.0,316.0
06/01/2022,"285000,00",93410.0,VAUJOURS,93,74,1.0,Maison,134.0,5.0,316.0
11/01/2022,"170000,00",93380.0,PIERREFITTE-SUR-SEINE,93,59,1.0,Maison,42.0,3.0,127.0
04/01/2022,"330000,00",93190.0,LIVRY-GARGAN,93,46,1.0,Maison,48.0,3.0,229.0
06/01/2022,"295000,00",93380.0,PIERREFITTE-SUR-SEINE,93,59,1.0,Maison,53.0,3.0,219.0
05/01/2022,"516000,00",93130.0,NOISY-LE-SEC,93,53,1.0,Maison,139.0,6.0,167.0
05/01/2022,"516000,00",93130.0,NOISY-LE-SEC,93,53,3.0,Dépendance,0.0,0.0,167.0
13/01/2022,"489000,00",93160.0,NOISY-LE-GRAND,93,51,1.0,Maison,97.0,4.0,400.0
03/01/2022,"463000,00",93130.0,NOISY-LE-SEC,93,53,1.0,Maison,54.0,3.0,214.0
03/01/2022,"463000,00",93130.0,NOISY-LE-SEC,93,53,3.0,Dépendance,0.0,0.0,214.0
06/01/2022,"1647583,00",93120.0,LA COURNEUVE,93,27,4.0,Local industriel. commercial ou assimilé,5627.0,0.0,10484.0
06/01/2022,"1647583,00",93120.0,LA COURNEUVE,93,27,4.0,Local industriel. commercial ou assimilé,723.0,0.0,2043.0
06/01/2022,"930000,00",93410.0,VAUJOURS,93,74,2.0,Appartement,82.0,4.0,569.0
06/01/2022,"930000,00",93410.0,VAUJOURS,93,74,4.0,Local industriel. commercial ou assimilé,405.0,0.0,569.0
06/01/2022,"930000,00",93410.0,VAUJOURS,93,74,3.0,Dépendance,0.0,0.0,569.0
03/01/2022,"300000,00",93300.0,AUBERVILLIERS,93,1,1.0,Maison,60.0,4.0,183.0
07/01/2022,"585000,00",93360.0,NEUILLY-PLAISANCE,93,49,2.0,Appartement,28.0,1.0,340.0
07/01/2022,"585000,00",93360.0,NEUILLY-PLAISANCE,93,49,1.0,Maison,88.0,4.0,340.0
14/01/2022,"306500,00",93270.0,SEVRAN,93,71,1.0,Maison,97.0,4.0,412.0
10/01/2022,"435000,00",93290.0,TREMBLAY-EN-FRANCE,93,73,1.0,Maison,187.0,6.0,403.0
12/01/2022,"292000,00",93390.0,CLICHY SOUS BOIS,93,14,1.0,Maison,52.0,2.0,183.0
06/01/2022,"316000,00",93130.0,NOISY-LE-SEC,93,53,1.0,Maison,61.0,3.0,326.0
10/01/2022,"450000,00",93220.0,GAGNY,93,32,1.0,Maison,56.0,3.0,620.0
10/01/2022,"450000,00",93220.0,GAGNY,93,32,3.0,Dépendance,0.0,0.0,620.0
06/01/2022,"579000,00",93160.0,NOISY-LE-GRAND,93,51,1.0,Maison,108.0,4.0,343.0
07/01/2022,"340000,00",93150.0,LE BLANC-MESNIL,93,7,1.0,Maison,57.0,3.0,350.0
06/01/2022,"385000,00",93290.0,TREMBLAY-EN-FRANCE,93,73,3.0,Dépendance,0.0,0.0,449.0
06/01/2022,"385000,00",93290.0,TREMBLAY-EN-FRANCE,93,73,1.0,Maison,160.0,5.0,449.0
12/01/2022,"268000,00",93290.0,TREMBLAY-EN-FRANCE,93,73,1.0,Maison,61.0,4.0,308.0
13/01/2022,"367000,00",93130.0,NOISY-LE-SEC,93,53,1.0,Maison,77.0,6.0,152.0
04/01/2022,"580000,00",93100.0,MONTREUIL,93,48,1.0,Maison,75.0,3.0,78.0
07/01/2022,"382500,00",93420.0,VILLEPINTE,93,78,1.0,Maison,92.0,4.0,409.0
07/01/2022,"382500,00",93420.0,VILLEPINTE,93,78,3.0,Dépendance,0.0,0.0,409.0
04/01/2022,"381000,00",93190.0,LIVRY-GARGAN,93,46,1.0,Maison,89.0,5.0,300.0
11/01/2022,"360000,00",93410.0,VAUJOURS,93,74,1.0,Maison,90.0,3.0,319.0
10/01/2022,"515000,00",93190.0,LIVRY-GARGAN,93,46,3.0,Dépendance,0.0,0.0,457.0
10/01/2022,"515000,00",93190.0,LIVRY-GARGAN,93,46,1.0,Maison,110.0,3.0,457.0
05/01/2022,"399000,00",93170.0,BAGNOLET,93,6,1.0,Maison,60.0,2.0,79.0
