transaction_date,transaction_type,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,239,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,2,Appartement,172,4,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,2,Appartement,248,7,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,2,Appartement,59,2,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,3,Dépendance,0,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,385,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,438,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,0,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,286,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,34,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,98,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,356,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,2,Appartement,39,3,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,248,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,187,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,393,0,988
12/01/2022,Vente,80000000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,225,0,988
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,59,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,30,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,33,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,100,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,85,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,155,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,110,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,250,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,91,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,105,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,44,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,150,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,127,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,43,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,307,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,139,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,353,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,95,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,106,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,770,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,26,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,82,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,141,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,120,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,1260,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,0,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,158,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,287,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,280,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,114,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,69,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,38,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,70,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,35,0,918
05/01/2022,Vente,117500000,75010,PARIS 10,75,110,4,Local industriel. commercial ou assimilé,185,0,918
21/01/2022,Vente,7500000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,100,0,181
21/01/2022,Vente,7500000,75008,PARIS 08,75,108,4,Local industriel. commercial ou assimilé,900,0,181
12/01/2022,Vente,19619000,75017,PARIS 17,75,117,2,Appartement,119,4,482
12/01/2022,Vente,19619000,75017,PARIS 17,75,117,4,Local industriel. commercial ou assimilé,254,0,482
12/01/2022,Vente,19619000,75017,PARIS 17,75,117,2,Appartement,120,4,482
12/01/2022,Vente,19619000,75017,PARIS 17,75,117,4,Local industriel. commercial ou assimilé,174,0,482
