transaction_date,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
04/01/2022,"275000,00",78200.0,MAGNANVILLE,78,354,1.0,Maison,102.0,5.0,413.0
04/01/2022,"1100000,00",78240.0,CHAMBOURCY,78,133,1.0,Maison,186.0,7.0,500.0
04/01/2022,"1100000,00",78240.0,CHAMBOURCY,78,133,1.0,Maison,186.0,7.0,1854.0
05/01/2022,"110000,00",78980.0,BREVAL,78,107,3.0,Dépendance,0.0,0.0,500.0
05/01/2022,"110000,00",78980.0,BREVAL,78,107,1.0,Maison,45.0,3.0,500.0
05/01/2022,"110000,00",78980.0,BREVAL,78,107,3.0,Dépendance,0.0,0.0,1897.0
05/01/2022,"110000,00",78980.0,BREVAL,78,107,1.0,Maison,111.0,7.0,500.0
05/01/2022,"110000,00",78980.0,BREVAL,78,107,1.0,Maison,45.0,3.0,1897.0
05/01/2022,"110000,00",78980.0,BREVAL,78,107,1.0,Maison,111.0,7.0,1897.0
05/01/2022,"360000,00",78410.0,AUBERGENVILLE,78,29,1.0,Maison,94.0,4.0,814.0
03/01/2022,"116250,00",78990.0,ELANCOURT,78,208,1.0,Maison,97.0,4.0,343.0
03/01/2022,"489000,00",78480.0,VERNEUIL SUR SEINE,78,642,1.0,Maison,158.0,6.0,127.0
03/01/2022,"489000,00",78480.0,VERNEUIL SUR SEINE,78,642,1.0,Maison,158.0,6.0,992.0
07/01/2022,"320000,00",78320.0,LEVIS-SAINT-NOM,78,334,1.0,Maison,93.0,4.0,623.0
05/01/2022,"601700,00",78580.0,BAZEMONT,78,49,1.0,Maison,173.0,7.0,977.0
07/01/2022,"310000,00",78980.0,NEAUPHLETTE,78,444,1.0,Maison,166.0,6.0,356.0
05/01/2022,"635600,00",78610.0,BREVIAIRES (LES),78,108,3.0,Dépendance,0.0,0.0,500.0
05/01/2022,"635600,00",78610.0,BREVIAIRES (LES),78,108,3.0,Dépendance,0.0,0.0,5481.0
05/01/2022,"635600,00",78610.0,BREVIAIRES (LES),78,108,1.0,Maison,159.0,6.0,900.0
05/01/2022,"635600,00",78610.0,BREVIAIRES (LES),78,108,1.0,Maison,159.0,6.0,500.0
05/01/2022,"635600,00",78610.0,BREVIAIRES (LES),78,108,3.0,Dépendance,0.0,0.0,900.0
05/01/2022,"635600,00",78610.0,BREVIAIRES (LES),78,108,1.0,Maison,159.0,6.0,5481.0
06/01/2022,"1190000,00",78220.0,VIROFLAY,78,686,1.0,Maison,137.0,6.0,398.0
07/01/2022,"1318784,00",78230.0,PECQ (LE),78,481,1.0,Maison,135.0,4.0,579.0
06/01/2022,"445000,00",78280.0,GUYANCOURT,78,297,1.0,Maison,120.0,6.0,370.0
07/01/2022,"345000,00",78990.0,ELANCOURT,78,208,1.0,Maison,97.0,4.0,292.0
07/01/2022,"566000,00",78960.0,VOISINS-LE-BRETONNEUX,78,688,1.0,Maison,105.0,4.0,331.0
07/01/2022,"136000,00",78680.0,EPONE,78,217,1.0,Maison,145.0,5.0,500.0
07/01/2022,"136000,00",78680.0,EPONE,78,217,1.0,Maison,145.0,5.0,268.0
04/01/2022,"325000,00",78120.0,RAMBOUILLET,78,517,4.0,Local industriel. commercial ou assimilé,423.0,0.0,1000.0
04/01/2022,"170000,00",78770.0,THOIRY,78,616,1.0,Maison,35.0,2.0,37.0
04/01/2022,"170000,00",78770.0,THOIRY,78,616,1.0,Maison,35.0,2.0,1518.0
06/01/2022,"653300,00",78400.0,CHATOU,78,146,1.0,Maison,63.0,3.0,523.0
06/01/2022,"749600,00",78400.0,CHATOU,78,146,1.0,Maison,107.0,4.0,263.0
07/01/2022,"516000,00",78390.0,BOIS D ARCY,78,73,1.0,Maison,114.0,5.0,397.0
04/01/2022,"250000,00",78360.0,MONTESSON,78,418,2.0,Appartement,54.0,3.0,255.0
05/01/2022,"1245300,00",78600.0,MESNIL-LE-ROI (LE),78,396,1.0,Maison,203.0,6.0,546.0
04/01/2022,"510000,00",78800.0,HOUILLES,78,311,1.0,Maison,85.0,4.0,90.0
07/01/2022,"562300,00",78340.0,CLAYES-SOUS-BOIS (LES),78,165,1.0,Maison,120.0,4.0,300.0
07/01/2022,"283950,00",78820.0,JUZIERS,78,327,1.0,Maison,96.0,5.0,491.0
07/01/2022,"283950,00",78820.0,JUZIERS,78,327,3.0,Dépendance,0.0,0.0,491.0
