transaction_date,transaction_type,property_value,street_number,street_type,street_name,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
08/01/2021,Vente,365023,34,RUE,JULES VALLES,93700,DRANCY,93,29,1,Maison,125,6,300
15/01/2021,Vente,1200000,15,RUE,DE LA PAIX,93500,PANTIN,93,55,1,Maison,85,4,165
15/01/2021,Vente,1200000,15,RUE,DE LA PAIX,93500,PANTIN,93,55,4,Local industriel. commercial ou assimilé,238,0,165
05/01/2021,Vente,230000,12,RUE,JEAN JACQUES ROUSSEAU,93700,DRANCY,93,29,1,Maison,67,4,102
13/01/2021,Vente,741270,3,IMP,DESIRE VIENOT,93170,BAGNOLET,93,6,1,Maison,131,5,133
06/01/2021,Vente,270000,24,RUE,DES FELIBRES,93700,DRANCY,93,29,2,Appartement,103,5,395
06/01/2021,Vente,270000,24,RUE,DES FELIBRES,93700,DRANCY,93,29,3,Dépendance,0,0,395
06/01/2021,Vente,337800,23,AV,MARCEAU,93700,DRANCY,93,29,4,Local industriel. commercial ou assimilé,48,0,140
06/01/2021,Vente,337800,23,AV,MARCEAU,93700,DRANCY,93,29,1,Maison,61,3,140
05/01/2021,Vente,700000,39,RUE,VAILLANT COUTURIER,93130,NOISY-LE-SEC,93,53,2,Appartement,38,2,404
05/01/2021,Vente,700000,39,RUE,VAILLANT COUTURIER,93130,NOISY-LE-SEC,93,53,4,Local industriel. commercial ou assimilé,148,0,404
05/01/2021,Vente,700000,39,RUE,VAILLANT COUTURIER,93130,NOISY-LE-SEC,93,53,2,Appartement,70,3,404
05/01/2021,Vente,700000,39,RUE,VAILLANT COUTURIER,93130,NOISY-LE-SEC,93,53,2,Appartement,40,2,404
06/01/2021,Vente,590000,29,AV,ARISTIDE BRIAND,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,60,3,597
06/01/2021,Vente,590000,29,AV,ARISTIDE BRIAND,93320,LES PAVILLONS-SOUS-BOIS,93,57,4,Local industriel. commercial ou assimilé,160,0,597
08/01/2021,Vente,180000,33,RUE,JULES FERRY,93700,DRANCY,93,29,1,Maison,80,4,150
15/01/2021,Vente,633000,56,AV,PIERRE KERAUTRET,93230,ROMAINVILLE,93,63,1,Maison,115,3,213
21/01/2021,Vente,350000,11,ALL,DE VILLARS,93130,NOISY-LE-SEC,93,53,1,Maison,64,3,241
20/01/2021,Vente,357000,7,RUE,CHARLOT,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,93,4,451
07/01/2021,Vente,330000,4,RUE,DU VIEUX MOULIN,93130,NOISY-LE-SEC,93,53,1,Maison,77,4,234
19/01/2021,Vente,191000,5,RUE,EUGENE VARLIN,93700,DRANCY,93,29,1,Maison,45,3,126
15/01/2021,Vente,370000,31,AV,DES BATIGNOLLES,93700,DRANCY,93,29,1,Maison,134,4,328
13/01/2021,Vente,338000,62,RUE,PROUDHON,93000,BOBIGNY,93,8,1,Maison,106,4,310
26/01/2021,Vente,357000,29,AV,CADERAS,93140,BONDY,93,10,1,Maison,114,5,279
22/01/2021,Vente,393150,25,ALL,JEAN BAPTISTE CLEMENT,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,98,3,311
22/01/2021,Vente,385000,26,RUE,D ALEMBERT,93170,BAGNOLET,93,6,1,Maison,47,2,86
12/01/2021,Vente,180000,17,RUE,ALBERT BEUGNET,93700,DRANCY,93,29,3,Dépendance,0,0,241
21/01/2021,Vente,367500,24,RUE,RENE GUESNIER,93000,BOBIGNY,93,8,1,Maison,84,4,196
22/01/2021,Vente,300000,73,ALL,JULES AUFFRET,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,119,5,185
26/01/2021,Vente,270000,25,RUE,PASTEUR,93000,BOBIGNY,93,8,1,Maison,61,4,259
19/01/2021,Vente,380000,17,RUE,MARAT,93700,DRANCY,93,29,1,Maison,85,5,311
29/01/2021,Vente,356000,5,RUE,DES    COURTILLIERES,93000,BOBIGNY,93,8,1,Maison,78,4,217
28/01/2021,Vente,555000,117,AV,DE LA REPUBLIQUE,93140,BONDY,93,10,1,Maison,94,4,556
12/01/2021,Vente,470000,10,VLA,DES JARDINS,93500,PANTIN,93,55,1,Maison,80,3,221
14/01/2021,Vente,525000,54,RUE,ORMES,93230,ROMAINVILLE,93,63,1,Maison,81,6,200
28/01/2021,Vente,640000,6,AV,LOUIS ARAGON,93000,BOBIGNY,93,8,2,Appartement,45,2,200
28/01/2021,Vente,640000,6,AV,LOUIS ARAGON,93000,BOBIGNY,93,8,2,Appartement,56,2,200
28/01/2021,Vente,640000,6,AV,LOUIS ARAGON,93000,BOBIGNY,93,8,2,Appartement,27,1,200
28/01/2021,Vente,640000,6,AV,LOUIS ARAGON,93000,BOBIGNY,93,8,2,Appartement,23,1,200
28/01/2021,Vente,640000,6,AV,LOUIS ARAGON,93000,BOBIGNY,93,8,4,Local industriel. commercial ou assimilé,53,0,200
28/01/2021,Vente,640000,6,AV,LOUIS ARAGON,93000,BOBIGNY,93,8,4,Local industriel. commercial ou assimilé,60,0,200
28/01/2021,Vente,640000,6,AV,LOUIS ARAGON,93000,BOBIGNY,93,8,2,Appartement,13,1,200
08/01/2021,Vente,549043,38,AV,G CLEMENCEAU,93260,LES LILAS,93,45,1,Maison,96,5,185
01/02/2021,Vente,85000,5,RUE,P VAILLANT COUTURIER,93170,BAGNOLET,93,6,4,Local industriel. commercial ou assimilé,500,0,754
26/01/2021,Vente,551000,46,BD,EUGENE DECROS,93260,LES LILAS,93,45,1,Maison,85,4,85
06/01/2021,Vente,395000,13,RUE,DU MOUTIER,93130,NOISY-LE-SEC,93,53,1,Maison,60,3,101
15/01/2021,Vente,3620000,183,AV,HENRI BARBUSSE,93700,DRANCY,93,29,4,Local industriel. commercial ou assimilé,2405,0,1260
07/01/2021,Vente,282000,10,AV,DES PLATANES,93140,BONDY,93,10,1,Maison,80,3,279
29/01/2021,Vente,200000,9,AV,CASTELNAU,93700,DRANCY,93,29,3,Dépendance,0,0,391
22/01/2021,Vente,355000,6,RUE,ROBESPIERRE,93700,DRANCY,93,29,1,Maison,92,5,311
19/01/2021,Vente,240000,29,RUE,HENRI FOURNIER,93700,DRANCY,93,29,1,Maison,60,2,105
28/01/2021,Vente,1050000,25,RUE,JEANNE HORNET,93170,BAGNOLET,93,6,1,Maison,90,4,501
29/01/2021,Vente,364000,85,ALL,DANIELLE CASANOVA,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,67,4,392
03/02/2021,Vente,330000,24,ALL,DU PASSEUR,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,96,5,280
27/01/2021,Vente,570000,9,RUE,BAIN,93170,BAGNOLET,93,6,2,Appartement,35,2,207
27/01/2021,Vente,570000,9,RUE,BAIN,93170,BAGNOLET,93,6,3,Dépendance,0,0,207
27/01/2021,Vente,570000,9,RUE,BAIN,93170,BAGNOLET,93,6,2,Appartement,38,2,207
25/01/2021,Vente,285000,14,RUE,JULES AUFFRET,93140,BONDY,93,10,1,Maison,80,4,299
27/01/2021,Vente,390000,27,RUE,AIME LAPERRUQUE,93700,DRANCY,93,29,1,Maison,132,5,228
27/01/2021,Vente,390000,27,RUE,AIME LAPERRUQUE,93700,DRANCY,93,29,3,Dépendance,0,0,97
26/01/2021,Vente,340000,20,RUE,HENRI NOZIERES,93000,BOBIGNY,93,8,1,Maison,93,3,314
28/01/2021,Vente,1200000,21,RUE,JEANNE HORNET,93170,BAGNOLET,93,6,4,Local industriel. commercial ou assimilé,320,0,694
29/01/2021,Vente,330080,24,AV,MASSENET,93700,DRANCY,93,29,1,Maison,86,5,336
19/01/2021,Vente,150000,7,VLA,FRATERNITE,93230,ROMAINVILLE,93,63,1,Maison,31,3,218
11/01/2021,Vente,75000,12,RUE,JOLLIN,93000,BOBIGNY,93,8,2,Appartement,28,2,1
28/01/2021,Vente,345000,30,RUE,DELESCLUZE,93000,BOBIGNY,93,8,1,Maison,93,4,241
03/02/2021,Vente,450000,9,RUE,ALPHONSE LEYDIER,93230,ROMAINVILLE,93,63,1,Maison,67,3,382
14/01/2021,Vente,450000,64,AV,BERLIOZ,93230,ROMAINVILLE,93,63,1,Maison,92,5,260
03/02/2021,Vente,865000,24,RUE,EMILE ZOLA,93230,ROMAINVILLE,93,63,1,Maison,40,3,681
03/02/2021,Vente,865000,24,RUE,EMILE ZOLA,93230,ROMAINVILLE,93,63,3,Dépendance,0,0,681
03/02/2021,Vente,865000,24,RUE,EMILE ZOLA,93230,ROMAINVILLE,93,63,1,Maison,114,6,681
03/02/2021,Vente,583000,5,RUE,VALERIE CUIF,93130,NOISY-LE-SEC,93,53,1,Maison,143,7,299
29/01/2021,Vente,320000,3,RUE,DES PAQUERETTES,93000,BOBIGNY,93,8,1,Maison,70,3,352
29/01/2021,Vente,315000,15,RUE,LAVOISIER,93000,BOBIGNY,93,8,1,Maison,106,4,333
03/02/2021,Vente,279670,37,RUE,RENE GUESNIER,93000,BOBIGNY,93,8,1,Maison,58,3,162
19/01/2021,Vente,537470,54,BD,MICHELET,93130,NOISY-LE-SEC,93,53,1,Maison,80,3,264
15/01/2021,Vente,400000,18,RUE,MARAT,93700,DRANCY,93,29,1,Maison,74,3,359
08/02/2021,Vente,151000,12,VC,PGE BELLEVUE,93260,LES LILAS,93,45,1,Maison,74,3,155
19/01/2021,Vente,325000,18,AV,DU BOIS D AMOUR,93700,DRANCY,93,29,1,Maison,70,4,432
09/02/2021,Vente,530000,19,ALL,DE L ENTENTE,93130,NOISY-LE-SEC,93,53,1,Maison,139,5,225
02/02/2021,Vente,440000,37,ALL,ALICE,93140,BONDY,93,10,1,Maison,149,8,420
04/02/2021,Vente,550000,16,RUE,LOUISE ROUSSEAU,93700,DRANCY,93,29,1,Maison,76,3,487
04/02/2021,Vente,550000,10,RUE,LOUISE ROUSSEAU,93700,DRANCY,93,29,3,Dépendance,0,0,184
04/02/2021,Vente,726000,2,RUE,EUGENE LEVASSEUR,93230,ROMAINVILLE,93,63,1,Maison,149,5,130
05/02/2021,Vente,525000,61,BD,DE LA REPUBLIQUE,93130,NOISY-LE-SEC,93,53,1,Maison,168,7,248
15/01/2021,Vente,218010,10,RUE,EMILE ZOLA,93230,ROMAINVILLE,93,63,1,Maison,125,4,360
22/01/2021,Vente,255000,61,ALL,PIERRE ET MARIE CURIE,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,75,3,266
29/01/2021,Vente,202770,6,ALL,RULHIERE,93140,BONDY,93,10,1,Maison,30,1,85
22/01/2021,Vente,175000,25,AV,DE L EST,93140,BONDY,93,10,3,Dépendance,0,0,255
10/02/2021,Vente,585000,45,BD,DE LA REPUBLIQUE,93130,NOISY-LE-SEC,93,53,1,Maison,73,4,266
05/02/2021,Vente,280000,94,RUE,ROBESPIERRE,93000,BOBIGNY,93,8,1,Maison,60,4,336
11/02/2021,Vente,720000,39,RUE,JEAN VARNET,93700,DRANCY,93,29,2,Appartement,20,1,305
11/02/2021,Vente,720000,39,RUE,JEAN VARNET,93700,DRANCY,93,29,2,Appartement,18,1,305
11/02/2021,Vente,720000,39,RUE,JEAN VARNET,93700,DRANCY,93,29,2,Appartement,26,2,305
11/02/2021,Vente,720000,39,RUE,JEAN VARNET,93700,DRANCY,93,29,2,Appartement,21,1,305
11/02/2021,Vente,720000,39,RUE,JEAN VARNET,93700,DRANCY,93,29,2,Appartement,28,2,305
11/02/2021,Vente,720000,39,RUE,JEAN VARNET,93700,DRANCY,93,29,2,Appartement,33,2,305
11/02/2021,Vente,720000,39,RUE,JEAN VARNET,93700,DRANCY,93,29,2,Appartement,31,2,305
11/02/2021,Vente,720000,39,RUE,JEAN VARNET,93700,DRANCY,93,29,2,Appartement,35,2,305
11/02/2021,Vente,720000,39,RUE,JEAN VARNET,93700,DRANCY,93,29,2,Appartement,23,2,305
05/02/2021,Vente,220000,16,RUE,DU LEVANT,93140,BONDY,93,10,1,Maison,46,3,116
10/02/2021,Vente,270000,71,RUE,MAXIME GORKI,93700,DRANCY,93,29,1,Maison,68,4,298
04/02/2021,Vente,275000,26,RUE,GUARNIERI,93000,BOBIGNY,93,8,1,Maison,49,3,152
22/01/2021,Vente,150000,24,RUE,COMPAGNON,93140,BONDY,93,10,1,Maison,42,2,208
29/01/2021,Vente,445000,80,AV,D ALSACE LORRAINE,93130,NOISY-LE-SEC,93,53,1,Maison,136,6,496
21/01/2021,Vente,323000,22,AV,DE NANCY,93140,BONDY,93,10,1,Maison,57,3,248
26/01/2021,Vente,316000,37,RUE,DE VERSAILLES,93140,BONDY,93,10,1,Maison,89,4,258
28/01/2021,Vente,395000,65,AV,PIERRE ET MARIE CURIE,93700,DRANCY,93,29,1,Maison,110,5,310
10/02/2021,Vente,312000,13,RUE,DU CANAL,93700,DRANCY,93,29,1,Maison,112,8,224
01/02/2021,Vente,330000,28,AV,DES MESARMES,93140,BONDY,93,10,1,Maison,94,5,258
30/01/2021,Vente,160000,58,RUE,DES TRAVAILLEURS,93700,DRANCY,93,29,1,Maison,40,2,127
12/02/2021,Vente,630000,145,AV,DE LA DHUYS,93170,BAGNOLET,93,6,1,Maison,68,3,110
28/01/2021,Vente,835000,19,AV,DE BELLEVUE,93170,BAGNOLET,93,6,1,Maison,85,3,169
10/02/2021,Vente,406000,34,RUE,DU MUGUET,93000,BOBIGNY,93,8,1,Maison,198,7,342
10/02/2021,Vente,360000,181,RUE,DE LA REPUBLIQUE,93700,DRANCY,93,29,1,Maison,95,5,250
04/02/2021,Vente,300000,32,AV,ED VAILLANT,93000,BOBIGNY,93,8,1,Maison,78,4,200
04/02/2021,Vente,300000,32,AV,ED VAILLANT,93000,BOBIGNY,93,8,4,Local industriel. commercial ou assimilé,55,0,200
04/02/2021,Vente,300000,32,AV,ED VAILLANT,93000,BOBIGNY,93,8,4,Local industriel. commercial ou assimilé,40,0,200
12/02/2021,Vente,220000,58,RUE,D ODESSA,93000,BOBIGNY,93,8,1,Maison,32,2,315
08/02/2021,Vente,200000,18,RUE,ALBERT DAVID,93700,DRANCY,93,29,1,Maison,42,3,342
27/01/2021,Vente,579300,123,AV,PRESIDENT WILSON,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,70,2,289
11/02/2021,Vente,305000,19,RUE,JULES MEILLIER,93700,DRANCY,93,29,1,Maison,55,3,359
10/02/2021,Vente,270000,32,RUE,DU CHEVALIER DE LA BARRE,93700,DRANCY,93,29,1,Maison,34,2,319
12/02/2021,Vente,415000,36,RUE,RIBOT,93700,DRANCY,93,29,1,Maison,130,6,334
12/02/2021,Vente,855000,6,CHE,LORIOTS,93230,ROMAINVILLE,93,63,1,Maison,145,7,192
06/02/2021,Vente,200000,14,ALL,ALICE,93140,BONDY,93,10,1,Maison,39,2,334
12/02/2021,Vente,366000,25,RUE,RIGOLLET,93700,DRANCY,93,29,1,Maison,124,5,310
19/02/2021,Vente,252500,7,RUE,CHOUMERY,93000,BOBIGNY,93,8,1,Maison,52,3,250
12/02/2021,Vente,510000,34,RUE,DE L INTERNATIONALE,93000,BOBIGNY,93,8,3,Dépendance,0,0,344
12/02/2021,Vente,510000,34,RUE,DE L INTERNATIONALE,93000,BOBIGNY,93,8,4,Local industriel. commercial ou assimilé,100,0,344
12/02/2021,Vente,510000,34,RUE,DE L INTERNATIONALE,93000,BOBIGNY,93,8,2,Appartement,70,3,344
12/02/2021,Vente,510000,34,RUE,DE L INTERNATIONALE,93000,BOBIGNY,93,8,2,Appartement,90,4,344
08/02/2021,Vente,375000,43,RUE,JEAN MARIE MEZIERES,93700,DRANCY,93,29,1,Maison,65,4,470
10/02/2021,Vente,275000,27,RUE,JANE JOYE,93700,DRANCY,93,29,1,Maison,65,4,304
11/02/2021,Vente,290000,18,ALL,HENRI BARBUSSE,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,80,5,678
11/02/2021,Vente,438600,35,BD,PASTEUR,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,100,5,280
11/02/2021,Vente,125000,10,IMP,DU CHEVREAU D OR,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,74,2,108
11/02/2021,Vente,305000,3,RUE,ROGER BRETON,93700,DRANCY,93,29,1,Maison,89,4,148
05/02/2021,Vente,280000,17,RUE,DE L AVENIR,93170,BAGNOLET,93,6,1,Maison,43,3,41
09/02/2021,Vente,295000,3,RUE,JEANNE D ARC,93700,DRANCY,93,29,1,Maison,65,3,311
27/01/2021,Vente,265000,48,AV,ED VAILLANT,93000,BOBIGNY,93,8,1,Maison,82,5,86
05/02/2021,Vente,290000,78,RUE,DANTON,93700,DRANCY,93,29,1,Maison,80,4,391
25/02/2021,Vente,260000,10,RUE,BOURGOGNE,93000,BOBIGNY,93,8,1,Maison,58,3,217
15/02/2021,Vente,185185,53,RUE,JANE JOYE,93700,DRANCY,93,29,1,Maison,108,4,254
08/02/2021,Vente,240000,120,AV,JEAN JAURES,93700,DRANCY,93,29,4,Local industriel. commercial ou assimilé,113,0,192
12/02/2021,Vente,391100,20,AV,DES FLEURS,93170,BAGNOLET,93,6,1,Maison,80,5,240
24/02/2021,Vente,305000,15,VLA,MADELEINE,93140,BONDY,93,10,1,Maison,80,4,202
04/02/2021,Vente,750000,58,RUE,SADI CARNOT,93170,BAGNOLET,93,6,1,Maison,80,4,234
04/02/2021,Vente,750000,58,RUE,SADI CARNOT,93170,BAGNOLET,93,6,4,Local industriel. commercial ou assimilé,234,0,234
17/02/2021,Vente,215000,89,ALL,DANIELLE CASANOVA,93320,LES PAVILLONS-SOUS-BOIS,93,57,1,Maison,74,4,404
25/02/2021,Vente,360000,22,RUE,GUTENBERG,93700,DRANCY,93,29,1,Maison,79,3,301
11/02/2021,Vente,887850,22,RUE,CARRIERES,93230,ROMAINVILLE,93,63,1,Maison,158,5,294
18/02/2021,Vente,380630,12,RUE,DU 9 NOVEMBRE 1989,93130,NOISY-LE-SEC,93,53,1,Maison,92,5,114
18/02/2021,Vente,380630,12,RUE,DU 9 NOVEMBRE 1989,93130,NOISY-LE-SEC,93,53,3,Dépendance,0,0,27
