transaction_date,transaction_type,property_value,street_number,street_type,street_name,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
08/01/2021,Vente,1231000,46,RUE,AUGUSTE BUISSON,92250,LA GARENNE-COLOMBES,92,35,1,Maison,130,6,151
08/01/2021,Vente,1582480,21,RUE,ALBERT 1,92600,ASNIERES-SUR-SEINE,92,4,1,Maison,150,5,223
08/01/2021,Vente,912560,17,BD,NATIONAL,92500,RUEIL-MALMAISON,92,63,1,Maison,157,6,225
04/01/2021,Vente,549000,11,AV,GEORGES,92700,COLOMBES,92,25,1,Maison,63,3,224
08/01/2021,Vente,1157700,6,VLA,MARIE,92700,COLOMBES,92,25,3,Dépendance,0,0,241
08/01/2021,Vente,1157700,6,VLA,MARIE,92700,COLOMBES,92,25,1,Maison,100,5,241
06/01/2021,Vente,943850,3,AV,ADRIENNE,92700,COLOMBES,92,25,1,Maison,118,5,167
08/01/2021,Vente,1280000,32,AV,DE CHARLEBOURG,92250,LA GARENNE-COLOMBES,92,35,4,Local industriel. commercial ou assimilé,36,0,365
08/01/2021,Vente,1280000,32,AV,DE CHARLEBOURG,92250,LA GARENNE-COLOMBES,92,35,1,Maison,118,5,365
08/01/2021,Vente,378000,47,RUE,D ESTIENNE D ORVES,92400,COURBEVOIE,92,26,1,Maison,50,3,150
08/01/2021,Vente,378000,47,RUE,D ESTIENNE D ORVES,92400,COURBEVOIE,92,26,3,Dépendance,0,0,150
08/01/2021,Vente,1023440,7,RUE,FELIX FAURE,92500,RUEIL-MALMAISON,92,63,1,Maison,83,4,477
14/01/2021,Vente,646300,64,RUE,DU DOCTEUR CHARCOT,92000,NANTERRE,92,50,1,Maison,40,2,248
08/01/2021,Vente,1128280,18,RUE,DE LA DESIRADE,92500,RUEIL-MALMAISON,92,63,1,Maison,180,7,384
13/01/2021,Vente,475000,69,RUE,DES MOLIERES,92000,NANTERRE,92,50,1,Maison,50,3,199
13/01/2021,Vente,475000,69,RUE,DES MOLIERES,92000,NANTERRE,92,50,3,Dépendance,0,0,199
13/01/2021,Vente,2000000,40,RUE,DE SEINE,92700,COLOMBES,92,25,4,Local industriel. commercial ou assimilé,1295,0,2500
07/01/2021,Vente,3200000,304,BD,CHARLES DE GAULLE,92390,VILLENEUVE-LA-GARENNE,92,78,4,Local industriel. commercial ou assimilé,1818,0,3760
11/01/2021,Vente,450000,19,RUE,LOUISE MICHEL,92300,LEVALLOIS-PERRET,92,44,3,Dépendance,0,0,1076
11/01/2021,Vente,450000,19,RUE,LOUISE MICHEL,92300,LEVALLOIS-PERRET,92,44,2,Appartement,20,1,1076
14/01/2021,Vente,350000,3,RUE,DE LA SOURCE,92000,NANTERRE,92,50,1,Maison,78,3,65
21/01/2021,Vente,452000,247,RUE,PHILIPPE TRIAIRE,92000,NANTERRE,92,50,1,Maison,42,2,254
14/01/2021,Vente,4162200,26,RUE,DAGOBERT,92110,CLICHY,92,24,2,Appartement,53,3,427
14/01/2021,Vente,4162200,26,RUE,DAGOBERT,92110,CLICHY,92,24,2,Appartement,20,1,427
14/01/2021,Vente,4162200,26,RUE,DAGOBERT,92110,CLICHY,92,24,2,Appartement,35,2,427
14/01/2021,Vente,4162200,26,RUE,DAGOBERT,92110,CLICHY,92,24,2,Appartement,25,1,427
14/01/2021,Vente,4162200,26,RUE,DAGOBERT,92110,CLICHY,92,24,2,Appartement,18,1,427
14/01/2021,Vente,4162200,26,RUE,DAGOBERT,92110,CLICHY,92,24,4,Local industriel. commercial ou assimilé,160,0,427
14/01/2021,Vente,4162200,26,RUE,DAGOBERT,92110,CLICHY,92,24,2,Appartement,30,1,427
14/01/2021,Vente,4162200,26,RUE,DAGOBERT,92110,CLICHY,92,24,2,Appartement,28,1,427
12/01/2021,Vente,1162100,83,AV,DE L AGENT SARRE,92700,COLOMBES,92,25,3,Dépendance,0,0,371
12/01/2021,Vente,1162100,83,AV,DE L AGENT SARRE,92700,COLOMBES,92,25,1,Maison,200,8,371
