transaction_date,transaction_type,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
05/01/2021,Vente,"315000,00",95810.0,BERVILLE,95,59,1.0,Maison,108.0,5.0,233.0
05/01/2021,Vente,"724050,00",95510.0,VETHEUIL,95,651,1.0,Maison,270.0,6.0,2388.0
05/01/2021,Vente,"724050,00",95510.0,VETHEUIL,95,651,1.0,Maison,270.0,6.0,500.0
05/01/2021,Vente,"724050,00",95510.0,VETHEUIL,95,651,1.0,Maison,46.0,3.0,500.0
05/01/2021,Vente,"724050,00",95510.0,VETHEUIL,95,651,1.0,Maison,46.0,3.0,1060.0
06/01/2021,Vente,"309100,00",95450.0,FREMAINVILLE,95,253,1.0,Maison,93.0,4.0,200.0
06/01/2021,Vente,"309100,00",95450.0,FREMAINVILLE,95,253,1.0,Maison,93.0,4.0,460.0
06/01/2021,Vente,"201000,00",95180.0,MENUCOURT,95,388,1.0,Maison,65.0,2.0,207.0
08/01/2021,Vente,"328000,00",95310.0,ST OUEN L AUMONE,95,572,1.0,Maison,116.0,5.0,390.0
06/01/2021,Vente,"280000,00",95280.0,JOUY-LE-MOUTIER,95,323,1.0,Maison,92.0,5.0,346.0
05/01/2021,Vente,"285000,00",95620.0,PARMAIN,95,480,1.0,Maison,74.0,4.0,616.0
08/01/2021,Vente,"290000,00",95620.0,PARMAIN,95,480,1.0,Maison,86.0,4.0,560.0
09/01/2021,Vente,"336000,00",95630.0,MERIEL,95,392,1.0,Maison,88.0,4.0,514.0
08/01/2021,Vente,"217000,00",95590.0,PRESLES,95,504,1.0,Maison,60.0,2.0,62.0
08/01/2021,Vente,"376600,00",95520.0,OSNY,95,476,1.0,Maison,109.0,4.0,530.0
08/01/2021,Vente,"140000,00",95450.0,SERAINCOURT,95,592,1.0,Maison,62.0,3.0,24748.0
08/01/2021,Vente,"140000,00",95450.0,SERAINCOURT,95,592,1.0,Maison,62.0,3.0,1000.0
05/01/2021,Vente,"331655,00",95310.0,ST OUEN L AUMONE,95,572,1.0,Maison,103.0,5.0,525.0
13/01/2021,Vente,"230000,00",95280.0,JOUY-LE-MOUTIER,95,323,1.0,Maison,115.0,5.0,291.0
12/01/2021,Vente,"342000,00",95450.0,AVERNES,95,40,1.0,Maison,124.0,5.0,658.0
06/01/2021,Vente,"240000,00",95260.0,BEAUMONT-SUR-OISE,95,52,1.0,Maison,70.0,5.0,214.0
04/01/2021,Vente,"171500,00",95510.0,VIENNE-EN-ARTHIES,95,656,1.0,Maison,123.0,6.0,174.0
11/01/2021,Vente,"376500,00",95540.0,MERY-SUR-OISE,95,394,1.0,Maison,91.0,5.0,261.0
06/01/2021,Vente,"245000,00",95490.0,VAUREAL,95,637,1.0,Maison,76.0,4.0,173.0
11/01/2021,Vente,"312230,00",95610.0,ERAGNY-SUR-OISE,95,218,1.0,Maison,87.0,5.0,609.0
04/01/2021,Vente,"230000,00",95710.0,CHAUSSY,95,150,1.0,Maison,160.0,6.0,203.0
06/01/2021,Vente,"213000,00",95750.0,CHARS,95,142,1.0,Maison,96.0,4.0,276.0
07/01/2021,Vente,"276100,00",95420.0,MAGNY-EN-VEXIN,95,355,1.0,Maison,130.0,4.0,417.0
08/01/2021,Vente,"259990,00",95310.0,ST OUEN L AUMONE,95,572,1.0,Maison,50.0,3.0,646.0
08/01/2021,Vente,"199000,00",95430.0,BUTRY-SUR-OISE,95,120,1.0,Maison,64.0,4.0,56.0
11/01/2021,Vente,"506970,00",95630.0,MERIEL,95,392,1.0,Maison,108.0,5.0,555.0
04/01/2021,Vente,"292800,00",95280.0,JOUY-LE-MOUTIER,95,323,1.0,Maison,78.0,4.0,126.0
06/01/2021,Vente,"400000,00",95300.0,PONTOISE,95,500,1.0,Maison,108.0,6.0,514.0
06/01/2021,Vente,"400000,00",95300.0,PONTOISE,95,500,1.0,Maison,122.0,5.0,99.0
08/01/2021,Vente,"342000,00",95610.0,ERAGNY-SUR-OISE,95,218,1.0,Maison,95.0,5.0,216.0
06/01/2021,Vente,"405230,00",95000.0,CERGY,95,127,1.0,Maison,139.0,6.0,192.0
06/01/2021,Vente,"331180,00",95000.0,CERGY,95,127,1.0,Maison,103.0,4.0,90.0
11/01/2021,Vente,"2600000,00",95310.0,ST OUEN L AUMONE,95,572,4.0,Local industriel. commercial ou assimilé,170.0,0.0,3998.0
11/01/2021,Vente,"2600000,00",95310.0,ST OUEN L AUMONE,95,572,4.0,Local industriel. commercial ou assimilé,1440.0,0.0,3998.0
15/01/2021,Vente terrain à bâtir,"121000,00",95640.0,MARINES,95,370,1.0,Maison,160.0,1.0,317.0
15/01/2021,Vente terrain à bâtir,"121000,00",95640.0,MARINES,95,370,3.0,Dépendance,0.0,0.0,317.0
06/01/2021,Vente,"120000,00",95510.0,VIENNE-EN-ARTHIES,95,656,1.0,Maison,80.0,3.0,376.0
06/01/2021,Vente,"372000,00",95800.0,CERGY,95,127,1.0,Maison,115.0,4.0,472.0
11/01/2021,Vente,"402948,00",95590.0,PRESLES,95,504,1.0,Maison,84.0,2.0,845.0
18/01/2021,Vente,"280000,00",95480.0,PIERRELAYE,95,488,1.0,Maison,69.0,4.0,185.0
15/01/2021,Vente,"336500,00",95430.0,AUVERS-SUR-OISE,95,39,1.0,Maison,98.0,5.0,295.0
12/01/2021,Vente,"412000,00",95620.0,PARMAIN,95,480,1.0,Maison,105.0,4.0,148.0
08/01/2021,Vente,"326000,00",95310.0,ST OUEN L AUMONE,95,572,1.0,Maison,95.0,4.0,370.0
08/01/2021,Vente,"280000,00",95800.0,CERGY,95,127,1.0,Maison,107.0,5.0,167.0
20/01/2021,Vente,"283000,00",95710.0,BRAY-ET-LU,95,101,1.0,Maison,159.0,6.0,900.0
18/01/2021,Vente,"466000,00",95280.0,JOUY-LE-MOUTIER,95,323,1.0,Maison,163.0,6.0,671.0
06/01/2021,Vente,"254350,00",95610.0,ERAGNY-SUR-OISE,95,218,1.0,Maison,62.0,3.0,64.0
12/01/2021,Vente,"335000,00",95430.0,AUVERS-SUR-OISE,95,39,1.0,Maison,96.0,4.0,234.0
18/01/2021,Vente,"349250,00",95800.0,CERGY,95,127,1.0,Maison,103.0,4.0,259.0
08/01/2021,Vente,"315000,00",95260.0,BEAUMONT-SUR-OISE,95,52,1.0,Maison,63.0,4.0,484.0
15/01/2021,Vente,"440000,00",95300.0,PONTOISE,95,500,1.0,Maison,92.0,6.0,112.0
11/01/2021,Vente,"516000,00",95620.0,PARMAIN,95,480,1.0,Maison,149.0,5.0,488.0
11/01/2021,Vente,"232500,00",95340.0,BERNES-SUR-OISE,95,58,2.0,Appartement,78.0,4.0,165.0
21/01/2021,Vente,"386000,00",95640.0,MARINES,95,370,1.0,Maison,130.0,5.0,711.0
12/01/2021,Vente,"377500,00",95610.0,ERAGNY-SUR-OISE,95,218,1.0,Maison,122.0,5.0,567.0
19/01/2021,Vente,"253000,00",95480.0,PIERRELAYE,95,488,1.0,Maison,100.0,3.0,91.0
