transaction_date,transaction_type,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
05/01/2021,Vente,"352000,00",77115.0,SIVRY-COURTRY,77,453,1.0,Maison,120.0,3.0,331.0
05/01/2021,Vente,"352000,00",77115.0,SIVRY-COURTRY,77,453,1.0,Maison,120.0,3.0,45.0
08/01/2021,Vente,"235000,00",77330.0,OZOIR LA FERRIERE,77,350,1.0,Maison,41.0,2.0,175.0
06/01/2021,Vente,"334800,00",77590.0,CHARTRETTES,77,96,1.0,Maison,100.0,4.0,337.0
06/01/2021,Vente,"460300,00",77690.0,MONTIGNY-SUR-LOING,77,312,1.0,Maison,196.0,5.0,800.0
04/01/2021,Vente,"225700,00",77170.0,SERVON,77,450,1.0,Maison,71.0,3.0,55.0
08/01/2021,Vente,"35000,00",77620.0,BRANSLES,77,50,3.0,Dépendance,0.0,0.0,359.0
05/01/2021,Vente,"224000,00",77130.0,CANNES-ECLUSE,77,61,1.0,Maison,69.0,3.0,763.0
04/01/2021,Vente,"267000,00",77176.0,SAVIGNY-LE-TEMPLE,77,445,1.0,Maison,98.0,5.0,205.0
08/01/2021,Vente,"280000,00",77310.0,BOISSISE-LE-ROI,77,40,1.0,Maison,70.0,4.0,952.0
04/01/2021,Vente,"500000,00",77590.0,BOIS LE ROI,77,37,1.0,Maison,154.0,7.0,405.0
05/01/2021,Vente,"150000,00",77570.0,CHATEAU-LANDON,77,99,1.0,Maison,66.0,4.0,235.0
05/01/2021,Vente,"150000,00",77570.0,CHATEAU-LANDON,77,99,3.0,Dépendance,0.0,0.0,35.0
04/01/2021,Vente,"415000,00",77150.0,LESIGNY,77,249,1.0,Maison,105.0,5.0,500.0
04/01/2021,Vente,"415000,00",77150.0,LESIGNY,77,249,1.0,Maison,105.0,5.0,114.0
04/01/2021,Vente,"353400,00",77390.0,CRISENOY,77,145,1.0,Maison,75.0,2.0,500.0
04/01/2021,Vente,"353400,00",77390.0,CRISENOY,77,145,1.0,Maison,75.0,2.0,822.0
06/01/2021,Vente,"245000,00",77380.0,COMBS LA VILLE,77,122,1.0,Maison,81.0,4.0,136.0
06/01/2021,Vente,"282722,00",77830.0,PAMFOU,77,354,1.0,Maison,102.0,5.0,574.0
05/01/2021,Vente,"503360,00",77150.0,LESIGNY,77,249,1.0,Maison,123.0,4.0,500.0
05/01/2021,Vente,"503360,00",77150.0,LESIGNY,77,249,1.0,Maison,123.0,4.0,452.0
05/01/2021,Vente,"144000,00",77380.0,COMBS LA VILLE,77,122,1.0,Maison,35.0,3.0,66.0
12/01/2021,Vente,"720000,00",77300.0,FONTAINEBLEAU,77,186,1.0,Maison,192.0,9.0,225.0
08/01/2021,Vente,"386200,00",77330.0,OZOIR LA FERRIERE,77,350,1.0,Maison,105.0,4.0,500.0
08/01/2021,Vente,"386200,00",77330.0,OZOIR LA FERRIERE,77,350,1.0,Maison,105.0,4.0,147.0
04/01/2021,Vente,"325000,00",77380.0,COMBS LA VILLE,77,122,1.0,Maison,68.0,3.0,322.0
11/01/2021,Vente,"381589,00",77170.0,BRIE COMTE ROBERT,77,53,1.0,Maison,139.0,5.0,500.0
11/01/2021,Vente,"381589,00",77170.0,BRIE COMTE ROBERT,77,53,1.0,Maison,139.0,5.0,188.0
06/01/2021,Vente,"280000,00",77870.0,VULAINES-SUR-SEINE,77,533,1.0,Maison,99.0,5.0,598.0
08/01/2021,Vente,"260000,00",77760.0,LARCHANT,77,244,1.0,Maison,70.0,3.0,155.0
11/01/2021,Vente,"250000,00",77820.0,CHATELET-EN-BRIE (LE),77,100,4.0,Local industriel. commercial ou assimilé,85.0,0.0,301.0
11/01/2021,Vente,"250000,00",77820.0,CHATELET-EN-BRIE (LE),77,100,1.0,Maison,62.0,3.0,301.0
