transaction_date,property_value,postal_code,town_name,department_code,town_code,property_type_code,property_type,building_area,main_rooms,land_area
15/12/2021,"465900,00",91210.0,DRAVEIL,91,201,1.0,Maison,120.0,5.0,372.0
07/12/2021,"390000,00",91310.0,MONTLHERY,91,425,1.0,Maison,110.0,3.0,1067.0
15/12/2021,"405600,00",91630.0,GUIBEVILLE,91,292,1.0,Maison,132.0,4.0,606.0
07/12/2021,"445000,00",91770.0,SAINT-VRAIN,91,579,3.0,Dépendance,0.0,0.0,180.0
07/12/2021,"445000,00",91770.0,SAINT-VRAIN,91,579,1.0,Maison,135.0,6.0,210.0
07/12/2021,"445000,00",91770.0,SAINT-VRAIN,91,579,3.0,Dépendance,0.0,0.0,210.0
08/12/2021,"300000,00",91420.0,MORANGIS,91,432,1.0,Maison,62.0,4.0,370.0
08/12/2021,"691600,00",91370.0,VERRIERES LE BUISSON,91,645,1.0,Maison,133.0,5.0,489.0
15/12/2021,"392000,00",91650.0,BREUX JOUY,91,106,1.0,Maison,84.0,4.0,609.0
06/12/2021,"430000,00",91170.0,VIRY CHATILLON,91,687,1.0,Maison,99.0,5.0,400.0
06/12/2021,"430000,00",91170.0,VIRY CHATILLON,91,687,1.0,Maison,99.0,5.0,387.0
14/12/2021,"270000,00",91580.0,ETRECHY,91,226,4.0,Local industriel. commercial ou assimilé,16.0,0.0,207.0
14/12/2021,"270000,00",91580.0,ETRECHY,91,226,3.0,Dépendance,0.0,0.0,207.0
14/12/2021,"270000,00",91580.0,ETRECHY,91,226,1.0,Maison,80.0,3.0,207.0
06/12/2021,"368000,00",91600.0,SAVIGNY-SUR-ORGE,91,589,1.0,Maison,84.0,4.0,400.0
06/12/2021,"368000,00",91600.0,SAVIGNY-SUR-ORGE,91,589,3.0,Dépendance,0.0,0.0,400.0
29/11/2021,"310000,00",91940.0,GOMETZ-LE-CHATEL,91,275,3.0,Dépendance,0.0,0.0,126.0
29/11/2021,"310000,00",91940.0,GOMETZ-LE-CHATEL,91,275,3.0,Dépendance,0.0,0.0,500.0
29/11/2021,"310000,00",91940.0,GOMETZ-LE-CHATEL,91,275,1.0,Maison,80.0,4.0,500.0
29/11/2021,"310000,00",91940.0,GOMETZ-LE-CHATEL,91,275,1.0,Maison,80.0,4.0,126.0
26/11/2021,"117500,00",91410.0,CORBREUSE,91,175,4.0,Local industriel. commercial ou assimilé,150.0,0.0,157.0
16/12/2021,"289000,00",91160.0,LONGJUMEAU,91,345,1.0,Maison,85.0,4.0,106.0
02/12/2021,"426800,00",91600.0,SAVIGNY-SUR-ORGE,91,589,1.0,Maison,118.0,3.0,382.0
08/12/2021,"317000,00",91220.0,BRETIGNY SUR ORGE,91,103,1.0,Maison,92.0,5.0,238.0
02/12/2021,"260000,00",91210.0,DRAVEIL,91,201,1.0,Maison,150.0,5.0,580.0
01/12/2021,"364000,00",91700.0,SAINTE-GENEVIEVE-DES-BOIS,91,549,1.0,Maison,130.0,5.0,691.0
25/11/2021,"295000,00",91540.0,MENNECY,91,386,1.0,Maison,69.0,3.0,654.0
07/12/2021,"192000,00",91220.0,BRETIGNY SUR ORGE,91,103,3.0,Dépendance,0.0,0.0,650.0
07/12/2021,"192000,00",91220.0,BRETIGNY SUR ORGE,91,103,1.0,Maison,97.0,4.0,650.0
14/12/2021,"780000,00",91600.0,SAVIGNY-SUR-ORGE,91,589,3.0,Dépendance,0.0,0.0,546.0
14/12/2021,"780000,00",91600.0,SAVIGNY-SUR-ORGE,91,589,2.0,Appartement,56.0,3.0,546.0
14/12/2021,"780000,00",91600.0,SAVIGNY-SUR-ORGE,91,589,2.0,Appartement,59.0,3.0,546.0
14/12/2021,"780000,00",91600.0,SAVIGNY-SUR-ORGE,91,589,2.0,Appartement,60.0,3.0,546.0
27/11/2021,"130000,00",91630.0,MAROLLES-EN-HUREPOIX,91,376,1.0,Maison,76.0,5.0,544.0
03/12/2021,"258000,00",91260.0,JUVISY SUR ORGE,91,326,1.0,Maison,56.0,4.0,356.0
14/12/2021,"119400,00",91620.0,NOZAY,91,458,1.0,Maison,56.0,3.0,407.0
14/12/2021,"119400,00",91620.0,NOZAY,91,458,1.0,Maison,43.0,2.0,364.0
02/12/2021,"379000,00",91360.0,VILLEMOISSON-S-ORGE,91,667,1.0,Maison,97.0,5.0,309.0
09/12/2021,"270000,00",91580.0,ETRECHY,91,226,1.0,Maison,88.0,4.0,460.0
13/12/2021,"155000,00",91410.0,DOURDAN,91,200,1.0,Maison,70.0,3.0,132.0
14/12/2021,"295000,00",91700.0,SAINTE-GENEVIEVE-DES-BOIS,91,549,3.0,Dépendance,0.0,0.0,368.0
14/12/2021,"295000,00",91700.0,SAINTE-GENEVIEVE-DES-BOIS,91,549,1.0,Maison,126.0,5.0,368.0
30/11/2021,"357500,00",91520.0,EGLY,91,207,1.0,Maison,76.0,3.0,507.0
01/12/2021,"350465,00",91650.0,BREUILLET,91,105,1.0,Maison,112.0,5.0,672.0
17/12/2021,"8000,00",91100.0,CORBEIL ESSONNES,91,174,3.0,Dépendance,0.0,0.0,22.0
15/12/2021,"249500,00",91490.0,MILLY-LA-FORET,91,405,1.0,Maison,65.0,4.0,630.0
03/12/2021,"235000,00",91700.0,SAINTE-GENEVIEVE-DES-BOIS,91,549,3.0,Dépendance,0.0,0.0,298.0
03/12/2021,"235000,00",91700.0,SAINTE-GENEVIEVE-DES-BOIS,91,549,1.0,Maison,63.0,3.0,298.0
13/12/2021,"335000,00",91310.0,LONGPONT-SUR-ORGE,91,347,1.0,Maison,114.0,6.0,409.0
13/12/2021,"335000,00",91310.0,LONGPONT-SUR-ORGE,91,347,3.0,Dépendance,0.0,0.0,409.0
01/12/2021,"316970,00",91170.0,VIRY CHATILLON,91,687,3.0,Dépendance,0.0,0.0,353.0
01/12/2021,"316970,00",91170.0,VIRY CHATILLON,91,687,1.0,Maison,85.0,4.0,353.0
03/12/2021,"179900,00",91590.0,FERTE-ALAIS (LA),91,232,1.0,Maison,48.0,3.0,758.0
03/12/2021,"179900,00",91590.0,FERTE-ALAIS (LA),91,232,3.0,Dépendance,0.0,0.0,758.0
07/12/2021,"195150,00",91530.0,SERMAISE,91,593,3.0,Dépendance,0.0,0.0,874.0
07/12/2021,"195150,00",91530.0,SERMAISE,91,593,1.0,Maison,75.0,5.0,66.0
07/12/2021,"195150,00",91530.0,SERMAISE,91,593,3.0,Dépendance,0.0,0.0,66.0
07/12/2021,"195150,00",91530.0,SERMAISE,91,593,1.0,Maison,75.0,5.0,874.0
03/12/2021,"269000,00",91170.0,VIRY CHATILLON,91,687,1.0,Maison,65.0,4.0,200.0
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,2.0,Appartement,37.0,2.0,133.0
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,2.0,Appartement,25.0,2.0,133.0
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,3.0,Dépendance,0.0,0.0,133.0
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,2.0,Appartement,52.0,2.0,133.0
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,2.0,Appartement,38.0,2.0,133.0
02/12/2021,"655162,00",91140.0,VILLEJUST,91,666,2.0,Appartement,40.0,2.0,133.0
