property_value,postal_code,department_code,town_code,property_type_code,building_area,main_rooms,land_area
"63600000,00",75008.0,75,108,4.0,1878.0,0.0,476.0
"194500,00",75008.0,75,108,4.0,844.0,0.0,623.0
"194500,00",75008.0,75,108,4.0,346.0,0.0,584.0
"194500,00",75008.0,75,108,4.0,6100.0,0.0,584.0
"143500000,00",75008.0,75,108,4.0,810.0,0.0,1282.0
"143500000,00",75008.0,75,108,4.0,276.0,0.0,1282.0
"143500000,00",75008.0,75,108,4.0,158.0,0.0,1282.0
"143500000,00",75008.0,75,108,4.0,828.0,0.0,1282.0
"143500000,00",75008.0,75,108,4.0,860.0,0.0,1282.0
"143500000,00",75008.0,75,108,4.0,839.0,0.0,1282.0
"143500000,00",75008.0,75,108,4.0,712.0,0.0,1282.0
"143500000,00",75008.0,75,108,4.0,370.0,0.0,1282.0
"143500000,00",75008.0,75,108,4.0,176.0,0.0,1282.0
"143500000,00",75008.0,75,108,4.0,140.0,0.0,1282.0
"12000000,00",75003.0,75,103,4.0,65.0,0.0,299.0
"12000000,00",75003.0,75,103,2.0,40.0,2.0,299.0
"12000000,00",75003.0,75,103,2.0,35.0,1.0,299.0
"12000000,00",75003.0,75,103,4.0,75.0,0.0,299.0
"12000000,00",75003.0,75,103,4.0,54.0,0.0,299.0
"12000000,00",75003.0,75,103,2.0,65.0,3.0,299.0
"12000000,00",75003.0,75,103,2.0,15.0,1.0,299.0
"12000000,00",75003.0,75,103,2.0,26.0,1.0,299.0
"12000000,00",75003.0,75,103,2.0,42.0,2.0,299.0
"12000000,00",75003.0,75,103,2.0,13.0,1.0,299.0
"12000000,00",75003.0,75,103,4.0,62.0,0.0,299.0
"4300000,00",75001.0,75,101,2.0,30.0,1.0,93.0
"4300000,00",75001.0,75,101,2.0,35.0,1.0,93.0
"4300000,00",75001.0,75,101,2.0,32.0,1.0,93.0
"4300000,00",75001.0,75,101,4.0,95.0,0.0,93.0
"4300000,00",75001.0,75,101,2.0,25.0,1.0,93.0
"2510000,00",75017.0,75,117,2.0,42.0,2.0,176.0
"2510000,00",75017.0,75,117,4.0,168.0,0.0,176.0
"2510000,00",75017.0,75,117,2.0,68.0,4.0,176.0
"6048780,00",75018.0,75,118,4.0,86.0,0.0,188.0
"6048780,00",75018.0,75,118,2.0,37.0,2.0,188.0
"6048780,00",75018.0,75,118,2.0,67.0,3.0,188.0
"6048780,00",75018.0,75,118,2.0,39.0,2.0,188.0
"6048780,00",75018.0,75,118,2.0,45.0,2.0,188.0
"6048780,00",75018.0,75,118,3.0,0.0,0.0,188.0
"6048780,00",75018.0,75,118,2.0,61.0,3.0,188.0
"6048780,00",75018.0,75,118,2.0,69.0,3.0,188.0
"6048780,00",75018.0,75,118,2.0,56.0,3.0,188.0
"6048780,00",75018.0,75,118,2.0,43.0,2.0,188.0
"6048780,00",75018.0,75,118,2.0,81.0,4.0,188.0
"6048780,00",75018.0,75,118,4.0,21.0,0.0,188.0
"7500000,00",75002.0,75,102,2.0,12.0,1.0,265.0
"7500000,00",75002.0,75,102,2.0,26.0,3.0,265.0
"7500000,00",75002.0,75,102,4.0,48.0,0.0,265.0
"7500000,00",75002.0,75,102,2.0,45.0,3.0,265.0
"7500000,00",75002.0,75,102,2.0,13.0,1.0,265.0
"7500000,00",75002.0,75,102,2.0,29.0,2.0,265.0
"7500000,00",75002.0,75,102,2.0,37.0,2.0,265.0
"7500000,00",75002.0,75,102,2.0,25.0,1.0,265.0
"7500000,00",75002.0,75,102,2.0,46.0,3.0,265.0
"7500000,00",75002.0,75,102,4.0,8.0,0.0,265.0
"7500000,00",75002.0,75,102,2.0,51.0,3.0,265.0
"7500000,00",75002.0,75,102,2.0,18.0,2.0,265.0
"7500000,00",75002.0,75,102,2.0,42.0,3.0,265.0
"7500000,00",75002.0,75,102,2.0,21.0,2.0,265.0
"7500000,00",75002.0,75,102,2.0,38.0,2.0,265.0
"7500000,00",75002.0,75,102,2.0,39.0,3.0,265.0
"7500000,00",75002.0,75,102,2.0,52.0,3.0,265.0
"7500000,00",75002.0,75,102,4.0,36.0,0.0,265.0
"7500000,00",75002.0,75,102,4.0,65.0,0.0,265.0
"7500000,00",75002.0,75,102,4.0,77.0,0.0,265.0
"7500000,00",75002.0,75,102,4.0,60.0,0.0,265.0
"7500000,00",75002.0,75,102,2.0,15.0,1.0,265.0
"5000000,00",75008.0,75,108,1.0,300.0,6.0,112.0
"6000000,00",75019.0,75,119,2.0,53.0,3.0,329.0
"6000000,00",75019.0,75,119,2.0,39.0,2.0,329.0
"6000000,00",75019.0,75,119,2.0,42.0,2.0,329.0
"6000000,00",75019.0,75,119,2.0,28.0,2.0,329.0
"6000000,00",75019.0,75,119,2.0,81.0,4.0,329.0
"6000000,00",75019.0,75,119,2.0,50.0,3.0,329.0
"6000000,00",75019.0,75,119,2.0,55.0,3.0,329.0
"6000000,00",75019.0,75,119,2.0,52.0,3.0,329.0
"6000000,00",75019.0,75,119,2.0,47.0,3.0,329.0
"4335000,00",75010.0,75,110,4.0,141.0,0.0,249.0
"4335000,00",75010.0,75,110,2.0,48.0,3.0,249.0
"4335000,00",75010.0,75,110,4.0,42.0,0.0,249.0
"4335000,00",75010.0,75,110,2.0,69.0,3.0,249.0
"4335000,00",75010.0,75,110,2.0,9.0,1.0,249.0
"4335000,00",75010.0,75,110,2.0,33.0,1.0,249.0
"4335000,00",75010.0,75,110,2.0,44.0,2.0,249.0
"4335000,00",75010.0,75,110,2.0,31.0,1.0,249.0
"4335000,00",75010.0,75,110,2.0,43.0,2.0,249.0
"4335000,00",75010.0,75,110,4.0,23.0,0.0,249.0
"4335000,00",75010.0,75,110,2.0,53.0,3.0,249.0
"4335000,00",75010.0,75,110,2.0,32.0,1.0,249.0
"4335000,00",75010.0,75,110,2.0,41.0,2.0,249.0
"4335000,00",75010.0,75,110,4.0,156.0,0.0,249.0
"57000000,00",75002.0,75,102,4.0,4195.0,0.0,868.0
"4854369,00",75020.0,75,120,2.0,48.0,2.0,206.0
"4854369,00",75020.0,75,120,2.0,44.0,2.0,206.0
"4854369,00",75020.0,75,120,2.0,46.0,2.0,206.0
"4854369,00",75020.0,75,120,2.0,20.0,1.0,206.0
"4854369,00",75020.0,75,120,2.0,28.0,2.0,206.0
"4854369,00",75020.0,75,120,2.0,22.0,1.0,206.0
"4854369,00",75020.0,75,120,2.0,42.0,2.0,206.0
"4854369,00",75020.0,75,120,2.0,38.0,2.0,206.0
"4854369,00",75020.0,75,120,2.0,36.0,2.0,206.0
"4854369,00",75020.0,75,120,4.0,25.0,0.0,206.0
"4854369,00",75020.0,75,120,4.0,12.0,0.0,206.0
"2350000,00",75020.0,75,120,4.0,97.0,0.0,289.0
"2350000,00",75020.0,75,120,4.0,148.0,0.0,289.0
"2350000,00",75020.0,75,120,4.0,31.0,0.0,289.0
"2350000,00",75020.0,75,120,4.0,12.0,0.0,289.0
"2350000,00",75020.0,75,120,4.0,155.0,0.0,289.0
"2350000,00",75020.0,75,120,4.0,30.0,0.0,289.0
"6000000,00",75019.0,75,119,2.0,16.0,1.0,350.0
"6000000,00",75019.0,75,119,2.0,31.0,2.0,350.0
"6000000,00",75019.0,75,119,2.0,22.0,1.0,350.0
"6000000,00",75019.0,75,119,2.0,21.0,1.0,350.0
"6000000,00",75019.0,75,119,3.0,0.0,0.0,350.0
"6000000,00",75019.0,75,119,2.0,47.0,4.0,350.0
"6000000,00",75019.0,75,119,2.0,42.0,3.0,350.0
"6000000,00",75019.0,75,119,2.0,26.0,2.0,350.0
"6000000,00",75019.0,75,119,2.0,24.0,1.0,350.0
"6000000,00",75019.0,75,119,2.0,14.0,1.0,350.0
"6000000,00",75019.0,75,119,2.0,38.0,2.0,350.0
"6000000,00",75019.0,75,119,2.0,40.0,3.0,350.0
"6000000,00",75019.0,75,119,2.0,25.0,2.0,350.0
"6000000,00",75019.0,75,119,2.0,20.0,2.0,350.0
"6000000,00",75019.0,75,119,2.0,15.0,1.0,350.0
"6000000,00",75019.0,75,119,2.0,23.0,2.0,350.0
"6000000,00",75019.0,75,119,2.0,35.0,2.0,350.0
"7350000,00",75017.0,75,117,2.0,22.0,2.0,400.0
"7350000,00",75017.0,75,117,2.0,37.0,3.0,400.0
"7350000,00",75017.0,75,117,2.0,25.0,2.0,400.0
"7350000,00",75017.0,75,117,4.0,74.0,0.0,400.0
"7350000,00",75017.0,75,117,4.0,67.0,0.0,400.0
"7350000,00",75017.0,75,117,2.0,43.0,3.0,400.0
"7350000,00",75017.0,75,117,2.0,26.0,1.0,400.0
"7350000,00",75017.0,75,117,2.0,26.0,2.0,400.0
"7350000,00",75017.0,75,117,2.0,42.0,2.0,400.0
"7350000,00",75017.0,75,117,2.0,42.0,3.0,400.0
"7350000,00",75017.0,75,117,2.0,47.0,3.0,400.0
"7350000,00",75017.0,75,117,2.0,46.0,2.0,400.0
"7350000,00",75017.0,75,117,2.0,43.0,2.0,400.0
"7350000,00",75017.0,75,117,2.0,47.0,2.0,400.0
"7350000,00",75017.0,75,117,2.0,27.0,2.0,400.0
"7350000,00",75017.0,75,117,2.0,41.0,2.0,400.0
"7350000,00",75017.0,75,117,2.0,23.0,2.0,400.0
"7350000,00",75017.0,75,117,2.0,40.0,3.0,400.0
"7350000,00",75017.0,75,117,2.0,45.0,3.0,400.0
"7350000,00",75017.0,75,117,2.0,33.0,3.0,400.0
"7350000,00",75017.0,75,117,2.0,32.0,2.0,400.0
"7350000,00",75017.0,75,117,2.0,9.0,1.0,400.0
"7350000,00",75017.0,75,117,2.0,18.0,2.0,400.0
"2300000,00",75002.0,75,102,2.0,19.0,1.0,429.0
"2300000,00",75002.0,75,102,2.0,20.0,2.0,429.0
"2300000,00",75002.0,75,102,4.0,196.0,0.0,429.0
"2300000,00",75002.0,75,102,2.0,26.0,2.0,429.0
"2300000,00",75002.0,75,102,2.0,44.0,2.0,429.0
"2300000,00",75002.0,75,102,2.0,30.0,2.0,429.0
"2300000,00",75002.0,75,102,2.0,25.0,1.0,429.0
"2300000,00",75002.0,75,102,2.0,36.0,2.0,429.0
"2300000,00",75002.0,75,102,4.0,10.0,0.0,429.0
"2300000,00",75002.0,75,102,2.0,70.0,3.0,429.0
"2300000,00",75002.0,75,102,4.0,161.0,0.0,429.0
"2300000,00",75002.0,75,102,4.0,212.0,0.0,429.0
"2300000,00",75002.0,75,102,4.0,126.0,0.0,429.0
"2300000,00",75002.0,75,102,4.0,104.0,0.0,429.0
"14400,00",75008.0,75,108,2.0,48.0,2.0,914.0
"14400,00",75008.0,75,108,3.0,0.0,0.0,914.0
"14400,00",75008.0,75,108,2.0,118.0,3.0,914.0
"14400,00",75008.0,75,108,4.0,272.0,0.0,914.0
"14400,00",75008.0,75,108,2.0,245.0,6.0,914.0
"14400,00",75008.0,75,108,2.0,114.0,3.0,914.0
"14400,00",75008.0,75,108,2.0,113.0,4.0,914.0
"14400,00",75008.0,75,108,2.0,183.0,4.0,914.0
"14400,00",75008.0,75,108,2.0,93.0,3.0,914.0
"14400,00",75008.0,75,108,2.0,133.0,5.0,914.0
"14400,00",75008.0,75,108,2.0,227.0,6.0,914.0
"14400,00",75008.0,75,108,4.0,485.0,0.0,914.0
"14400,00",75008.0,75,108,2.0,82.0,3.0,914.0
"14400,00",75008.0,75,108,4.0,162.0,0.0,914.0
"14400,00",75008.0,75,108,2.0,80.0,2.0,914.0
"14400,00",75008.0,75,108,4.0,286.0,0.0,914.0
"14400,00",75008.0,75,108,2.0,100.0,3.0,914.0
"14400,00",75008.0,75,108,2.0,117.0,3.0,914.0
"14400,00",75008.0,75,108,4.0,15.0,0.0,914.0
"76500,00",75008.0,75,108,3.0,0.0,0.0,914.0
"76500,00",75008.0,75,108,2.0,114.0,3.0,914.0
"76500,00",75008.0,75,108,2.0,113.0,4.0,914.0
"76500,00",75008.0,75,108,2.0,183.0,4.0,914.0
"76500,00",75008.0,75,108,2.0,227.0,6.0,914.0
"76500,00",75008.0,75,108,2.0,100.0,3.0,914.0
"76500,00",75008.0,75,108,2.0,82.0,3.0,914.0
"76500,00",75008.0,75,108,4.0,485.0,0.0,914.0
"76500,00",75008.0,75,108,2.0,133.0,5.0,914.0
"76500,00",75008.0,75,108,2.0,93.0,3.0,914.0
"76500,00",75008.0,75,108,4.0,272.0,0.0,914.0
"76500,00",75008.0,75,108,4.0,15.0,0.0,914.0
"76500,00",75008.0,75,108,2.0,117.0,3.0,914.0
"76500,00",75008.0,75,108,2.0,118.0,3.0,914.0
"76500,00",75008.0,75,108,2.0,245.0,6.0,914.0
"76500,00",75008.0,75,108,2.0,48.0,2.0,914.0
"76500,00",75008.0,75,108,4.0,286.0,0.0,914.0
"76500,00",75008.0,75,108,2.0,80.0,2.0,914.0
"76500,00",75008.0,75,108,4.0,162.0,0.0,914.0
"18000,00",75008.0,75,108,2.0,82.0,3.0,914.0
"18000,00",75008.0,75,108,4.0,485.0,0.0,914.0
"18000,00",75008.0,75,108,2.0,133.0,5.0,914.0
"18000,00",75008.0,75,108,2.0,93.0,3.0,914.0
"18000,00",75008.0,75,108,2.0,245.0,6.0,914.0
"18000,00",75008.0,75,108,2.0,100.0,3.0,914.0
"18000,00",75008.0,75,108,2.0,48.0,2.0,914.0
"18000,00",75008.0,75,108,4.0,286.0,0.0,914.0
"18000,00",75008.0,75,108,2.0,80.0,2.0,914.0
"18000,00",75008.0,75,108,4.0,162.0,0.0,914.0
"18000,00",75008.0,75,108,2.0,114.0,3.0,914.0
"18000,00",75008.0,75,108,2.0,113.0,4.0,914.0
"18000,00",75008.0,75,108,2.0,183.0,4.0,914.0
"18000,00",75008.0,75,108,2.0,227.0,6.0,914.0
"18000,00",75008.0,75,108,2.0,117.0,3.0,914.0
"18000,00",75008.0,75,108,3.0,0.0,0.0,914.0
"18000,00",75008.0,75,108,4.0,15.0,0.0,914.0
"18000,00",75008.0,75,108,2.0,118.0,3.0,914.0
"18000,00",75008.0,75,108,4.0,272.0,0.0,914.0
"3600,00",75008.0,75,108,2.0,227.0,6.0,914.0
"3600,00",75008.0,75,108,2.0,183.0,4.0,914.0
"3600,00",75008.0,75,108,2.0,100.0,3.0,914.0
"3600,00",75008.0,75,108,2.0,48.0,2.0,914.0
"3600,00",75008.0,75,108,4.0,286.0,0.0,914.0
"3600,00",75008.0,75,108,2.0,80.0,2.0,914.0
"3600,00",75008.0,75,108,4.0,162.0,0.0,914.0
"3600,00",75008.0,75,108,2.0,82.0,3.0,914.0
"3600,00",75008.0,75,108,4.0,485.0,0.0,914.0
"3600,00",75008.0,75,108,2.0,133.0,5.0,914.0
"3600,00",75008.0,75,108,2.0,93.0,3.0,914.0
"3600,00",75008.0,75,108,2.0,114.0,3.0,914.0
"3600,00",75008.0,75,108,2.0,113.0,4.0,914.0
"3600,00",75008.0,75,108,2.0,245.0,6.0,914.0
"3600,00",75008.0,75,108,4.0,272.0,0.0,914.0
"3600,00",75008.0,75,108,2.0,118.0,3.0,914.0
"3600,00",75008.0,75,108,3.0,0.0,0.0,914.0
"3600,00",75008.0,75,108,4.0,15.0,0.0,914.0
"3600,00",75008.0,75,108,2.0,117.0,3.0,914.0
"520000,00",75020.0,75,120,4.0,50.0,0.0,54.0
"520000,00",75020.0,75,120,2.0,60.0,3.0,54.0
"1075000,00",75019.0,75,119,1.0,72.0,3.0,58.0
"9470000,00",75019.0,75,119,2.0,29.0,2.0,485.0
"9470000,00",75019.0,75,119,2.0,28.0,2.0,485.0
"9470000,00",75019.0,75,119,2.0,26.0,2.0,485.0
"9470000,00",75019.0,75,119,4.0,28.0,0.0,485.0
"9470000,00",75019.0,75,119,4.0,130.0,0.0,485.0
"9470000,00",75019.0,75,119,2.0,48.0,2.0,485.0
"9470000,00",75019.0,75,119,2.0,27.0,2.0,485.0
"9470000,00",75019.0,75,119,4.0,80.0,0.0,485.0
"9470000,00",75019.0,75,119,3.0,0.0,0.0,485.0
"9470000,00",75019.0,75,119,2.0,16.0,1.0,485.0
"9470000,00",75019.0,75,119,2.0,36.0,2.0,485.0
"9470000,00",75019.0,75,119,2.0,24.0,1.0,485.0
"9470000,00",75019.0,75,119,2.0,17.0,1.0,485.0
"9470000,00",75019.0,75,119,2.0,45.0,2.0,485.0
"9470000,00",75019.0,75,119,2.0,19.0,2.0,485.0
"9470000,00",75019.0,75,119,4.0,100.0,0.0,485.0
"850000,00",75018.0,75,118,4.0,156.0,0.0,86.0
"3050000,00",75017.0,75,117,2.0,32.0,2.0,131.0
"3050000,00",75017.0,75,117,2.0,29.0,2.0,131.0
"3050000,00",75017.0,75,117,2.0,31.0,2.0,131.0
"3050000,00",75017.0,75,117,2.0,18.0,1.0,131.0
"3050000,00",75017.0,75,117,2.0,30.0,2.0,131.0
"3050000,00",75017.0,75,117,2.0,47.0,3.0,131.0
"3050000,00",75017.0,75,117,2.0,11.0,1.0,131.0
"3999000,00",75017.0,75,117,4.0,446.0,0.0,187.0
"1639050,00",75019.0,75,119,1.0,163.0,3.0,51.0
"399999,97",75017.0,75,117,2.0,59.0,3.0,210.0
"399999,97",75017.0,75,117,2.0,69.0,4.0,210.0
"399999,97",75017.0,75,117,2.0,17.0,3.0,210.0
"399999,97",75017.0,75,117,2.0,60.0,3.0,210.0
"399999,97",75017.0,75,117,3.0,0.0,0.0,210.0
"399999,97",75017.0,75,117,4.0,36.0,0.0,210.0
"399999,97",75017.0,75,117,4.0,94.0,0.0,210.0
"399999,97",75017.0,75,117,4.0,16.0,0.0,210.0
"399999,97",75017.0,75,117,2.0,71.0,4.0,210.0
"399999,97",75017.0,75,117,2.0,67.0,4.0,210.0
"399999,97",75017.0,75,117,2.0,67.0,3.0,210.0
"5540000,00",75017.0,75,117,2.0,27.0,1.0,263.0
"5540000,00",75017.0,75,117,2.0,28.0,1.0,263.0
"5540000,00",75017.0,75,117,2.0,25.0,1.0,263.0
"5540000,00",75017.0,75,117,2.0,26.0,1.0,263.0
"5540000,00",75017.0,75,117,2.0,24.0,1.0,263.0
"5540000,00",75017.0,75,117,2.0,18.0,1.0,263.0
"5540000,00",75017.0,75,117,2.0,20.0,1.0,263.0
"5540000,00",75017.0,75,117,2.0,55.0,3.0,263.0
"4600000,00",75019.0,75,119,2.0,35.0,2.0,149.0
"4600000,00",75019.0,75,119,2.0,29.0,2.0,149.0
"4600000,00",75019.0,75,119,2.0,43.0,2.0,149.0
"4600000,00",75019.0,75,119,2.0,18.0,1.0,149.0
"4600000,00",75019.0,75,119,4.0,75.0,0.0,149.0
"4600000,00",75019.0,75,119,4.0,25.0,0.0,149.0
"4600000,00",75019.0,75,119,2.0,36.0,2.0,149.0
"4600000,00",75019.0,75,119,2.0,44.0,2.0,149.0
"610000,00",75020.0,75,120,1.0,210.0,5.0,170.0
"7550000,00",75017.0,75,117,4.0,234.0,0.0,440.0
"7550000,00",75017.0,75,117,4.0,680.0,0.0,440.0
"1399450,00",75019.0,75,119,1.0,79.0,5.0,95.0
"12965000,00",75003.0,75,103,2.0,86.0,3.0,293.0
"12965000,00",75003.0,75,103,4.0,257.0,0.0,293.0
"12965000,00",75003.0,75,103,4.0,90.0,0.0,293.0
"12965000,00",75003.0,75,103,4.0,134.0,0.0,293.0
"12965000,00",75003.0,75,103,2.0,7.0,1.0,293.0
"12965000,00",75003.0,75,103,2.0,14.0,2.0,293.0
"12965000,00",75003.0,75,103,2.0,6.0,1.0,293.0
"12965000,00",75003.0,75,103,2.0,80.0,3.0,293.0
"12965000,00",75003.0,75,103,4.0,68.0,0.0,293.0
"12965000,00",75003.0,75,103,4.0,82.0,0.0,293.0
"12965000,00",75003.0,75,103,4.0,89.0,0.0,293.0
"12965000,00",75003.0,75,103,2.0,74.0,4.0,293.0
"12965000,00",75003.0,75,103,2.0,12.0,1.0,293.0
"12965000,00",75003.0,75,103,2.0,59.0,3.0,293.0
"12965000,00",75003.0,75,103,4.0,96.0,0.0,293.0
"23500000,00",75008.0,75,108,4.0,125.0,0.0,282.0
"23500000,00",75008.0,75,108,4.0,168.0,0.0,282.0
"23500000,00",75008.0,75,108,4.0,197.0,0.0,282.0
"23500000,00",75008.0,75,108,4.0,235.0,0.0,282.0
"23500000,00",75008.0,75,108,3.0,0.0,0.0,282.0
"23500000,00",75008.0,75,108,4.0,76.0,0.0,282.0
"23500000,00",75008.0,75,108,4.0,346.0,0.0,282.0
"23500000,00",75008.0,75,108,4.0,90.0,0.0,282.0
"3500000,00",75020.0,75,120,4.0,55.0,0.0,356.0
"3500000,00",75020.0,75,120,4.0,18.0,0.0,356.0
"3500000,00",75020.0,75,120,4.0,50.0,0.0,356.0
"3500000,00",75020.0,75,120,4.0,40.0,0.0,356.0
"3500000,00",75020.0,75,120,4.0,35.0,0.0,356.0
"2235000,00",75020.0,75,120,1.0,160.0,5.0,119.0
"580000,00",75020.0,75,120,2.0,60.0,3.0,81.0
"580000,00",75020.0,75,120,4.0,70.0,0.0,81.0
"925000,00",75003.0,75,103,4.0,108.0,0.0,300.0
"925000,00",75003.0,75,103,3.0,0.0,0.0,300.0
"925000,00",75003.0,75,103,2.0,36.0,2.0,300.0
"925000,00",75003.0,75,103,2.0,20.0,1.0,300.0
"925000,00",75003.0,75,103,2.0,30.0,2.0,300.0
"925000,00",75003.0,75,103,4.0,82.0,0.0,300.0
"925000,00",75003.0,75,103,2.0,127.0,6.0,300.0
"925000,00",75003.0,75,103,4.0,50.0,0.0,300.0
"925000,00",75003.0,75,103,2.0,92.0,4.0,300.0
"925000,00",75003.0,75,103,4.0,70.0,0.0,300.0
"925000,00",75003.0,75,103,4.0,115.0,0.0,300.0
"925000,00",75003.0,75,103,4.0,410.0,0.0,300.0
"925000,00",75003.0,75,103,4.0,42.0,0.0,300.0
"925000,00",75003.0,75,103,4.0,86.0,0.0,300.0
"925000,00",75003.0,75,103,4.0,180.0,0.0,300.0
"2450000,00",75017.0,75,117,2.0,20.0,1.0,162.0
"2450000,00",75017.0,75,117,2.0,19.0,1.0,162.0
"2450000,00",75017.0,75,117,2.0,17.0,2.0,162.0
"2450000,00",75017.0,75,117,2.0,15.0,2.0,162.0
"2450000,00",75017.0,75,117,2.0,30.0,2.0,162.0
"2450000,00",75017.0,75,117,4.0,4.0,0.0,162.0
"2450000,00",75017.0,75,117,2.0,17.0,1.0,162.0
"2450000,00",75017.0,75,117,2.0,24.0,1.0,162.0
"2450000,00",75017.0,75,117,2.0,35.0,2.0,162.0
"2450000,00",75017.0,75,117,4.0,43.0,0.0,162.0
"2450000,00",75017.0,75,117,2.0,39.0,3.0,162.0
"2030000,00",75018.0,75,118,2.0,37.0,2.0,75.0
"2030000,00",75018.0,75,118,2.0,40.0,2.0,75.0
"3370000,00",75010.0,75,110,4.0,37.0,0.0,75.0
"3370000,00",75010.0,75,110,4.0,38.0,0.0,75.0
"2934500,00",75019.0,75,119,4.0,210.0,0.0,215.0
"1343000,00",75020.0,75,120,1.0,50.0,3.0,138.0
"3800000,00",75020.0,75,120,2.0,39.0,2.0,238.0
"3800000,00",75020.0,75,120,3.0,0.0,0.0,238.0
"3800000,00",75020.0,75,120,4.0,144.0,0.0,238.0
"3800000,00",75020.0,75,120,2.0,47.0,3.0,238.0
"3800000,00",75020.0,75,120,2.0,41.0,2.0,238.0
"1500000,00",75017.0,75,117,2.0,32.0,2.0,180.0
"1500000,00",75017.0,75,117,4.0,449.0,0.0,180.0
"18000000,00",75008.0,75,108,4.0,1388.0,0.0,309.0
"6475653,00",75017.0,75,117,4.0,836.0,0.0,435.0
"56000000,00",75008.0,75,108,3.0,0.0,0.0,590.0
"56000000,00",75008.0,75,108,4.0,71.0,0.0,590.0
"56000000,00",75008.0,75,108,2.0,164.0,5.0,590.0
"56000000,00",75008.0,75,108,4.0,132.0,0.0,590.0
"56000000,00",75008.0,75,108,4.0,202.0,0.0,590.0
"56000000,00",75008.0,75,108,2.0,166.0,5.0,590.0
"56000000,00",75008.0,75,108,4.0,207.0,0.0,590.0
"56000000,00",75008.0,75,108,4.0,58.0,0.0,590.0
"56000000,00",75008.0,75,108,4.0,166.0,0.0,590.0
"56000000,00",75008.0,75,108,4.0,347.0,0.0,590.0
"56000000,00",75008.0,75,108,4.0,25.0,0.0,590.0
"56000000,00",75008.0,75,108,2.0,32.0,2.0,590.0
"56000000,00",75008.0,75,108,2.0,101.0,3.0,590.0
"56000000,00",75008.0,75,108,2.0,8.0,1.0,590.0
"56000000,00",75008.0,75,108,2.0,30.0,1.0,590.0
"56000000,00",75008.0,75,108,2.0,195.0,4.0,590.0
"56000000,00",75008.0,75,108,4.0,177.0,0.0,590.0
"56000000,00",75008.0,75,108,2.0,180.0,6.0,590.0
"56000000,00",75008.0,75,108,2.0,20.0,1.0,590.0
"56000000,00",75008.0,75,108,2.0,30.0,2.0,590.0
"490000,00",75020.0,75,120,4.0,540.0,0.0,573.0
"500000,00",75020.0,75,120,2.0,20.0,1.0,145.0
"500000,00",75020.0,75,120,2.0,25.0,1.0,145.0
"500000,00",75020.0,75,120,2.0,15.0,1.0,145.0
"500000,00",75020.0,75,120,2.0,26.0,1.0,145.0
"500000,00",75020.0,75,120,2.0,24.0,1.0,145.0
